,3,,3,,2,,9,,2
result_dt,11413100,result_dt,11341400,result_dt,11299000,result_dt,11355500,result_dt,11446220
1990-10-01, 100,1959-10-01,  64,1997-06-28,29750.0000,1968-10-01,122,1997-06-28,29750.0000
1990-10-02,  97,1959-10-02,  65,1997-06-29, 1091.0000,1968-10-02,122,1997-06-29, 1091.0000
1990-10-03,  95,1959-10-03,  64,1997-06-30,  821.0000,1968-10-03,122,1997-06-30,  821.0000
1990-10-04,  94,1959-10-04,  65,1997-07-01, 1039.0000,1968-10-04,122,1997-07-01, 1039.0000
1990-10-05,  92,1959-10-05,  64,1997-07-02,  865.0000,1968-10-05,122,1997-07-02,  865.0000
1990-10-06,  91,1959-10-06,  65,1997-07-03, 1106.0000,1968-10-06,122,1997-07-03, 1106.0000
1990-10-07,  90,1959-10-07,  67,1997-07-04,  820.0000,1968-10-07,122,1997-07-04,  820.0000
1990-10-08,  89,1959-10-08,  67,1997-07-05,  878.0000,1968-10-08,122,1997-07-05,  878.0000
1990-10-09,  88,1959-10-09,  69,1997-07-06,  654.0000,1968-10-09,122,1997-07-06,  654.0000
1990-10-10,  88,1959-10-10,  67,1997-07-07, 1358.0000,1968-10-10,122,1997-07-07, 1358.0000
1990-10-11,  87,1959-10-11,  66,1997-07-08,  999.0000,1968-10-11,126,1997-07-08,  999.0000
1990-10-12,  86,1959-10-12,  64,1997-07-09,  951.0000,1968-10-12,142,1997-07-09,  951.0000
1990-10-13,  86,1959-10-13,  63,1997-07-10,  782.0000,1968-10-13,140,1997-07-10,  782.0000
1990-10-14,  85,1959-10-14,  63,1997-07-11,  941.0000,1968-10-14,132,1997-07-11,  941.0000
1990-10-15,  84,1959-10-15,  61,1997-07-12,  743.0000,1968-10-15,128,1997-07-12,  743.0000
1990-10-16,  84,1959-10-16,  59,1997-07-13,  669.0000,1968-10-16,126,1997-07-13,  669.0000
1990-10-17,  83,1959-10-17,  59,1997-07-14,  993.0000,1968-10-17,126,1997-07-14,  993.0000
1990-10-18,  83,1959-10-18,  59,1997-07-15,  899.0000,1968-10-18,125,1997-07-15,  899.0000
1990-10-19,  82,1959-10-19,  62,1997-07-16,  897.0000,1968-10-19,125,1997-07-16,  897.0000
1990-10-20,  82,1959-10-20,  62,1997-07-17,  703.0000,1968-10-20,126,1997-07-17,  703.0000
1990-10-21,  81,1959-10-21,  62,1997-07-18,  997.0000,1968-10-21,128,1997-07-18,  997.0000
1990-10-22,  81,1959-10-22,  65,1997-07-19,  356.0000,1968-10-22,129,1997-07-19,  356.0000
1990-10-23,  80,1959-10-23,  63,1997-07-20,  542.0000,1968-10-23,129,1997-07-20,  542.0000
1990-10-24,  80,1959-10-24,  63,1997-07-21,  907.0000,1968-10-24,129,1997-07-21,  907.0000
1990-10-25,  80,1959-10-25,  63,1997-07-22,  833.0000,1968-10-25,129,1997-07-22,  833.0000
1990-10-26,  79,1959-10-26,  63,1997-07-23,  691.0000,1968-10-26,129,1997-07-23,  691.0000
1990-10-27,  79,1959-10-27,  62,1997-07-24, 1072.0000,1968-10-27,128,1997-07-24, 1072.0000
1990-10-28,  78,1959-10-28,  62,1997-07-25,  762.0000,1968-10-28,127,1997-07-25,  762.0000
1990-10-29,  78,1959-10-29,  62,1997-07-26,  498.0000,1968-10-29,130,1997-07-26,  498.0000
1990-10-30,  78,1959-10-30,  62,1997-07-27,  378.0000,1968-10-30,134,1997-07-27,  378.0000
1990-10-31,  77,1959-10-31,  62,1997-07-28,  693.0000,1968-10-31,132,1997-07-28,  693.0000
1990-11-01,  79,1959-11-01,  62,1997-07-29,  676.0000,1968-11-01,132,1997-07-29,  676.0000
1990-11-02,  81,1959-11-02,  62,1997-07-30,  703.0000,1968-11-02,136,1997-07-30,  703.0000
1990-11-03,  83,1959-11-03,  64,1997-07-31,  516.0000,1968-11-03,138,1997-07-31,  516.0000
1990-11-04,  85,1959-11-04,  65,1997-08-01,  604.0000,1968-11-04,135,1997-08-01,  604.0000
1990-11-05,  86,1959-11-05,  65,1997-08-02,  286.0000,1968-11-05,132,1997-08-02,  286.0000
1990-11-06,  88,1959-11-06,  65,1997-08-03,  317.0000,1968-11-06,132,1997-08-03,  317.0000
1990-11-07,  90,1959-11-07,  65,1997-08-04,  855.0000,1968-11-07,132,1997-08-04,  855.0000
1990-11-08,  91,1959-11-08,  65,1997-08-05,  731.0000,1968-11-08,131,1997-08-05,  731.0000
1990-11-09,  92,1959-11-09,  65,1997-08-06,  878.0000,1968-11-09,132,1997-08-06,  878.0000
1990-11-10,  93,1959-11-10,  65,1997-08-07,  867.0000,1968-11-10,131,1997-08-07,  867.0000
1990-11-11,  94,1959-11-11,  65,1997-08-08,  335.0000,1968-11-11,132,1997-08-08,  335.0000
1990-11-12,  94,1959-11-12,  65,1997-08-09,  188.0000,1968-11-12,165,1997-08-09,  188.0000
1990-11-13,  94,1959-11-13,  64,1997-08-10,  326.0000,1968-11-13,141,1997-08-10,  326.0000
1990-11-14,  95,1959-11-14,  64,1997-08-11,  628.0000,1968-11-14,136,1997-08-11,  628.0000
1990-11-15,  95,1959-11-15,  66,1997-08-12,  658.0000,1968-11-15,136,1997-08-12,  658.0000
1990-11-16,  95,1959-11-16,  66,1997-08-13,  692.0000,1968-11-16,136,1997-08-13,  692.0000
1990-11-17,  95,1959-11-17,  67,1997-08-14,  516.0000,1968-11-17,135,1997-08-14,  516.0000
1990-11-18,  95,1959-11-18,  67,1997-08-15,  247.0000,1968-11-18,144,1997-08-15,  247.0000
1990-11-19,  96,1959-11-19,  67,1997-08-16,  281.0000,1968-11-19,142,1997-08-16,  281.0000
1990-11-20,  96,1959-11-20,  66,1997-08-17,  246.0000,1968-11-20,138,1997-08-17,  246.0000
1990-11-21,  96,1959-11-21,  64,1997-08-18,  639.0000,1968-11-21,136,1997-08-18,  639.0000
1990-11-22,  96,1959-11-22,  66,1997-08-19,  549.0000,1968-11-22,136,1997-08-19,  549.0000
1990-11-23,  96,1959-11-23,  66,1997-08-20,  610.0000,1968-11-23,135,1997-08-20,  610.0000
1990-11-24,  96,1959-11-24,  66,1997-08-21,  756.0000,1968-11-24,136,1997-08-21,  756.0000
1990-11-25,  96,1959-11-25,  66,1997-08-22,  455.0000,1968-11-25,134,1997-08-22,  455.0000
1990-11-26,  96,1959-11-26,  66,1997-08-23,  285.0000,1968-11-26,132,1997-08-23,  285.0000
1990-11-27,  97,1959-11-27,  65,1997-08-24,  270.0000,1968-11-27,133,1997-08-24,  270.0000
1990-11-28,  97,1959-11-28,  66,1997-08-25,  654.0000,1968-11-28,131,1997-08-25,  654.0000
1990-11-29,  97,1959-11-29,  66,1997-08-26,  680.0000,1968-11-29,134,1997-08-26,  680.0000
1990-11-30,  97,1959-11-30,  68,1997-08-27,  801.0000,1968-11-30,133,1997-08-27,  801.0000
1990-12-01,  99,1959-12-01,  68,1997-08-28,  722.0000,1968-12-01,134,1997-08-28,  722.0000
1990-12-02, 100,1959-12-02,  68,1997-08-29,  544.0000,1968-12-02,128,1997-08-29,  544.0000
1990-12-03, 100,1959-12-03,  66,1997-08-30,  240.0000,1968-12-03,130,1997-08-30,  240.0000
1990-12-04, 100,1959-12-04,  65,1997-08-31,  461.0000,1968-12-04,131,1997-08-31,  461.0000
1990-12-05, 100,1959-12-05,  63,1997-09-01,  296.0000,1968-12-05,134,1997-09-01,  296.0000
1990-12-06, 101,1959-12-06,  65,1997-09-02,  677.0000,1968-12-06,131,1997-09-02,  677.0000
1990-12-07, 101,1959-12-07,  68,1997-09-03,  947.0000,1968-12-07,132,1997-09-03,  947.0000
1990-12-08, 101,1959-12-08,  68,1997-09-04,  846.0000,1968-12-08,134,1997-09-04,  846.0000
1990-12-09, 101,1959-12-09,  70,1997-09-05,  851.0000,1968-12-09,134,1997-09-05,  851.0000
1990-12-10, 101,1959-12-10,  70,1997-09-06,  539.0000,1968-12-10,170,1997-09-06,  539.0000
1990-12-11, 101,1959-12-11,  68,1997-09-07,  266.0000,1968-12-11,146,1997-09-07,  266.0000
1990-12-12, 101,1959-12-12,  68,1997-09-08,  923.0000,1968-12-12,136,1997-09-08,  923.0000
1990-12-13, 101,1959-12-13,  70,1997-09-09,  799.0000,1968-12-13,139,1997-09-09,  799.0000
1990-12-14, 102,1959-12-14,  70,1997-09-10,  876.0000,1968-12-14,132,1997-09-10,  876.0000
1990-12-15, 102,1959-12-15,  70,1997-09-11,  680.0000,1968-12-15,134,1997-09-11,  680.0000
1990-12-16, 103,1959-12-16,  70,1997-09-12, 1026.0000,1968-12-16,131,1997-09-12, 1026.0000
1990-12-17, 105,1959-12-17,  72,1997-09-13,  370.0000,1968-12-17,132,1997-09-13,  370.0000
1990-12-18, 106,1959-12-18,  72,1997-09-14,  490.0000,1968-12-18,132,1997-09-14,  490.0000
1990-12-19, 107,1959-12-19,  70,1997-09-15,  462.0000,1968-12-19,132,1997-09-15,  462.0000
1990-12-20, 109,1959-12-20,  70,1997-09-16,  488.0000,1968-12-20,129,1997-09-16,  488.0000
1990-12-21, 110,1959-12-21,  70,1997-09-17,  540.0000,1968-12-21,126,1997-09-17,  540.0000
1990-12-22, 111,1959-12-22,  72,1997-09-18,  637.0000,1968-12-22,126,1997-09-18,  637.0000
1990-12-23, 112,1959-12-23, 107,1997-09-19,  547.0000,1968-12-23,127,1997-09-19,  547.0000
1990-12-24, 112,1959-12-24, 129,1997-09-20,  472.0000,1968-12-24,126,1997-09-20,  472.0000
1990-12-25, 113,1959-12-25,  97,1997-09-21,  153.0000,1968-12-25,127,1997-09-21,  153.0000
1990-12-26, 114,1959-12-26,  80,1997-09-22,  864.0000,1968-12-26,126,1997-09-22,  864.0000
1990-12-27, 114,1959-12-27,  79,1997-09-23,  973.0000,1968-12-27,126,1997-09-23,  973.0000
1990-12-28, 115,1959-12-28,  79,1997-09-24, 1044.0000,1968-12-28,127,1997-09-24, 1044.0000
1990-12-29, 115,1959-12-29,  75,1997-09-25,  729.0000,1968-12-29,128,1997-09-25,  729.0000
1990-12-30, 116,1959-12-30,  75,1997-09-26,  885.0000,1968-12-30,128,1997-09-26,  885.0000
1990-12-31, 116,1959-12-31,  74,1997-09-27,  473.0000,1968-12-31,129,1997-09-27,  473.0000
1991-01-01, 132,1960-01-01,  72,1997-09-28,  283.0000,1969-01-01,130,1997-09-28,  283.0000
1991-01-02, 137,1960-01-02,  71,1997-09-29,  813.0000,1969-01-02,131,1997-09-29,  813.0000
1991-01-03, 141,1960-01-03,  74,1997-09-30, 1096.0000,1969-01-03,131,1997-09-30, 1096.0000
1991-01-04, 143,1960-01-04,  72,1997-10-01,  781.0000,1969-01-04,132,1997-10-01,  781.0000
1991-01-05, 146,1960-01-05,  74,1997-10-02,  735.0000,1969-01-05,132,1997-10-02,  735.0000
1991-01-06, 147,1960-01-06,  76,1997-10-03,  601.0000,1969-01-06,132,1997-10-03,  601.0000
1991-01-07, 149,1960-01-07,  77,1997-10-04,  371.0000,1969-01-07,132,1997-10-04,  371.0000
1991-01-08, 150,1960-01-08,  86,1997-10-05,  118.0000,1969-01-08,131,1997-10-05,  118.0000
1991-01-09, 151,1960-01-09,  79,1997-10-06,  505.0000,1969-01-09,128,1997-10-06,  505.0000
1991-01-10, 152,1960-01-10,  79,1997-10-07,  515.0000,1969-01-10,131,1997-10-07,  515.0000
1991-01-11, 153,1960-01-11,  83,1997-10-08,  475.0000,1969-01-11,133,1997-10-08,  475.0000
1991-01-12, 154,1960-01-12,  79,1997-10-09,  801.0000,1969-01-12,132,1997-10-09,  801.0000
1991-01-13, 155,1960-01-13,  76,1997-10-10,  757.0000,1969-01-13,134,1997-10-10,  757.0000
1991-01-14, 156,1960-01-14,  78,1997-10-11,  803.0000,1969-01-14,134,1997-10-11,  803.0000
1991-01-15, 157,1960-01-15,  78,1997-10-12,  335.0000,1969-01-15,132,1997-10-12,  335.0000
1991-01-16, 157,1960-01-16,  78,1997-10-13,  665.0000,1969-01-16,132,1997-10-13,  665.0000
1991-01-17, 158,1960-01-17,  78,1997-10-14,  621.0000,1969-01-17,132,1997-10-14,  621.0000
1991-01-18, 159,1960-01-18,  80,1997-10-15,  589.0000,1969-01-18,133,1997-10-15,  589.0000
1991-01-19, 159,1960-01-19,  80,1997-10-16,  613.0000,1969-01-19,141,1997-10-16,  613.0000
1991-01-20, 160,1960-01-20,  79,1997-10-17,  589.0000,1969-01-20,171,1997-10-17,  589.0000
1991-01-21, 161,1960-01-21,  81,1997-10-18,  409.0000,1969-01-21,211,1997-10-18,  409.0000
1991-01-22, 161,1960-01-22,  97,1997-10-19,  321.0000,1969-01-22,182,1997-10-19,  321.0000
1991-01-23, 162,1960-01-23, 111,1997-10-20,  334.0000,1969-01-23,165,1997-10-20,  334.0000
1991-01-24, 162,1960-01-24, 141,1997-10-21,  432.0000,1969-01-24,159,1997-10-21,  432.0000
1991-01-25, 163,1960-01-25, 310,1997-10-22,  435.0000,1969-01-25,161,1997-10-22,  435.0000
1991-01-26, 163,1960-01-26, 242,1997-10-23,  403.0000,1969-01-26,175,1997-10-23,  403.0000
1991-01-27, 164,1960-01-27, 168,1997-10-24,  481.0000,1969-01-27,164,1997-10-24,  481.0000
1991-01-28, 164,1960-01-28, 182,1997-10-25,  272.0000,1969-01-28,158,1997-10-25,  272.0000
1991-01-29, 164,1960-01-29, 182,1997-10-26,  293.0000,1969-01-29,145,1997-10-26,  293.0000
1991-01-30, 165,1960-01-30, 178,1997-10-27,  556.0000,1969-01-30,147,1997-10-27,  556.0000
1991-01-31, 165,1960-01-31, 140,1997-10-28,  567.0000,1969-01-31,142,1997-10-28,  567.0000
1991-02-01, 198,1960-02-01, 699,1997-10-29,  495.0000,1969-02-01,147,1997-10-29,  495.0000
1991-02-02, 210,1960-02-02, 346,1997-10-30,  655.0000,1969-02-02,144,1997-10-30,  655.0000
1991-02-03, 216,1960-02-03, 197,1997-10-31,  478.0000,1969-02-03,142,1997-10-31,  478.0000
1991-02-04, 221,1960-02-04, 170,1997-11-01,  447.0000,1969-02-04,144,1997-11-01,  447.0000
1991-02-05, 225,1960-02-05, 232,1997-11-02,  625.0000,1969-02-05,144,1997-11-02,  625.0000
1991-02-06, 228,1960-02-06, 196,1997-11-03,  366.0000,1969-02-06,141,1997-11-03,  366.0000
1991-02-07, 230,1960-02-07, 751,1997-11-04,  324.0000,1969-02-07,141,1997-11-04,  324.0000
1991-02-08, 233,1960-02-08,1760,1997-11-05,  167.0000,1969-02-08,142,1997-11-05,  167.0000
1991-02-09, 235,1960-02-09, 670,1997-11-06,  112.0000,1969-02-09,141,1997-11-06,  112.0000
1991-02-10, 237,1960-02-10, 388,1997-11-07,  108.0000,1969-02-10,145,1997-11-07,  108.0000
1991-02-11, 239,1960-02-11, 269,1997-11-08,  113.0000,1969-02-11,147,1997-11-08,  113.0000
1991-02-12, 242,1960-02-12, 222,1997-11-09,  201.6667,1969-02-12,145,1997-11-09,  201.6667
1991-02-13, 244,1960-02-13, 202,1997-11-10,  290.3333,1969-02-13,141,1997-11-10,  290.3333
1991-02-14, 246,1960-02-14, 181,1997-11-11,  379.0000,1969-02-14,142,1997-11-11,  379.0000
1991-02-15, 248,1960-02-15, 166,1997-11-12,  160.0000,1969-02-15,142,1997-11-12,  160.0000
1991-02-16, 250,1960-02-16, 155,1997-11-13,  519.0000,1969-02-16,141,1997-11-13,  519.0000
1991-02-17, 251,1960-02-17, 145,1997-11-14,  362.0000,1969-02-17,140,1997-11-14,  362.0000
1991-02-18, 253,1960-02-18, 142,1997-11-15,  402.0000,1969-02-18,140,1997-11-15,  402.0000
1991-02-19, 254,1960-02-19, 134,1997-11-16,  339.0000,1969-02-19,139,1997-11-16,  339.0000
1991-02-20, 256,1960-02-20, 127,1997-11-17,  290.0000,1969-02-20,139,1997-11-17,  290.0000
1991-02-21, 257,1960-02-21, 127,1997-11-18,  573.0000,1969-02-21,138,1997-11-18,  573.0000
1991-02-22, 259,1960-02-22, 120,1997-11-19,  509.0000,1969-02-22,137,1997-11-19,  509.0000
1991-02-23, 260,1960-02-23, 118,1997-11-20,  422.0000,1969-02-23,139,1997-11-20,  422.0000
1991-02-24, 261,1960-02-24, 113,1997-11-21,  279.0000,1969-02-24,136,1997-11-21,  279.0000
1991-02-25, 263,1960-02-25, 117,1997-11-22,  375.0000,1969-02-25,136,1997-11-22,  375.0000
1991-02-26, 264,1960-02-26, 113,1997-11-23,  485.0000,1969-02-26,135,1997-11-23,  485.0000
1991-02-27, 265,1960-02-27, 111,1997-11-24,  112.0000,1969-02-27,136,1997-11-24,  112.0000
1991-02-28, 266,1960-02-28, 111,1997-11-25,  646.0000,1969-02-28,137,1997-11-25,  646.0000
1991-03-01, 310,1960-02-29, 106,1997-11-26, 1843.0000,1969-03-01,136,1997-11-26, 1843.0000
1991-03-02, 328,1960-03-01, 106,1997-11-27,  567.0000,1969-03-02,136,1997-11-27,  567.0000
1991-03-03, 339,1960-03-02, 106,1997-11-28,  370.0000,1969-03-03,135,1997-11-28,  370.0000
1991-03-04, 346,1960-03-03, 112,1997-11-29,  222.0000,1969-03-04,135,1997-11-29,  222.0000
1991-03-05, 352,1960-03-04, 126,1997-11-30,  568.0000,1969-03-05,135,1997-11-30,  568.0000
1991-03-06, 357,1960-03-05, 227,1997-12-01,  604.0000,1969-03-06,134,1997-12-01,  604.0000
1991-03-07, 361,1960-03-06, 427,1997-12-02,  314.0000,1969-03-07,134,1997-12-02,  314.0000
1991-03-08, 365,1960-03-07,1180,1997-12-03,  559.0000,1969-03-08,133,1997-12-03,  559.0000
1991-03-09, 368,1960-03-08, 702,1997-12-04,  395.0000,1969-03-09,135,1997-12-04,  395.0000
1991-03-10, 371,1960-03-09, 427,1997-12-05,  570.0000,1969-03-10,133,1997-12-05,  570.0000
1991-03-11, 374,1960-03-10, 308,1997-12-06,  418.0000,1969-03-11,134,1997-12-06,  418.0000
1991-03-12, 376,1960-03-11, 264,1997-12-07, 1230.0000,1969-03-12,134,1997-12-07, 1230.0000
1991-03-13, 378,1960-03-12, 260,1997-12-08,  984.0000,1969-03-13,132,1997-12-08,  984.0000
1991-03-14, 381,1960-03-13, 260,1997-12-09,  580.0000,1969-03-14,132,1997-12-09,  580.0000
1991-03-15, 383,1960-03-14, 241,1997-12-10,  569.0000,1969-03-15,133,1997-12-10,  569.0000
1991-03-16, 385,1960-03-15, 220,1997-12-11,  297.0000,1969-03-16,133,1997-12-11,  297.0000
1991-03-17, 388,1960-03-16, 210,1997-12-12,  283.0000,1969-03-17,134,1997-12-12,  283.0000
1991-03-18, 390,1960-03-17, 234,1997-12-13,  400.0000,1969-03-18,133,1997-12-13,  400.0000
1991-03-19, 391,1960-03-18, 274,1997-12-14,  327.0000,1969-03-19,132,1997-12-14,  327.0000
1991-03-20, 393,1960-03-19, 328,1997-12-15,  523.0000,1969-03-20,133,1997-12-15,  523.0000
1991-03-21, 395,1960-03-20, 378,1997-12-16,  271.0000,1969-03-21,132,1997-12-16,  271.0000
1991-03-22, 396,1960-03-21, 434,1997-12-17,  532.0000,1969-03-22,133,1997-12-17,  532.0000
1991-03-23, 398,1960-03-22, 495,1997-12-18,  418.0000,1969-03-23,133,1997-12-18,  418.0000
1991-03-24, 399,1960-03-23, 518,1997-12-19,  304.0000,1969-03-24,133,1997-12-19,  304.0000
1991-03-25, 400,1960-03-24, 542,1997-12-20,NA,1969-03-25,134,1997-12-20,NA
1991-03-26, 401,1960-03-25, 567,1997-12-21,  453.0000,1969-03-26,135,1997-12-21,  453.0000
1991-03-27, 402,1960-03-26, 625,1997-12-22,  137.0000,1969-03-27,137,1997-12-22,  137.0000
1991-03-28, 403,1960-03-27, 778,1997-12-23,  403.0000,1969-03-28,139,1997-12-23,  403.0000
1991-03-29, 404,1960-03-28, 688,1997-12-24,  317.0000,1969-03-29,141,1997-12-24,  317.0000
1991-03-30, 405,1960-03-29, 476,1997-12-25,  200.0000,1969-03-30,145,1997-12-25,  200.0000
1991-03-31, 405,1960-03-30, 687,1997-12-26,  196.0000,1969-03-31,153,1997-12-26,  196.0000
1991-04-01, 355,1960-03-31, 481,1997-12-27,  358.0000,1969-04-01,154,1997-12-27,  358.0000
1991-04-02, 336,1960-04-01, 385,1997-12-28,  469.0000,1969-04-02,153,1997-12-28,  469.0000
1991-04-03, 327,1960-04-02, 375,1997-12-29,    8.0000,1969-04-03,150,1997-12-29,    8.0000
1991-04-04, 321,1960-04-03, 415,1997-12-30,  408.0000,1969-04-04,149,1997-12-30,  408.0000
1991-04-05, 317,1960-04-04, 503,1997-12-31,  371.0000,1969-04-05,154,1997-12-31,  371.0000
1991-04-06, 314,1960-04-05, 589,1998-01-01,  424.0000,1969-04-06,149,1998-01-01,  424.0000
1991-04-07, 312,1960-04-06, 589,1998-01-02,  787.0000,1969-04-07,148,1998-01-02,  787.0000
1991-04-08, 310,1960-04-07, 608,1998-01-03,  465.0000,1969-04-08,147,1998-01-03,  465.0000
1991-04-09, 309,1960-04-08, 556,1998-01-04, 1228.0000,1969-04-09,148,1998-01-04, 1228.0000
1991-04-10, 308,1960-04-09, 525,1998-01-05,  616.0000,1969-04-10,147,1998-01-05,  616.0000
1991-04-11, 307,1960-04-10, 484,1998-01-06,  644.0000,1969-04-11,149,1998-01-06,  644.0000
1991-04-12, 306,1960-04-11, 439,1998-01-07,  560.0000,1969-04-12,153,1998-01-07,  560.0000
1991-04-13, 305,1960-04-12, 364,1998-01-08,  515.0000,1969-04-13,152,1998-01-08,  515.0000
1991-04-14, 305,1960-04-13, 350,1998-01-09, 1164.0000,1969-04-14,152,1998-01-09, 1164.0000
1991-04-15, 304,1960-04-14, 355,1998-01-10, 1243.0000,1969-04-15,149,1998-01-10, 1243.0000
1991-04-16, 304,1960-04-15, 306,1998-01-11, 1985.0000,1969-04-16,149,1998-01-11, 1985.0000
1991-04-17, 303,1960-04-16, 282,1998-01-12, 5248.0000,1969-04-17,154,1998-01-12, 5248.0000
1991-04-18, 303,1960-04-17, 274,1998-01-13, 1847.0000,1969-04-18,160,1998-01-13, 1847.0000
1991-04-19, 303,1960-04-18, 267,1998-01-14, 2067.0000,1969-04-19,159,1998-01-14, 2067.0000
1991-04-20, 303,1960-04-19, 267,1998-01-15, 9544.0000,1969-04-20,162,1998-01-15, 9544.0000
1991-04-21, 302,1960-04-20, 275,1998-01-16, 4873.0000,1969-04-21,168,1998-01-16, 4873.0000
1991-04-22, 302,1960-04-21, 279,1998-01-17, 3418.0000,1969-04-22,176,1998-01-17, 3418.0000
1991-04-23, 302,1960-04-22, 252,1998-01-18, 3974.0000,1969-04-23,184,1998-01-18, 3974.0000
1991-04-24, 302,1960-04-23, 245,1998-01-19, 3353.0000,1969-04-24,171,1998-01-19, 3353.0000
1991-04-25, 302,1960-04-24, 217,1998-01-20, 1609.0000,1969-04-25,165,1998-01-20, 1609.0000
1991-04-26, 302,1960-04-25, 207,1998-01-21, 1518.0000,1969-04-26,161,1998-01-21, 1518.0000
1991-04-27, 302,1960-04-26, 208,1998-01-22,  956.0000,1969-04-27,160,1998-01-22,  956.0000
1991-04-28, 302,1960-04-27, 272,1998-01-23, 1273.0000,1969-04-28,162,1998-01-23, 1273.0000
1991-04-29, 302,1960-04-28, 224,1998-01-24, 1110.0000,1969-04-29,171,1998-01-24, 1110.0000
1991-04-30, 302,1960-04-29, 214,1998-01-25, 1150.0000,1969-04-30,172,1998-01-25, 1150.0000
1991-05-01, 337,1960-04-30, 235,1998-01-26,  850.0000,1969-05-01,170,1998-01-26,  850.0000
1991-05-02, 351,1960-05-01, 268,1998-01-27,  800.0000,1969-05-02,168,1998-01-27,  800.0000
1991-05-03, 360,1960-05-02, 309,1998-01-28,  635.0000,1969-05-03,170,1998-01-28,  635.0000
1991-05-04, 365,1960-05-03, 326,1998-01-29, 1961.0000,1969-05-04,162,1998-01-29, 1961.0000
1991-05-05, 369,1960-05-04, 305,1998-01-30, 1174.0000,1969-05-05,162,1998-01-30, 1174.0000
1991-05-06, 372,1960-05-05, 293,1998-01-31, 1027.0000,1969-05-06,175,1998-01-31, 1027.0000
1991-05-07, 375,1960-05-06, 327,1998-02-01, 1317.0000,1969-05-07,189,1998-02-01, 1317.0000
1991-05-08, 377,1960-05-07, 455,1998-02-02, 3690.0000,1969-05-08,205,1998-02-02, 3690.0000
1991-05-09, 378,1960-05-08, 466,1998-02-03,11168.0000,1969-05-09,224,1998-02-03,11168.0000
1991-05-10, 379,1960-05-09, 506,1998-02-04, 6365.0000,1969-05-10,240,1998-02-04, 6365.0000
1991-05-11, 380,1960-05-10, 581,1998-02-05, 3137.0000,1969-05-11,256,1998-02-05, 3137.0000
1991-05-12, 381,1960-05-11, 676,1998-02-06, 4961.0000,1969-05-12,261,1998-02-06, 4961.0000
1991-05-13, 382,1960-05-12, 647,1998-02-07, 6348.0000,1969-05-13,245,1998-02-07, 6348.0000
1991-05-14, 383,1960-05-13, 495,1998-02-08, 6989.0000,1969-05-14,251,1998-02-08, 6989.0000
1991-05-15, 384,1960-05-14, 423,1998-02-09, 4487.0000,1969-05-15,235,1998-02-09, 4487.0000
1991-05-16, 384,1960-05-15, 398,1998-02-10, 3167.0000,1969-05-16,245,1998-02-10, 3167.0000
1991-05-17, 385,1960-05-16, 368,1998-02-11, 2733.0000,1969-05-17,267,1998-02-11, 2733.0000
1991-05-18, 385,1960-05-17, 332,1998-02-12, 2913.0000,1969-05-18,290,1998-02-12, 2913.0000
1991-05-19, 386,1960-05-18, 298,1998-02-13, 2486.0000,1969-05-19,290,1998-02-13, 2486.0000
1991-05-20, 386,1960-05-19, 270,1998-02-14, 4850.0000,1969-05-20,273,1998-02-14, 4850.0000
1991-05-21, 387,1960-05-20, 289,1998-02-15, 3585.0000,1969-05-21,274,1998-02-15, 3585.0000
1991-05-22, 387,1960-05-21, 270,1998-02-16, 2901.0000,1969-05-22,280,1998-02-16, 2901.0000
1991-05-23, 387,1960-05-22, 236,1998-02-17, 2567.0000,1969-05-23,294,1998-02-17, 2567.0000
1991-05-24, 388,1960-05-23, 258,1998-02-18, 2310.0000,1969-05-24,313,1998-02-18, 2310.0000
1991-05-25, 388,1960-05-24, 306,1998-02-19, 3003.0000,1969-05-25,335,1998-02-19, 3003.0000
1991-05-26, 388,1960-05-25, 289,1998-02-20, 3253.0000,1969-05-26,335,1998-02-20, 3253.0000
1991-05-27, 388,1960-05-26, 434,1998-02-21, 3466.0000,1969-05-27,313,1998-02-21, 3466.0000
1991-05-28, 389,1960-05-27, 501,1998-02-22, 3320.0000,1969-05-28,290,1998-02-22, 3320.0000
1991-05-29, 389,1960-05-28, 518,1998-02-23, 4129.0000,1969-05-29,292,1998-02-23, 4129.0000
1991-05-30, 389,1960-05-29, 531,1998-02-24, 3347.0000,1969-05-30,313,1998-02-24, 3347.0000
1991-05-31, 389,1960-05-30, 524,1998-02-25, 2238.0000,1969-05-31,315,1998-02-25, 2238.0000
1991-06-01, 303,1960-05-31, 561,1998-02-26, 2230.0000,1969-06-01,308,1998-02-26, 2230.0000
1991-06-02, 272,1960-06-01, 613,1998-02-27, 2132.0000,1969-06-02,306,1998-02-27, 2132.0000
1991-06-03, 255,1960-06-02, 607,1998-02-28, 1943.0000,1969-06-03,311,1998-02-28, 1943.0000
1991-06-04, 244,1960-06-03, 537,1998-03-01, 2171.0000,1969-06-04,322,1998-03-01, 2171.0000
1991-06-05, 236,1960-06-04, 472,1998-03-02, 2219.0000,1969-06-05,326,1998-03-02, 2219.0000
1991-06-06, 229,1960-06-05, 398,1998-03-03, 2121.0000,1969-06-06,315,1998-03-03, 2121.0000
1991-06-07, 224,1960-06-06, 332,1998-03-04, 2218.0000,1969-06-07,296,1998-03-04, 2218.0000
1991-06-08, 219,1960-06-07, 293,1998-03-05, 2412.0000,1969-06-08,298,1998-03-05, 2412.0000
