Month,Alfalfa,Grain,Pasture,ET_NoIrr,NoET_NoIrr,Water_Year
1990-10-01,2076530.19714355,0,2674984.83660889,3242482.8883667,0,1991
1990-11-01,427160.46115112,0,520655.76156616,2357278.27822876,0,1991
1990-12-01,0,0,0,1289818.34001923,0,1991
1991-01-01,0,0,0,1720934.38197327,0,1991
1991-02-01,0,0,0,2303542.80787659,0,1991
1991-03-01,2089641.13769531,11228.55148315,3057931.58032227,6686164.83460808,0,1991
1991-04-01,2206071.47802734,103410.72973633,3225013.52929688,6756704.46765137,0,1991
1991-05-01,2469576.27246094,415718.57763672,3613919.68847656,6526899.4960022,0,1991
1991-06-01,3676786.62304688,611607.67382812,5380522.87561035,5964942.443573,0,1991
1991-07-01,5129118.61230469,168686.7421875,7489048.37182617,4671813.85656738,0,1991
1991-08-01,4369248.734375,0,5137555.59960938,2086203.99482727,0,1991
1991-09-01,3125269.37060547,0,3077103.83111572,683137.32273865,0,1991
1991-10-01,1884667.18951416,0,2350834.7041626,1473524.37507629,0,1992
1991-11-01,339873.75241852,0,384035.14253998,1856815.1651001,0,1992
1991-12-01,0,0,0,1284094.28400421,0,1992
1992-01-01,0,0,0,1724298.21717834,0,1992
1992-02-01,0,0,0,2381712.52719116,0,1992
1992-03-01,1979291.10998535,9349.18704224,2779936.6942749,6054236.12088013,0,1992
1992-04-01,2873164.13793945,106046.03863525,4032877.43469238,8377961.88531494,0,1992
1992-05-01,3760654.39868164,455747.07202148,5281881.51281738,6606037.26905823,0,1992
1992-06-01,4788607.46655273,537128.16479492,6725653.15466309,6160149.52270508,0,1992
1992-07-01,5344087.55371094,98947.86578369,7469809.94213867,2210558.41197205,0,1992
1992-08-01,5146155.39575195,0,5006463.24414062,0,0,1992
1992-09-01,3447796.86254883,0,3749325.79614258,494728.64112854,0,1992
1992-10-01,1973809.4119873,0,2779936.6942749,4029296.45877075,0,1993
1992-11-01,446936.86096191,0,627727.86763,2472727.71261597,0,1993
1992-12-01,0,0,0,1307666.54475403,0,1993
1993-01-01,0,0,0,1308769.61204529,0,1993
1993-02-01,0,0,0,1919619.89968872,0,1993
1993-03-01,1863956.47894287,12882.77826309,2779936.6942749,6055431.2693367,0,1993
1993-04-01,2344978.74182129,133407.33786011,3497341.52990723,7565997.44940186,0,1993
1993-05-01,3355121.12219238,655693.95825195,5003885.29406738,10350994.4235229,0,1993
1993-06-01,4329188.44848633,809177.24707031,6456625.91430664,12376762.1297913,0,1993
1993-07-01,4659891.02648926,157697.54623413,6949841.45324707,9655714.38754272,0,1993
1993-08-01,4287100.68798828,0,6393421.93994141,4301870.18463135,0,1993
1993-09-01,3427276.13208008,0,5089028.47143555,673125.0572052,0,1993
1993-10-01,2045916.34838867,0,3041209.20556641,2112505.06292725,0,1994
1993-11-01,415834.62153435,0,601642.06009293,738881.32910728,0,1994
1993-12-01,0,0,0,1294595.92774963,0,1994
1994-01-01,0,0,0,1293293.13825989,0,1994
1994-02-01,0,0,0,1912460.62149811,0,1994
1994-03-01,2054445.4597168,15659.07646561,3057455.15307617,6613702.69747925,0,1994
1994-04-01,2530401.8616333,150706.06430054,3739790.75732422,5394052.10311127,0,1994
1994-05-01,3735353.90368652,730466.22692871,5559873.3885498,4754968.14434814,0,1994
1994-06-01,4518573.20983887,817857.15393066,6725653.15466309,2532.87011719,0,1994
1994-07-01,5789798.01660156,172983.20089722,6879111.76086426,0,0,1994
1994-08-01,4669192.20275879,0,3436296.60452271,0,0,1994
1994-09-01,3410340.94506836,0,2648506.53131104,590129.82237244,0,1994
1994-10-01,1922076.17568398,0,1868180.54959106,83957.13140011,0,1995
1994-11-01,337386.81945801,0,502182.13775635,2017318.22174072,0,1995
1994-12-01,0,0,0,1295261.37634277,0,1995
1995-01-01,0,0,0,887563.21635437,0,1995
1995-02-01,0,0,0,3058507.01512527,0,1995
1995-03-01,1473307.67944336,11005.7390213,2223950.50897217,4933280.50463867,0,1995
1995-04-01,2316895.16357422,142462.13476562,3497341.52990723,7719981.94708252,0,1995
1995-05-01,3499105.1328125,739097.83837891,5281881.51281738,11062350.5181885,0,1995
1995-06-01,4099120.79101562,828094.80175781,6187602.11572266,11455456.0336914,0,1995
1995-07-01,4604083.94238281,168401.00024414,6949841.45324707,11391304.4970703,0,1995
1995-08-01,4604083.94238281,0,6949661.20178223,6099258.14678955,0,1995
1995-09-01,3208006.4765625,0,4818491.65759277,2259162.32076263,0,1995
1995-10-01,2008209.98910522,0,3031632.45361328,1153657.49022388,0,1996
1995-11-01,493082.29863358,0,686607.35483551,1487728.49001122,0,1996
1995-12-01,0,0,0,1315308.37437439,0,1996
1996-01-01,0,0,0,1321773.16635132,0,1996
1996-02-01,0,0,0,2382885.08543396,0,1996
1996-03-01,1794755.81726074,8697.67794037,2501943.17987061,5452828.7915802,0,1996
1996-04-01,2701783.66296387,97634.2454834,3766028.50860596,8087638.42837524,0,1996
1996-05-01,3788929.99389648,429430.51757812,5281881.51281738,10597445.8897095,0,1996
1996-06-01,5017595.23876953,509257.46337891,6994677.57885742,10851601.7617416,0,1996
1996-07-01,5982518.18212891,90915.62469482,8339808.94213867,7148471.32088089,0,1996
1996-08-01,5384268.65380859,0,7125744.74829102,2312945.87336731,0,1996
1996-09-01,3280500.07299805,0,3703584.57788086,1234738.84505463,0,1996
1996-10-01,1984630.13562012,0,2779936.6942749,2740968.55166626,0,1997
1996-11-01,414949.09133911,0,566730.05969238,2250888.44914246,0,1997
1996-12-01,0,0,0,1328178.06118774,0,1997
1997-01-01,0,0,0,1731870.6305542,0,1997
1997-02-01,32896.1881485,0,44837.7087574,1938517.92477226,0,1997
1997-03-01,2039562.75524902,6710.56629181,2779936.6942749,6016243.34176254,0,1997
1997-04-01,2763279.48864746,71042.21783447,3756450.87652588,7637509.35317993,0,1997
1997-05-01,4690995.2109375,395989.35083008,6393855.57275391,10913355.5632477,0,1997
1997-06-01,4737048.12060547,370113.12231445,6456625.91430664,8376718.15631104,0,1997
1997-07-01,3467257.4855957,44717.43661499,4725893.46618652,4428883.64195251,0,1997
1997-08-01,407912.76266479,0,555987.62724304,1091245.8304863,0,1997
1997-09-01,394754.28295898,0,538052.53311157,1162087.34684372,0,1997
1997-10-01,203956.77752686,0,277994.35438538,602995.35622787,0,1998
1997-11-01,85530.22792435,0,116578.23125267,497653.09285736,0,1998
1997-12-01,0,0,0,1299323.32380676,0,1998
1998-01-01,0,0,0,1342410.80966187,0,1998
1998-02-01,30063.82759857,0,44837.7087574,1941198.92313957,0,1998
1998-03-01,1677560.94128418,14398.40310669,2501943.17987061,5514328.05587387,0,1998
1998-04-01,2525361.21972656,161626.72814941,3766367.0635376,8049304.50469971,0,1998
1998-05-01,2795934.33251953,561231.01220703,4169904.47106934,8958777.5222168,0,1998
1998-06-01,4329188.44580078,778191.22363281,6456625.91430664,12545059.0895386,0,1998
1998-07-01,5591868.66503906,150504.52105713,8339808.94213867,12337787.1196747,0,1998
1998-08-01,5032683.94580078,0,7505831.21264648,5452739.60627365,0,1998
1998-09-01,3427276.13378906,0,5108253.19262695,3709012.51797485,0,1998
1998-10-01,1863956.48242188,0,2779936.6942749,3724728.21405029,0,1999
1998-11-01,336714.73446655,0,502182.13775635,2033921.23565674,0,1999
1998-12-01,0,0,0,1299263.4258728,0,1999
1999-01-01,0,0,0,1737509.37524414,0,1999
1999-02-01,0,0,0,3077643.5317688,0,1999
1999-03-01,1519739.19555664,10267.81735229,2223950.50897217,4836371.02388191,0,1999
1999-04-01,2573751.37841797,135876.86474609,3763779.83868408,7590934.05532074,0,1999
1999-05-01,3799346.02441406,658589.68847656,5559873.3885498,9399997.0798912,0,1999
1999-06-01,4595983.02050781,737381.50390625,6725653.15466309,6769286.70469666,0,1999
1999-07-01,5509052.58496094,145899.90429688,8061817.62207031,1058232.48496819,0,1999
1999-08-01,4559214.359375,0,6669470.38928223,659057.26836395,0,1999
1999-09-01,3666751.36254883,0,5352584.47277832,0,0,1999
1999-10-01,2225963.87060547,0,3321227.90631104,1179454.81974792,0,2000
1999-11-01,428958.57318115,0,627727.86763,2501825.58972168,0,2000
1999-12-01,0,0,0,1295030.53723145,0,2000
2000-01-01,0,0,0,1322769.82861328,0,2000
2000-02-01,0,0,0,2408122.6210022,0,2000
2000-03-01,1187574.44134521,7577.76111221,1667961.70083618,3645079.32781219,0,2000
2000-04-01,2873164.13793945,126148.42919922,4035377.8770752,8827205.28167725,0,2000
2000-05-01,3760654.39868164,471835.98193359,5281881.51281738,10375517.3443451,0,2000
2000-06-01,2106988.13696289,221318.80944824,2959288.61499023,5033550.24549484,0,2000
2000-07-01,4750297.76538086,60359.6529541,6671846.80334473,9589824.19152832,0,2000
2000-08-01,4948227.5925293,0,6832066.20654297,3075920.4854641,0,2000
2000-09-01,3446254.50073242,0,3853427.02978516,518542.62731934,0,2000
2000-10-01,1968958.60546875,0,2779038.8270874,3889663.01821899,0,2001
2000-11-01,357549.37863159,0,502182.13775635,1985917.71078491,0,2001
2000-12-01,0,0,0,1291698.47218323,0,2001
2001-01-01,0,0,0,1728503.00941467,0,2001
2001-02-01,0,0,0,1975722.13519287,0,2001
2001-03-01,1863956.47894287,17682.24414444,2779936.6942749,6013653.52647781,0,2001
2001-04-01,2344978.74182129,159025.69418335,3494589.36047363,7186496.77749634,0,2001
2001-05-01,4473494.6998291,908402.69555664,6671846.80334473,3815789.98455811,0,2001
2001-06-01,4689953.76342773,824817.25354004,6964708.62182617,292305.23403168,0,2001
2001-07-01,5405474.62207031,128372.09603882,5669267.33447266,1377822.40163422,0,2001
2001-08-01,5032683.93139648,0,3541771.97003174,0,0,2001
2001-09-01,3327593.54125977,0,2777096.40692139,1459490.52246857,0,2001
2001-10-01,1982798.44554138,0,1890383.1913147,675015.13581848,0,2002
2001-11-01,363166.20537567,0,314488.02404785,1624814.43936157,0,2002
2001-12-01,0,0,0,1327294.59667969,0,2002
2002-01-01,0,0,0,1747058.3062439,0,2002
2002-02-01,0,0,0,2409542.6282959,0,2002
2002-03-01,2241211.91802979,23076.52682877,3334141.17364502,7159868.65795898,0,2002
2002-04-01,2530401.8616333,179274.35665894,3725924.72558594,7438470.76879883,0,2002
2002-05-01,3361817.98156738,680627.72900391,5003885.29406738,9130902.53285217,0,2002
2002-06-01,4157088.16064453,704616.8359375,6187602.11572266,8276449.89557648,0,2002
2002-07-01,5042729.22241211,103394.85272217,7489731.0012207,4522837.16216278,0,2002
2002-08-01,4855958.67224121,0,5767172.85888672,0,0,2002
2002-09-01,3613423.35070801,0,3401530.27185059,401471.07962418,0,2002
2002-10-01,1981897.90037537,0,2154739.42474365,0,0,2003
2002-11-01,401152.40300751,0,478812.76515198,1888176.35755157,0,2003
2002-12-01,0,0,0,1322933.22659302,0,2003
2003-01-01,0,0,0,1753685.70089722,0,2003
2003-02-01,0,0,0,5643430.31994629,0,2003
2003-03-01,2209959.96044922,20500.88671875,3335923.40167236,7369825.74041748,0,2003
2003-04-01,1960449.48974609,135611.83862305,2959288.61499023,6536050.26623535,0,2003
2003-05-01,3683267.29541016,799098.55175781,5559873.3885498,11428800.2784271,0,2003
2003-06-01,4990234.76269531,969511.16308594,7532734.1270752,11814604.4888029,0,2003
2003-07-01,5709063.76953125,166077.11071777,8617802.96679688,9501456.22491455,0,2003
2003-08-01,4419919.92089844,0,6670264.49523926,9394767.63253784,0,2003
2003-09-01,3386230.90966797,0,4756017.16235352,2135539.59467506,0,2003
2003-10-01,2198135.80957031,0,2731578.62451172,851989.46768665,0,2004
2003-11-01,415456.85617065,0,616758.46406555,2432244.06848145,0,2004
2003-12-01,0,0,0,1320599.92428589,0,2004
2004-01-01,0,0,0,2195820.71191406,0,2004
2004-02-01,0,0,0,3362571.89813232,0,2004
2004-03-01,1794755.81726074,11581.64411926,2501943.17987061,5427271.40527344,0,2004
2004-04-01,3087753.3125,132431.99383545,4300253.77783203,8775900.83789062,0,2004
2004-05-01,3788929.99389648,443037.5690918,5281881.51281738,9748874.07470703,0,2004
2004-06-01,5017595.23876953,474496.28125,6994677.57885742,9388768.75978851,0,2004
2004-07-01,6181935.7265625,62860.6355896,8593348.68896484,5248371.80692673,0,2004
2004-08-01,5184848.29516602,0,5769052.13635254,1168367.5488205,0,2004
2004-09-01,3647616.11315918,0,3354663.77294922,0,0,2004
2004-10-01,1969381.3293457,0,2779936.6942749,3207834.78952026,0,2005
2004-11-01,418133.17657471,0,582890.13104248,2458554.68481445,0,2005
2004-12-01,0,0,0,2157426.07426453,0,2005
2005-01-01,0,0,0,1735458.63264465,0,2005
2005-02-01,39475.4101963,0,53805.22903347,2471057.78572845,0,2005
2005-03-01,2243519.92260742,9971.66731262,3057931.58032227,6621600.87717438,0,2005
2005-04-01,2565902.8840332,78472.83209229,3494334.62963867,7175658.92016602,0,2005
2005-05-01,3467257.4855957,303020.35888672,4725893.46618652,9860794.21716309,0,2005
2005-06-01,3947540.98022461,288828.95410156,5380522.87561035,8981196.82910919,0,2005
2005-07-01,5710777.60107422,50545.09048462,7783407.37280273,9452237.64068604,0,2005
2005-08-01,5710777.60107422,0,6888137.48059082,4008367.82078934,0,2005
2005-09-01,3353305.07299805,0,3178042.0559082,1489983.1859436,0,2005
2005-10-01,2029779.77368164,0,2483812.84835815,1274981.86919403,0,2006
2005-11-01,342035.85427856,0,461872.05635071,1969872.30502319,0,2006
2005-12-01,0,0,0,1312574.30847168,0,2006
2006-01-01,0,0,0,1337180.87692261,0,2006
2006-02-01,36076.57883453,0,53805.22903347,2375004.20949936,0,2006
2006-03-01,1118373.67626953,12781.73610687,1667961.70083618,3693383.40861702,0,2006
2006-04-01,2164594.22290039,164423.98571777,3228312.95715332,7110461.71133423,0,2006
2006-05-01,3541518.52099609,733417.98925781,5281881.51281738,10551234.6755981,0,2006
2006-06-01,4509572.06396484,755284.48730469,6725653.15466309,10527390.8472824,0,2006
2006-07-01,5591868.66503906,100704.59039307,8326650.94799805,6742892.88377571,0,2006
2006-08-01,4473494.70507812,0,5626618.63903809,3974445.74836731,0,2006
2006-09-01,3232479.14593506,0,3787420.36169434,1195839.32583046,0,2006
2006-10-01,1809222.99739647,0,2203008.14715576,495200.42214012,0,2007
2006-11-01,335264.95082092,0,489863.77423096,1953848.39862061,0,2007
2006-12-01,0,0,0,1303337.8119812,0,2007
2007-01-01,0,0,0,1281624.99152374,0,2007
2007-02-01,0,0,0,1980533.29345703,0,2007
2007-03-01,1899673.01220703,17338.20178223,2779229.55255127,5996057.94252396,0,2007
2007-04-01,2573751.37841797,161634.08862305,3740759.3192749,7332274.66531372,0,2007
2007-05-01,3989314.35839844,715931.0859375,5837868.51464844,9907301.13371277,0,2007
2007-06-01,4412142.95605469,662904.74609375,6456625.91430664,6766529.55056,0,2007
2007-07-01,5129118.61230469,93220.9876709,7007600.29321289,1225158.11934662,0,2007
2007-08-01,4559214.359375,0,4212873.70617676,149124.97517204,0,2007
2007-09-01,2927959.09320068,0,2697402.4659729,162592.37052536,0,2007
2007-10-01,1516858.86413574,0,2223950.50897217,4560938.76409912,0,2008
2007-11-01,428958.57318115,0,627727.86763,2466968.16426086,0,2008
2007-12-01,0,0,0,1304355.14199829,0,2008
