V1,V2,V3,V4,V5,bestlam,rmse
3,11,17,18,21,7.75924660733324,263.946054772741
1,5,9,12,14,73.3516488216872,39.4462742522149
3,11,15,18,19,49.8807940612632,150.535735514386
7,9,10,12,19,63.9927639557169,75.9984874274502
3,9,15,17,21,8.61414527554124,151.716242017017
5,7,10,12,15,65.1163271668727,68.5444834361147
13,14,17,18,20,13.6389561860845,94.5828717879295
8,10,13,14,15,9.26261116787329,220.603615187094
8,9,15,17,20,14.2419270540165,60.4686106421844
2,3,9,11,15,53.5114954829589,166.045301792623
2,6,10,12,17,3.36365259768089,253.056339788803
7,12,13,14,21,63.4357178822757,87.5288003354409
2,4,5,9,10,73.5376222817228,65.4780952103904
1,12,14,15,16,11.2275016557082,35.2293353775785
4,8,11,12,21,42.1312710210182,215.741104421094
4,7,11,17,18,48.567117119961,172.591469527723
1,8,14,15,16,12.192779350162,31.5302870984045
5,8,11,12,15,55.150981846934,175.670843638208
5,6,13,14,19,0.780182977921837,284.949781892258
3,12,14,17,20,62.9812092339046,52.012740014438
1,9,11,15,18,49.1969300477875,173.940826294882
3,6,10,15,20,51.3163730813553,366.215008681065
5,8,14,15,20,64.2084269714854,39.374417607182
5,12,13,15,19,71.5733072111631,26.874452375373
9,13,15,16,18,9.00950068601736,114.120158728604
2,7,9,10,15,63.3773745312023,68.4058099732416
3,5,8,15,16,15.4115839198173,29.1200357203182
3,5,6,7,19,0.729349304744514,340.074160127166
1,2,6,11,14,11.8129430806936,228.439278255769
3,6,9,11,19,9.83791024830819,499.703116399388
3,7,8,15,17,11.8077600840367,34.0210809854132
3,5,9,11,15,54.5231515472056,165.422278818895
3,6,18,19,20,2.32474237260438,577.788116426576
4,5,10,11,19,44.7637144342583,179.220587232299
5,7,8,13,15,5.84536353255498,51.68259369951
8,9,11,13,19,54.0613223411657,194.013486934043
1,2,9,15,18,79.4669521602549,44.348349193521
6,7,12,13,18,0.726520222559848,3714.99072770543
9,10,15,16,21,10.105720324383,261.314310426266
4,9,10,17,18,15.2439808272313,98.854217636187
4,6,16,18,19,0.734179188458546,241.799777178782
1,2,18,19,20,7.54638500440087,65.9532263118918
3,7,12,16,19,58.6354621805622,32.1682982068342
3,4,16,17,19,8.20066668816621,41.225533048675
2,3,13,16,17,2.07184064869142,31.1665506029716
1,13,15,17,21,13.623284145779,85.7502537737304
1,5,6,8,11,9.54314163181486,303.095536455687
2,5,16,17,21,14.7442142550874,92.1154834301912
10,13,14,16,21,6.06474527523218,223.948346447296
5,11,13,17,18,17.4826175826839,160.499604105559
1,6,13,17,21,6.18907167440433,364.139981626678
1,5,8,15,19,9.86270000795092,28.5170271774356
9,11,13,14,19,55.3293719574086,139.034183709739
1,2,3,7,15,10.5258394470697,35.7096780848574
2,6,11,12,14,10.4325891545179,381.36476209246
6,15,16,18,21,47.1261984744292,260.854006268512
2,9,12,13,16,69.216166634374,47.740723556669
1,11,14,16,21,44.9791197282838,155.200274733346
3,9,11,17,19,4.9770424268596,485.722060555758
1,7,8,17,21,8.15468712048718,113.5162282515
3,6,13,15,20,0.766481673983079,734.323658243476
2,3,6,8,16,54.9321185694454,241.641472382802
2,5,12,16,17,16.013216906603,31.2288871027942
1,9,12,17,18,11.2537464552753,67.8841808258092
3,7,11,12,21,42.4299038938204,312.839791918197
1,2,3,14,16,5.4172071122077,49.9801332147116
6,11,14,20,21,16.3155349318143,195.653493806599
4,15,18,20,21,59.3673068038241,79.5817093905715
3,7,12,17,19,10.3546518552027,60.901775160495
4,6,8,12,16,1.35451457269284,552.126884601406
4,11,15,19,21,48.4212427627084,251.417708824512
2,7,17,19,21,12.0135464000023,113.468277366862
5,11,15,16,17,52.9212473128676,200.261111093274
4,6,10,11,14,6.82283807022707,435.528462935315
6,11,13,15,16,13.586364944637,3988.11984925543
3,6,9,16,20,66.8513377730275,157.550812488895
2,4,6,7,21,55.3108113836041,188.258591718267
1,2,3,18,19,75.3515975358553,42.9016230129218
4,6,8,9,15,47.3161691615752,287.121650436608
1,2,3,13,17,10.5866560818627,25.8003736465772
3,4,5,11,15,50.2599219626838,189.73255514071
1,3,8,17,19,7.97894974904165,28.9865769491696
9,10,15,17,19,16.4298508323288,78.7775726515034
3,7,16,20,21,51.0247112722475,122.949423028467
1,3,5,6,16,53.3422568265948,277.823584658636
1,7,9,17,19,61.375221238157,50.7660255720393
1,7,8,17,20,9.40515838910984,66.5923602440458
4,5,18,19,21,61.1135360279934,78.2120732386067
3,6,13,19,21,0.763889526800155,520.728112324119
3,7,13,15,17,11.5539238576239,35.4244288013872
6,9,15,16,20,58.3043564681611,178.427960642165
1,4,8,12,15,76.7473069830574,26.2410075300183
1,2,7,9,15,73.1312274620318,49.4295265528418
5,7,14,15,18,65.5728852712855,44.6622459077442
5,6,7,10,19,0.671954944899861,244.365112116457
4,5,13,19,21,10.9510024933627,99.4952658151118
3,5,7,14,18,68.6563522949614,47.7388530993162
1,5,9,11,13,49.1870308600704,189.139924109798
3,4,8,9,10,57.4085657834191,72.8230566936643
4,10,11,15,21,45.5184812252131,238.035817209735
2,11,12,15,20,52.9400872927492,2842.79121974994
11,12,15,19,20,50.1885267922008,142.129772746114
6,10,13,17,21,5.03723470640017,342.62485663534
2,6,7,15,20,0.731576364915644,244.425505325169
1,4,6,8,15,38.7679138247311,256.126635890113
7,12,15,18,20,63.8155558653881,63.2190810556734
2,7,14,18,20,8.17621507533948,59.3516614696387
1,5,10,14,15,8.33940527082642,140.176582835619
3,10,13,16,17,14.0322755577813,161.061969924253
2,8,15,18,19,70.6148245794554,26.9203725297934
3,6,7,19,20,0.683261339429052,237.914312994862
4,7,9,15,17,12.1637015142336,92.253998718335
2,7,11,12,17,51.1453475464513,166.554406859746
1,8,13,16,20,6.65211148512342,62.8320371926846
5,8,16,18,20,58.7871999970545,57.5430023878623
1,13,14,16,21,7.07620592386415,99.7246859932049
1,2,9,14,17,76.614646202866,42.2064034861784
7,9,12,13,19,72.9233090206332,51.1993682996745
2,4,10,16,19,15.1010706868443,107.698136721489
1,6,9,18,19,2.47104919903061,586.585606942027
3,6,9,10,21,57.3174417682031,254.377989803335
2,15,19,20,21,4.16570119778929,109.256344441181
5,8,12,15,18,68.0952364046684,32.1874166480659
4,7,8,15,20,63.6433632569977,60.8410464516623
5,12,15,19,20,68.1897526194321,39.2892494686463
3,5,6,10,15,43.9131799751194,466.88389298749
8,9,10,19,20,10.3597042340866,75.5914840507329
3,6,14,20,21,59.1158206305266,151.843834870679
6,8,12,13,18,43.4988025998738,4626.89014076241
2,4,11,13,14,56.9366584490087,233.888140100906
1,3,11,17,21,7.92030855912747,211.320592761776
3,8,13,15,20,69.26759618266,53.1311943167459
5,10,12,16,17,19.2031225816548,107.405903739043
3,5,8,10,14,18.523927916125,97.9622651985991
1,4,11,13,16,46.8188843353202,215.040667578283
2,4,15,20,21,0.797383038212079,977.906615420807
2,3,5,10,15,70.7747237991399,58.739508242506
1,4,5,9,21,65.5479228074235,81.8238457144199
4,10,11,13,18,48.1862195152511,200.788904035906
1,7,8,11,13,31.3997621528319,264.747970374952
5,14,15,18,21,58.8897317055035,65.8270976190837
7,13,14,15,16,67.0604896449591,34.9359958999856
3,5,18,19,20,66.0101811089312,50.1724054303426
3,5,9,18,19,14.4598653004422,76.6241755353876
3,5,8,17,18,12.1888119184494,48.3457032294542
6,8,9,12,19,1.39144853266395,241.310591591108
2,6,7,19,20,0.702585901609982,244.277330959843
1,4,8,16,19,7.90115734563732,52.8833815080539
1,5,6,14,15,42.889509833456,271.038635576737
4,13,16,17,18,6.16925350551209,73.2432590839983
3,6,7,12,19,0.688095601505131,241.509995397162
2,10,12,17,21,11.1936414742311,117.515286235061
1,7,12,20,21,6.76507434872773,113.175790905187
4,11,16,18,19,48.1603460058285,170.822412559397
1,5,7,9,13,4.48085895973914,115.095218346044
3,4,6,19,21,1.16014949652507,442.262844067183
2,8,13,15,21,0.9046407693656,857.64315497894
6,9,13,15,18,0.936469092452235,502.491012182185
3,4,5,19,21,12.8275474001924,235.570852564311
2,5,6,12,21,2.18829724107676,316.667103735333
1,9,12,16,19,7.08205993270208,64.6798308351242
4,6,7,15,21,5.20155909971695,361.735490747915
3,8,14,15,19,69.4099883059943,23.454334963316
12,13,14,15,18,13.45995316469,1130.94177838495
4,8,10,12,14,6.22959759760082,129.793221318327
9,10,13,17,18,14.3402193413084,110.132965949549
5,7,9,12,19,65.7550562391262,46.1274889636889
1,4,7,8,14,12.5012149656651,27.8973520914952
4,5,10,12,13,3.63605141762589,183.902969820525
3,11,14,16,20,48.6486922158211,206.105291737572
1,10,13,14,19,8.70115123001056,226.465507975354
2,4,12,14,21,9.56761512544016,181.861653803993
4,6,12,16,19,64.3262527103708,207.245869757027
2,4,5,17,18,14.6320605390397,46.1281888881767
6,8,11,13,21,19.6255317464568,275.964356096989
10,11,12,17,18,45.1617344870181,192.928543302597
1,7,15,19,20,7.89122599322761,60.9672919595315
2,9,11,15,20,43.0619141135275,147.686256122967
2,4,5,15,18,72.2426794211107,40.4415743181857
4,7,12,18,19,7.61099934361566,72.2934151714769
3,9,14,15,19,71.5354296719674,37.6614616715562
7,8,13,19,20,7.62005816735684,77.9203114435762
1,3,8,12,17,64.652496260778,11.9961970164358
1,3,17,18,19,9.99788610264515,71.3749914702334
1,2,3,12,20,4.8993800481154,73.7448483315017
11,12,19,20,21,41.4155087301925,145.498558842975
9,15,18,20,21,57.3035435612475,51.0675461194942
7,11,17,20,21,36.8989853844915,187.681844771241
7,9,11,14,20,50.0136887191976,166.257251991565
7,13,14,16,20,70.1226477383339,62.4959786896801
3,5,6,8,17,1.47425677020367,213.530964744945
1,3,4,8,12,75.1606080008328,15.6525585920063
2,5,6,9,14,50.5951458072793,280.742033702801
1,2,5,14,16,7.98594348312121,46.8464602726374
1,2,10,13,16,0.688064097470047,155.746712630822
2,3,7,8,9,66.9720103540604,47.4692403662875
1,2,6,13,19,1.55532553578914,773.823258538122
2,5,7,8,11,53.2687144586033,250.26660665528
1,8,9,14,19,10.1577059458277,87.9991945757546
8,13,14,16,21,7.73345462447639,99.5252831948093
3,8,13,15,18,70.2324254592863,43.5245962208781
6,8,10,14,18,46.3557240075294,236.117510808742
3,12,13,14,15,51.4471941099538,24.0907020198566
3,5,9,12,17,8.26456782507498,57.2159227485507
1,14,17,18,19,9.1740502642092,57.7107014861895
1,4,7,8,19,10.4328000465282,58.63140021346
4,11,14,17,20,46.5263914016442,176.650149061094
13,14,16,17,18,9.31440598046506,61.1065601717886
2,8,11,18,21,35.9780321030847,172.622638017977
8,9,16,18,21,11.8596792448146,106.50879581422
1,4,5,7,10,65.4432328643295,73.0311380652221
3,5,8,9,18,10.7065673832044,102.639399870487
7,8,11,18,20,30.4697447433217,220.717334254577
1,2,5,7,16,8.3795121958086,47.5761632284551
2,5,12,14,15,73.3712579381045,15.2456713606878
4,9,11,19,20,45.2530687141732,161.305531811501
6,12,16,18,20,38.1282401940838,232.225050428163
2,3,6,9,12,50.4367095955471,238.779973463564
1,6,12,16,17,16.7877071571333,283.048655070312
5,8,10,12,17,9.63885621323863,98.8799771749078
1,6,8,12,20,54.0433471793422,1472.38483042363
6,8,10,19,21,58.3480759322475,179.712529815483
1,6,11,13,17,3.37982548053289,321.319725994853
4,13,18,19,21,9.04100753710832,106.080795260683
9,14,16,19,20,59.4411792075364,57.4943159095294
8,10,11,13,15,21.1040921386715,230.243370675563
2,4,5,6,8,47.7433978368983,4625.66236916798
1,5,9,17,18,9.8414497981052,65.6482467907837
1,5,9,13,19,2.86744404083458,81.7618778958207
2,6,10,15,19,50.6021201934911,284.485137034946
7,9,13,16,20,6.46468827151791,103.253372724007
4,9,10,11,16,44.2359792381268,217.252659465912
2,8,14,16,21,9.54170953750504,98.0626161219518
3,11,14,16,17,44.1987457265133,210.705967196626
1,6,11,20,21,0.323458405428388,271.288070206065
2,11,12,19,21,46.0624638995138,167.071976626117
4,6,10,13,21,0.641873919387857,358.050285374755
5,7,9,18,19,9.53987456691829,54.0165179498909
7,12,13,19,20,12.4394293698385,87.8389485272262
3,6,14,16,20,0.663101289766778,335.602648965304
4,9,11,12,21,51.0837714845952,222.375536374194
3,13,14,16,18,4.06177308508339,108.285168127987
3,8,9,12,18,61.4395240524386,48.6217399935461
1,9,13,15,20,70.0210270949959,59.4861951172187
5,7,12,17,20,64.3252222399445,57.3390192086464
4,9,17,19,20,66.5497809010843,62.4467506493866
1,3,4,15,20,64.2939643771691,57.6437109277657
3,4,5,20,21,58.016325271494,89.1705490963392
1,4,5,12,13,11.025525771297,68.189262800804
6,8,15,17,19,1.85777235648427,312.48553288018
4,10,11,12,20,47.7466287481219,193.477372588627
4,11,15,17,21,45.1859086620835,273.041611280991
5,8,11,16,20,52.4419834675656,188.315433784223
3,8,9,18,19,14.1306722273243,55.6545295267369
2,8,12,13,20,8.19101424803526,172.153145646127
9,10,13,16,19,5.46523461239944,152.223208028076
1,5,15,16,18,8.61894498244887,111.164099000203
3,12,16,19,21,9.63938640149808,116.375283445048
1,7,14,16,19,9.67437680148982,51.7288537479784
1,3,5,11,18,49.8747178326664,195.87418891127
2,9,16,17,20,15.4456467078341,84.9340710851002
5,10,12,15,19,66.769819829193,54.7183534979243
1,3,4,11,18,48.509070649721,194.605800272269
1,4,10,12,14,9.24178982799299,258.732863036961
6,7,9,10,15,0.698206440361258,247.086120111293
7,10,12,14,18,66.3381388174645,78.3244657074557
3,12,14,16,18,65.095052719214,45.6836942881103
1,4,7,14,20,61.2388337995617,60.3575065059196
1,6,7,8,20,2.50344552996889,4747.13146463063
5,13,18,19,20,67.2242882843748,50.0213746693303
5,6,7,14,18,0.837274258064837,286.464933893257
1,7,8,20,21,6.70419228881822,136.651868307952
5,14,15,19,20,69.1839489496906,35.6963706305064
1,4,12,13,19,8.21936154870343,171.712435405747
5,6,10,13,18,42.6025883602398,2181.6107384363
5,7,14,16,18,65.8495656334544,51.5971724954363
4,7,13,16,17,11.9468398309441,10.2220899922435
7,13,15,19,20,72.2478034461849,60.554567442062
2,3,5,9,20,7.92010542002086,110.085566770353
2,3,5,7,16,62.4209376009375,36.7314789092019
1,2,5,11,20,52.2199483563508,208.880166416654
3,4,5,14,17,15.0908604333904,45.3028705792987
5,10,17,19,21,13.1279322398704,103.80263751313
1,5,7,8,11,47.4398552154184,208.549305004596
3,5,6,11,19,10.2877127406039,687.861575929395
13,16,18,19,20,4.43906278816252,78.122640857562
5,14,16,18,21,54.4892165771667,81.3729829609514
1,6,11,13,18,4.11767984886016,329.580800142964
5,6,8,11,12,14.1158943353945,385.035641536068
1,4,12,17,19,12.1130253873092,26.2766584942308
6,11,14,15,21,21.8377508754392,211.822092500787
5,6,10,18,19,0.710899835342548,432.235743250381
6,7,12,15,21,54.2916642013816,277.598240244826
5,9,12,17,21,10.2613077096277,94.4796178341085
1,3,7,12,14,64.5839771123109,21.0935584841394
6,17,18,19,21,0.961490379087209,287.617622111925
4,6,9,17,21,60.2489861204388,223.845922414348
1,4,10,14,15,65.4849640745203,70.0825711639662
13,14,15,16,18,10.3369045381346,104.522105196066
2,12,17,19,20,17.3257525379338,48.699766787113
5,7,8,11,14,53.972571739681,202.639641821582
2,3,5,9,17,12.2623705665278,68.510284311547
5,7,8,13,20,6.43463265194308,59.1427789542638
1,2,9,18,19,8.14899350147943,50.3645895609017
6,10,13,16,19,2.30342939328213,258.905701801264
5,12,13,17,21,11.8565870406169,89.9505982006745
8,10,13,19,20,8.91361766439865,108.3755851395
3,12,17,20,21,71.2125625786036,87.8345228550049
2,3,8,11,18,49.3888470848094,157.662724845174
1,2,3,9,21,7.62087770192323,181.427902583056
1,9,14,19,20,5.91625994663008,73.0985794654722
2,3,15,17,19,14.6879980955043,30.3676327955053
1,2,12,14,17,17.3124582180699,22.548534960073
2,8,10,14,18,8.75164130327437,385.47500300565
2,4,10,12,15,71.5874634246147,65.8653668659103
1,4,16,17,18,4.65630636588423,79.8668177476361
1,2,8,10,21,5.00383700279362,124.657651163427
3,7,10,14,18,68.9980712040667,76.0119292382518
7,8,11,14,18,29.4509801938429,206.12587079194
7,10,11,15,16,48.8554164651908,202.615508785889
4,5,17,18,19,14.5782299765622,66.3652432995599
5,7,10,15,17,11.6331886451648,99.3166900500878
1,8,13,16,19,6.75377129441277,39.8099661404294
1,8,10,12,18,10.1778135409009,110.431505802505
3,5,9,13,18,66.6398701970983,51.9659075053746
1,14,15,17,21,9.92346343289853,80.5644373433141
1,5,10,11,17,44.2231132024935,188.439515046397
1,3,8,14,16,5.25052628737616,24.1751603384228
8,13,14,19,21,21.3093272376327,173.233246730727
4,6,15,16,19,58.5927142180111,190.804222783751
1,10,11,13,18,44.6846272670315,211.404031396592
11,12,13,14,16,55.0476615750381,183.363504079426
3,6,12,18,21,2.16682380769456,661.357641241086
5,6,9,11,14,8.07603990733967,407.473937028263
4,8,13,14,18,1.88056421924236,89.9875300372572
1,5,6,19,21,49.8016883688118,314.220792784075
5,7,9,10,13,61.7593754917418,79.9711779160305
8,12,18,20,21,8.07159768714346,85.3426495075144
1,2,3,14,17,9.76088233326316,32.4959756920155
2,6,11,14,17,11.2649321866116,282.248313321848
11,15,17,19,20,51.1619839463657,204.728288826234
7,9,15,16,18,8.19452973370678,101.174907503052
5,9,12,20,21,60.6571316759913,68.8873457910729
6,8,11,14,17,11.2941296482504,244.828616302169
4,9,15,16,20,59.6177613758398,66.8294420156256
1,6,15,18,21,54.5885630431128,277.372423413935
3,9,11,19,21,45.9944601415241,273.906583479394
