V1,V2,V3,V4,bestlam,rmse
1,2,3,4,11.7636199051754,2.44632300606441
1,2,3,5,9.32127631595051,3.82305631443395
1,2,3,6,0.0563114447934035,35.7337731892353
1,2,3,7,11.9691119864153,2.31108767683098
1,2,3,8,11.2808165355335,2.43146929173836
1,2,3,9,10.2683765998741,2.31830460681939
1,2,3,10,4.20280001376685,2.29912220568344
1,2,3,11,12.4983157144865,3.758786539563
1,2,3,12,11.1319976590894,2.31682397547447
1,2,3,13,11.3898070464601,3.71100323362834
1,2,3,14,10.8198360115004,2.60311280009146
1,2,3,15,9.44385029346117,4.6764697778702
1,2,4,5,8.27089288445041,3.83965618035435
1,2,4,6,0.95459974992711,35.4660252028067
1,2,4,7,11.7214834488004,1.10685421352588
1,2,4,8,11.5907476757691,1.60306048440683
1,2,4,9,11.5648130264447,1.15473644179094
1,2,4,10,11.4379271759648,0.577756797161805
1,2,4,11,12.2889014266459,3.75910577797433
1,2,4,12,11.4051118891717,0.443974473740702
1,2,4,13,10.6901509698371,3.69869504014592
1,2,4,14,10.6219411189511,2.02062273816762
1,2,4,15,9.40336448410853,4.85479655426809
1,2,5,6,0.0443439765235426,32.1648050561337
1,2,5,7,8.41328571959368,3.97198769509675
1,2,5,8,9.54563982325754,3.97655079811638
1,2,5,9,9.11285023949115,3.96967961553574
1,2,5,10,5.16647843879515,4.03723745276396
1,2,5,11,9.18596915463488,4.66029357980804
1,2,5,12,8.99934919252614,4.0659445397103
1,2,5,13,9.18787337506108,4.62883138599798
1,2,5,14,10.0467909713108,4.02848560255588
1,2,5,15,7.98824734460919,5.31850131616041
1,2,6,7,0.798165685118175,31.9985243883645
1,2,6,8,0.0591908697348792,32.0421027112017
1,2,6,9,1.63751529964075,32.1704848053353
1,2,6,10,1.44518749213269,54.8414286298752
1,2,6,11,0.589943847739755,58.9014556085666
1,2,6,12,2.77880618972476,34.6479127226083
1,2,6,13,0.0545362598122687,31.4742399856274
1,2,6,14,0.0601496531583841,37.1953005310767
1,2,6,15,2.40827233230833,33.6380925772352
1,2,7,8,10.7575219194696,1.62853397774399
1,2,7,9,10.7385015435847,1.33133626481066
1,2,7,10,11.1324613009739,1.11258838600206
1,2,7,11,12.0088736931565,3.53638745756174
1,2,7,12,11.6291446450535,1.1011985894167
1,2,7,13,9.90825249619358,3.47897686109005
1,2,7,14,10.3245592735587,1.95805930706912
1,2,7,15,9.05174338594863,4.59106627956223
1,2,8,9,10.6727052296066,1.7241441113395
1,2,8,10,11.5798790583061,1.6230207176743
1,2,8,11,0.17979796873238,7.71569991925795
1,2,8,12,11.0082659237933,1.62972339166293
1,2,8,13,10.2890101003666,3.52890445700456
1,2,8,14,11.7916213018167,2.17808468996655
1,2,8,15,0.529649357948969,8.70092644122305
1,2,9,10,11.574945963408,1.16045806329512
