V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse,bestlam_numpred
1,2,5,9,10,11,14,15,16,20,33.8315070431532,124.118738254058,3
1,2,3,4,6,12,13,14,17,18,14.4137292770861,128.188644152906,4
2,4,6,11,12,13,14,16,17,18,24.0570643605711,148.568366645121,1
4,6,7,8,12,13,17,18,19,20,63.3357810745911,126.507296697587,1
2,4,5,7,8,10,12,15,17,18,34.8568194575899,102.49926968846,3
1,2,5,6,7,8,10,14,17,18,9.56371416764738,148.03098690319,5
3,4,6,7,8,13,14,16,18,20,20.1579646488123,139.592099706496,3
1,2,4,8,12,15,16,19,20,21,16.1473233874983,236.77663210498,6
2,3,7,9,12,13,14,15,17,21,17.9127886674156,155.495183364682,4
5,6,7,8,12,13,15,18,19,20,60.5915632593249,117.691576592887,1
1,2,3,4,9,11,13,15,16,17,33.8260040265577,127.660700435255,2
3,4,6,7,13,15,16,18,20,21,40.4324881958409,130.289338127756,2
5,6,11,12,13,14,15,19,20,21,14.7971191746683,159.463493119318,2
1,3,7,11,12,13,15,16,18,20,55.4919237035704,126.191858096439,0
3,5,6,7,9,12,16,18,19,21,24.8037601503979,114.842298175201,3
5,6,8,10,11,14,15,16,19,20,15.2545814618526,154.114353226869,2
1,3,4,5,7,10,13,16,18,19,8.70293885259247,124.489795051784,6
3,4,5,9,11,15,16,17,18,20,61.2677539324725,116.042799901966,1
2,3,6,9,12,15,18,19,20,21,9.49944799253965,154.984450294813,4
1,4,5,7,10,11,12,13,15,20,56.4669978313787,123.070235508797,0
1,2,3,4,6,9,10,15,16,19,17.3061428287729,179.02580675573,3
1,6,8,10,14,15,17,18,19,20,59.9057975040714,119.835576201889,1
1,5,6,7,8,9,10,13,15,18,54.3512822605901,121.726310803544,0
2,3,4,6,8,9,11,18,19,21,14.1742250883729,162.983631417032,2
1,2,4,5,6,7,10,14,15,17,8.30966050772957,136.099181183773,5
3,4,8,10,11,12,13,18,20,21,39.7477588297549,129.78054914561,0
3,4,5,6,7,11,12,13,15,17,27.3000807329287,145.175020421826,3
2,5,9,10,12,13,14,15,17,19,26.8270054572117,271.079740845933,2
2,5,8,9,11,14,15,16,17,21,34.1017277881263,111.102580185361,2
2,6,7,8,10,11,14,15,16,18,0.387343236230075,220.213997953476,8
1,2,3,6,9,10,12,14,17,21,17.5656732852589,122.287925621512,4
5,6,8,10,12,14,15,16,18,19,71.2523825597107,117.646557635164,0
2,10,11,12,14,15,18,19,20,21,48.2894826018594,133.152319415442,0
1,3,4,7,10,11,12,14,19,21,38.9541394103386,128.416084858388,1
1,3,4,5,11,12,14,15,16,17,34.3441129402211,124.184152719972,3
1,2,3,4,9,12,14,15,16,20,43.7823920476776,110.913506183258,4
2,5,7,8,13,16,17,19,20,21,67.8645013583107,99.4352410004914,0
3,4,5,7,8,11,14,16,17,20,37.5588094154414,137.00814546512,2
1,2,3,7,9,14,15,16,17,21,9.5080406943008,159.105719843699,5
3,4,7,9,12,13,15,16,18,20,88.3884747275969,111.252561068471,0
1,2,3,5,8,10,14,15,17,20,35.5819540107577,132.779931741554,4
1,11,12,13,14,15,16,19,20,21,50.2107910633947,119.616881202874,1
1,3,4,5,8,9,10,12,13,21,27.5945694924833,111.222963226679,3
1,2,3,7,10,11,12,16,19,20,0.463983110809431,453.129241193981,8
1,4,5,6,8,11,12,14,18,21,16.1851457466782,156.145642179216,3
3,5,7,12,15,16,17,18,20,21,73.5027562646932,93.066463096207,1
1,3,5,7,10,13,17,18,19,20,58.6726460366027,94.5186277022395,1
2,3,5,7,11,16,17,18,20,21,19.6663568159873,122.114350018622,3
2,4,7,8,9,10,13,16,18,19,69.7474402493843,97.8812534550306,0
3,5,6,7,8,9,12,14,16,20,0.116304953807987,278.174155380128,8
1,5,7,8,11,13,15,16,18,19,40.2181609276777,116.432132929023,1
1,2,3,4,8,9,12,14,15,19,13.4538761695578,162.641709695108,5
3,4,6,7,10,14,15,16,20,21,61.4640531013031,134.995619498619,0
2,3,5,6,8,10,11,12,14,15,3.8711714792277,139.161933581604,4
2,3,5,7,8,9,11,18,20,21,14.0869985276951,185.19366106714,5
2,4,6,8,12,16,18,19,20,21,36.1533153649238,122.261154705645,2
1,3,4,6,8,9,10,15,16,19,72.8405670534508,124.660292050257,0
4,5,7,8,9,13,14,15,17,20,66.1977803371421,105.616124366454,0
1,3,5,6,10,11,14,16,17,21,16.0455654584778,164.980778252476,1
2,3,7,8,9,13,15,16,18,21,23.3720914531808,149.716036473864,3
1,2,3,7,8,13,15,16,19,20,16.5696577004419,184.640023135227,4
1,2,5,7,9,10,11,14,16,17,58.7793675756516,120.385076003615,0
1,4,6,9,10,12,16,17,18,19,50.9239432844699,123.873494259758,0
4,5,6,10,11,12,14,17,18,20,28.6335804118897,166.615142025793,1
1,2,6,11,13,14,15,17,18,19,18.981227849565,144.754447717759,4
1,3,4,6,7,10,11,12,13,17,33.0219650250024,163.004539602435,0
3,4,5,7,9,10,11,16,17,21,44.8623338431902,130.84675800688,0
1,4,8,11,14,15,18,19,20,21,49.4051959621941,120.565318771319,1
2,3,5,8,9,11,12,13,16,20,44.0358848733458,115.488451903172,1
1,4,6,8,12,13,15,16,18,19,65.3590236242239,128.034785556012,1
4,6,7,9,10,11,13,14,18,19,29.8362055062787,163.931606771246,1
1,2,3,4,9,10,11,12,17,19,56.2647709398726,119.160834960341,0
1,3,4,7,13,15,18,19,20,21,73.6120269493476,98.2313561713827,1
1,5,6,8,9,10,12,14,16,18,37.1308380002829,111.662779605889,2
3,8,9,11,12,14,15,16,17,20,32.971483336618,110.5625607224,2
2,3,7,8,12,13,14,15,16,20,18.8738534116027,158.010292501955,3
1,7,8,10,11,12,15,18,19,21,40.9487518355745,125.855266887247,0
4,6,10,11,12,13,14,18,19,21,10.8987259048198,169.099972783979,2
1,2,3,4,7,10,13,14,15,20,18.3958258325158,165.285141058703,3
2,3,5,7,8,9,11,13,14,20,48.3079293047054,111.70326877931,2
2,4,6,8,9,12,13,15,16,21,35.273195071247,116.672375072576,3
3,5,8,11,12,17,18,19,20,21,49.6321729392958,119.823510772635,0
2,3,6,7,9,10,11,15,16,20,16.0522339020795,152.89487203497,3
4,6,8,9,10,14,15,18,19,20,60.9394332575772,123.528353203245,0
2,4,7,9,10,11,16,18,20,21,51.7672203864977,133.288932603892,0
1,2,3,9,11,12,13,16,18,21,40.621894220139,118.635442956713,2
4,5,6,7,8,11,12,15,17,19,14.3786829803148,152.646017291939,3
1,4,10,11,14,16,17,19,20,21,39.0612109027728,128.788912332165,0
3,6,7,8,9,10,12,13,19,20,45.5966954540133,118.728917083387,2
1,4,7,9,11,12,14,18,20,21,59.752192034198,124.659312999558,0
1,4,5,7,9,13,17,18,20,21,62.6748359286883,95.0596157763884,0
4,5,6,7,12,15,16,19,20,21,42.7199680530953,131.816039786357,1
1,3,4,6,7,8,9,13,14,21,12.4984455894981,135.659096025005,5
1,2,3,4,5,8,11,14,18,21,53.6858426003909,118.411003871989,2
3,4,10,11,12,13,17,19,20,21,35.627885336385,128.143185071314,1
3,6,9,10,11,14,17,18,19,20,0.267526805405974,163.091612643302,7
1,4,5,8,10,11,12,13,20,21,36.9479041711815,126.790610431783,1
1,3,4,6,9,10,12,18,19,21,64.3427503907051,133.046952213061,1
1,2,3,4,7,8,9,15,16,20,11.9741716219572,199.51325217615,6
2,7,8,9,11,14,15,17,19,20,34.9088892811228,150.683614489029,3
1,3,4,7,9,13,16,17,18,19,38.7752309748129,168.154870378281,1
2,3,6,7,8,11,15,17,19,21,9.28705290989745,152.458420984538,3
3,4,5,9,12,14,15,16,17,21,5.45587522786622,192.33949813415,8
1,2,4,8,9,10,11,15,17,19,31.2550195735406,181.841125456116,1
3,8,10,11,12,13,14,16,18,21,25.8141324458113,118.159171085958,1
1,2,4,6,8,9,13,14,16,20,47.3871152392177,126.312237204317,2
3,5,6,9,10,11,15,18,20,21,8.24135368244694,198.519949275996,2
2,3,6,8,10,11,14,15,18,20,0.441988688848478,136.036261893033,7
1,3,4,8,9,13,14,17,19,20,70.305300750638,108.163763294054,1
2,5,7,9,12,13,15,16,17,18,87.8808169651092,108.266018574436,1
3,4,5,6,10,11,12,14,16,19,9.74129326171696,142.346992096583,4
1,2,3,7,9,12,13,14,15,18,23.2155322203359,139.707735747774,3
2,5,7,8,9,12,13,18,19,20,0.397760176186566,570.615932326718,8
1,2,3,5,7,8,12,14,16,21,3.97452229029869,241.676187392607,6
2,3,4,5,8,10,11,17,20,21,44.3213392798756,126.226463837484,0
2,3,5,6,10,15,17,18,19,20,11.8298492874149,150.966250261195,4
1,3,7,9,10,11,12,15,17,19,52.7174230983779,119.141322377078,1
4,6,8,9,12,13,15,18,20,21,53.6956363251681,128.433019482334,1
1,6,7,8,9,11,12,14,17,18,33.3489580660787,151.31665484715,1
1,2,7,12,14,15,17,18,19,20,29.1816149882938,141.416352633724,4
3,5,6,7,8,9,11,12,15,18,34.9858230248685,153.601856121351,1
7,8,9,10,12,13,14,15,19,20,83.6174223528525,79.5303257684127,1
3,4,5,7,8,10,11,14,15,17,21.3185296554209,115.745755930365,3
