V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse
3,4,6,7,8,13,14,16,18,20,75.9363683974405,112.304432069337
1,2,4,8,12,15,16,19,20,21,0.632789567040642,Inf
2,3,7,9,12,13,14,15,17,21,26.6417374677745,Inf
5,6,7,8,12,13,15,18,19,20,63.4230105764978,133.731146340718
1,2,3,4,9,11,13,15,16,17,74.0758621860952,117.938161128841
3,4,6,7,13,15,16,18,20,21,64.2986078340233,112.055546890312
5,6,11,12,13,14,15,19,20,21,21.5020282227347,73.5700173364396
1,3,7,11,12,13,15,16,18,20,77.977315241185,118.553940202361
3,5,6,7,9,12,16,18,19,21,59.1144328525434,116.830605975405
5,6,8,10,11,14,15,16,19,20,9.98377548109318,82.7145430644603
1,3,4,5,7,10,13,16,18,19,46.4501198095001,157.656582204007
3,4,5,9,11,15,16,17,18,20,75.8890563181302,124.650239801478
2,3,6,9,12,15,18,19,20,21,61.8403526232912,133.60321629
1,4,5,7,10,11,12,13,15,20,82.8767379522508,118.77372265791
1,2,3,4,6,9,10,15,16,19,59.6180474641683,108.814510365592
1,6,8,10,14,15,17,18,19,20,11.0076854248839,Inf
1,5,6,7,8,9,10,13,15,18,1.44794829373011,134.606997662178
2,3,4,6,8,9,11,18,19,21,88.9961564101439,62.3310780117578
1,2,4,5,6,7,10,14,15,17,59.0835710924476,104.245792338219
3,4,8,10,11,12,13,18,20,21,70.6946446040391,117.856474456979
3,4,5,6,7,11,12,13,15,17,121.729709910703,68.7267605743761
2,5,9,10,12,13,14,15,17,19,30.7389490378544,205.119202541439
2,5,8,9,11,14,15,16,17,21,52.0723841839684,126.69827518009
2,6,7,8,10,11,14,15,16,18,109.009556538103,64.4305549781881
1,2,3,6,9,10,12,14,17,21,73.6390342531303,115.717498938791
5,6,8,10,12,14,15,16,18,19,84.0510937630125,123.105765157398
2,10,11,12,14,15,18,19,20,21,70.2406081716134,122.586978526314
1,3,4,7,10,11,12,14,19,21,98.0351329695263,115.551962582514
1,3,4,5,11,12,14,15,16,17,72.3230731567727,119.212223786021
1,2,3,4,9,12,14,15,16,20,41.3657836150203,158.947535673864
