V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,bestlam,rmse
1,3,5,9,12,13,15,18,19,20,21,1058.16352576707,3604.08798651503
1,2,3,4,6,7,9,12,14,20,21,738.625278294234,3490.24726481049
1,2,5,8,10,13,17,18,19,21,22,1619.03767816985,3585.46450302877
3,4,13,14,15,16,17,18,20,21,22,1885.71617327703,3047.5371956184
1,2,3,6,10,11,12,15,16,17,21,1581.82336593469,3466.38942524777
2,7,8,10,11,12,16,17,19,20,22,1667.34070065324,3245.29999886677
1,5,7,8,9,13,14,18,19,20,21,1142.61552217633,3213.87211969494
1,3,5,6,8,9,11,13,16,18,19,1069.8040261993,2551.08926014421
3,4,7,8,9,11,17,18,19,20,21,565.021342384861,4096.39595349514
1,4,5,7,8,9,14,15,17,19,21,845.215067352618,3312.99458523519
1,2,3,5,9,13,16,17,20,21,22,603.696019143998,Inf
1,3,4,8,10,13,14,15,16,18,22,1297.99276968662,2779.53853652149
2,8,9,11,12,13,17,18,19,21,22,357.662808471389,Inf
1,4,5,7,8,14,16,17,19,21,22,1253.57303281511,1974.38623165163
1,6,7,12,13,14,15,16,20,21,22,1000.37529477941,2830.08629297249
1,2,4,8,12,13,14,16,17,19,21,39.3739488258965,4184.61038548077
2,4,5,9,12,13,14,16,18,21,22,1259.70312041196,1795.95965737237
3,5,7,10,11,12,15,17,18,19,21,1553.55705507069,3474.35563782579
1,4,5,6,10,12,16,17,18,19,21,1361.59789548989,2603.02135003928
2,4,6,9,10,15,17,18,19,20,22,822.395895595876,3931.3675953681
2,3,7,9,10,13,15,16,17,19,21,938.808092429947,3482.65566592856
1,3,4,7,10,13,16,19,20,21,22,1718.41551250773,3282.47456903128
4,5,8,9,12,15,16,17,18,19,20,1184.6024263156,2740.57329165672
2,7,8,9,11,12,13,17,18,21,22,214.431733357768,NA
5,7,8,9,10,12,13,16,17,20,21,2007.02883227792,2600.02531774069
2,3,4,6,9,11,12,13,14,20,21,947.696377051702,Inf
2,3,4,5,6,7,9,10,17,19,22,1736.32118979555,3360.60338714313
1,2,6,7,8,9,10,11,14,16,19,1718.64898772238,3086.64953429568
1,3,4,5,7,9,10,12,19,20,22,1361.83310757054,3451.922886259
3,4,5,8,9,12,14,15,16,17,19,923.046313595054,1799.66644669633
2,3,5,8,10,11,14,15,16,18,21,1245.33486166696,1624.57257442897
1,4,5,9,11,12,13,14,19,21,22,1436.27418303606,3346.25893738561
2,4,5,6,10,14,16,19,20,21,22,2253.86291623498,1692.64286968561
1,3,6,10,11,13,14,15,16,18,20,1927.47499098459,3059.71534623729
1,3,6,9,10,12,15,16,17,18,22,1067.90267956117,3367.97771218978
1,2,3,4,7,10,11,13,15,18,22,1001.19071775804,3698.11582494581
3,6,7,9,11,12,18,19,20,21,22,135.163332183749,3997.85623613351
3,5,8,10,11,13,16,17,18,19,22,1687.71111089448,2546.85673717024
1,2,3,4,5,10,13,15,16,17,21,435.331786087931,Inf
1,3,6,8,9,14,17,18,20,21,22,1400.83990641911,3877.24624569129
1,4,5,6,8,9,12,15,17,18,21,1445.40228900016,3587.94239015084
3,4,5,7,8,12,17,19,20,21,22,398.823092898956,5490.05850925615
1,4,5,8,10,13,14,16,17,19,21,1799.17101088377,2069.64763240365
1,2,3,4,6,9,11,15,16,18,21,1628.11340833798,3484.19092785632
2,5,8,9,10,12,13,16,19,20,21,1603.15133439161,2628.82730037684
2,5,6,9,11,13,14,16,19,20,22,1364.85648315634,1613.57358136508
2,3,6,7,8,13,14,16,18,19,20,1376.68090454565,2838.33489347235
5,9,10,11,12,14,15,17,18,19,21,1408.73166624553,3365.55197295252
1,2,4,5,6,9,10,11,13,14,22,1703.27003641372,3196.66118689511
3,4,5,7,8,13,17,18,19,21,22,33.3723750743983,11508.1671785956
1,2,5,6,7,9,12,13,15,19,22,850.283299890968,3042.19592886509
1,2,4,6,8,11,14,18,19,20,21,987.996754667703,3650.78066276667
2,3,5,6,8,9,13,17,18,20,21,1334.54031772613,3435.07476069594
1,4,6,7,8,9,10,13,15,17,21,865.960348479431,3971.20201225249
