V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,pred1,pred2,pred3,pred4,pred5
2,4,6,11,12,13,14,16,17,18,log_RY_tot_flow,RY_Wet_BFL_Mag_50,log_BY_tot_flow_sepdec,RY_Wet_BFL_Dur,RY_DS_Dur_WS
4,6,7,8,12,13,17,18,19,20,log_BY_tot_flow_sepdec,RY_DS_Dur_WS,RY_min_flow,RY_Wet_BFL_Dur,RY_DS_Mag_90
2,4,5,7,8,10,12,15,17,18,BY_recon_120,RY_DS_Dur_WS,RY_DS_Mag_90,RY_Wet_BFL_Mag_50,BY_min_flow_sepdec
1,2,5,6,7,8,10,14,17,18,log_BY_tot_flow_sepdec,RY_Wet_BFL_Dur,RY_DS_Mag_90,RY_Wet_BFL_Mag_50,RY_SP_ROC
3,4,6,7,8,13,14,16,18,20,RY_DS_Dur_WS,log_BY_tot_flow_sepdec,RY_Wet_BFL_Mag_50,RY_Wet_BFL_Dur,BY_recon_120
1,2,4,8,12,15,16,19,20,21,RY_SP_Tim,RY_SP_ROC,BY_recon_120,RY_Wet_BFL_Dur,log_BY_tot_flow_sepdec
2,3,7,9,12,13,14,15,17,21,BY_recon_120,RY_Wet_BFL_Dur,RY_Wet_BFL_Mag_50,RY_DS_Mag_90,RY_DS_Dur_WS
5,6,7,8,12,13,15,18,19,20,log_BY_tot_flow_sepdec,RY_Wet_BFL_Dur,RY_Wet_Tim,BY_min_flow_sepdec,RY_recon_20
1,2,3,4,9,11,13,15,16,17,RY_Wet_BFL_Mag_50,BY_recon_120,BY_num_days_gt_90_pctile,RY_DS_Dur_WS,BY_min_flow_sepdec
3,4,6,7,13,15,16,18,20,21,log_BY_tot_flow_sepdec,RY_DS_Dur_WS,RY_Wet_Tim,RY_Wet_BFL_Mag_50,BY_min_flow_sepdec
5,6,11,12,13,14,15,19,20,21,RY_Wet_BFL_Mag_50,RY_Wet_BFL_Dur,BY_num_days_gt_90_pctile,log_BY_tot_flow_sepdec,RY_Wet_Tim
1,3,7,11,12,13,15,16,18,20,RY_Wet_BFL_Mag_50,RY_SP_Tim,RY_DS_Dur_WS,BY_num_days_gt_90_pctile,RY_discon_120
3,5,6,7,9,12,16,18,19,21,log_BY_tot_flow_sepdec,RY_Wet_BFL_Dur,RY_Wet_BFL_Mag_50,BY_min_flow_sepdec,RY_Wet_Tim
5,6,8,10,11,14,15,16,19,20,log_RY_tot_flow,log_BY_tot_flow_sepdec,RY_Wet_Tim,BY_min_flow_sepdec,RY_recon_120
1,3,4,5,7,10,13,16,18,19,RY_DS_Dur_WS,RY_SP_Tim,RY_Wet_BFL_Mag_50,BY_min_flow_sepdec,RY_discon_120
3,4,5,9,11,15,16,17,18,20,BY_min_flow_sepdec,RY_Wet_BFL_Mag_50,RY_DS_Dur_WS,BY_recon_20,BY_tot_flow_sepdec
2,3,6,9,12,15,18,19,20,21,log_BY_tot_flow_sepdec,RY_Wet_BFL_Dur,RY_Wet_Tim,BY_recon_120,RY_DS_Dur_WS
1,4,5,7,10,11,12,13,15,20,RY_SP_Tim,RY_DS_Dur_WS,RY_Wet_BFL_Dur,RY_min_flow,RY_Wet_BFL_Mag_50
1,2,3,4,6,9,10,15,16,19,log_BY_tot_flow_sepdec,BY_recon_120,RY_Wet_BFL_Mag_50,RY_Wet_BFL_Dur,RY_Wet_Tim
1,6,8,10,14,15,17,18,19,20,log_BY_tot_flow_sepdec,RY_recon_120,RY_Wet_Tim,RY_DS_Mag_90,RY_Wet_BFL_Dur
1,5,6,7,8,9,10,13,15,18,log_BY_tot_flow_sepdec,RY_Wet_BFL_Dur,RY_Wet_BFL_Mag_50,RY_Wet_Tim,RY_DS_Dur_WS
2,3,4,6,8,9,11,18,19,21,log_RY_tot_flow,RY_SP_ROC,RY_Wet_BFL_Mag_50,log_BY_tot_flow_sepdec,RY_DS_Dur_WS
