V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,bestlam,rmse
3,4,7,10,11,16,17,18,19,20,21,974.360909317503,3766.54871574934
1,4,5,6,10,12,16,17,18,20,21,40.6501725491658,4915.0213887768
1,3,5,9,12,13,15,18,19,20,21,1087.17225410871,3801.4427876378
1,2,3,4,6,7,9,12,14,20,21,2106.40731945035,3546.26523132564
1,2,5,8,10,13,17,18,19,21,22,1462.48440979109,3519.97735941167
3,4,13,14,15,16,17,18,20,21,22,593.608759490393,3970.42546542871
1,2,3,6,10,11,12,15,16,17,21,1312.82720072224,3761.92256421782
2,7,8,10,11,12,16,17,19,20,22,484.817529621083,3877.69099462986
1,5,7,8,9,13,14,18,19,20,21,1039.108752078,3831.62161694057
1,3,5,6,8,9,11,13,16,18,19,2108.25823076299,3553.36875017883
3,4,7,8,9,11,17,18,19,20,21,39.4271926336549,5783.23923994552
1,4,5,7,8,9,14,15,17,19,21,1005.00805180357,3789.37055732258
1,2,3,5,9,13,16,17,20,21,22,836.461367808104,3778.03786750129
1,3,4,8,10,13,14,15,16,18,22,681.66502808201,3816.84991081444
2,8,9,11,12,13,17,18,19,21,22,1915.9022937538,3551.41685847019
1,4,5,7,8,14,16,17,19,21,22,385.353711032398,3454.2935357006
1,6,7,12,13,14,15,16,20,21,22,1139.08473931281,3736.25358362332
1,2,4,8,12,13,14,16,17,19,21,1297.00063372247,3778.84137987788
2,4,5,9,12,13,14,16,18,21,22,2222.13202647298,3501.28471117201
3,5,7,10,11,12,15,17,18,19,21,1506.48133815292,3504.50967875801
1,4,5,6,10,12,16,17,18,19,21,306.986036310798,3913.73592074393
2,4,6,9,10,15,17,18,19,20,22,1991.50182002808,3516.39558478378
2,3,7,9,10,13,15,16,17,19,21,1142.52093645698,3449.20013487175
1,3,4,7,10,13,16,19,20,21,22,2182.14757149464,3529.53595404681
4,5,8,9,12,15,16,17,18,19,20,1228.93276062034,3416.39367506754
2,7,8,9,11,12,13,17,18,21,22,2001.29084468614,3539.57833723942
5,7,8,9,10,12,13,16,17,20,21,331.373484179136,4222.50401249768
2,3,4,6,9,11,12,13,14,20,21,547.888803472136,4024.50627732703
2,3,4,5,6,7,9,10,17,19,22,27.4730391319511,5007.27425950621
1,2,6,7,8,9,10,11,14,16,19,23.9591413575855,5048.1253394873
1,3,4,5,7,9,10,12,19,20,22,412.352772375554,3611.79701126466
3,4,5,8,9,12,14,15,16,17,19,18.6221478152738,4304.349566503
2,3,5,8,10,11,14,15,16,18,21,654.762981427356,3965.29116412326
1,4,5,9,11,12,13,14,19,21,22,428.431170123616,4075.69272672614
2,4,5,6,10,14,16,19,20,21,22,450.201917733772,3932.9015849336
1,3,6,10,11,13,14,15,16,18,20,1205.97500080964,3413.13190477655
1,3,6,9,10,12,15,16,17,18,22,743.840601957271,3448.14209528378
1,2,3,4,7,10,11,13,15,18,22,696.155793431896,3928.69191847058
3,6,7,9,11,12,18,19,20,21,22,314.442438129714,4061.03347131783
3,5,8,10,11,13,16,17,18,19,22,1637.93201081915,3540.73325117303
1,2,3,4,5,10,13,15,16,17,21,582.791142428098,3416.46513666374
1,3,6,8,9,14,17,18,20,21,22,306.609829682282,4074.00703372361
1,4,5,6,8,9,12,15,17,18,21,1628.56358525316,3531.66563367837
3,4,5,7,8,12,17,19,20,21,22,29.0690486873586,3847.78496439506
1,4,5,8,10,13,14,16,17,19,21,1247.56140891545,3333.85866335345
1,2,3,4,6,9,11,15,16,18,21,19.5637015494413,4169.92107835041
2,5,8,9,10,12,13,16,19,20,21,1309.64986793993,3381.77727634149
2,5,6,9,11,13,14,16,19,20,22,679.1868529498,3956.32702230178
2,3,6,7,8,13,14,16,18,19,20,28.5984734341473,6339.17748936535
5,9,10,11,12,14,15,17,18,19,21,554.278544909751,3917.8550231644
1,2,4,5,6,9,10,11,13,14,22,1305.12427221213,3446.99744795311
3,4,5,7,8,13,17,18,19,21,22,660.410736623179,3440.0099165384
1,2,5,6,7,9,12,13,15,19,22,324.321650649061,4146.03181640797
1,2,4,6,8,11,14,18,19,20,21,858.463184147801,3892.33193464966
2,3,5,6,8,9,13,17,18,20,21,1805.40080897478,3591.707117717
1,4,6,7,8,9,10,13,15,17,21,582.80676993298,3479.34318323777
5,6,7,8,10,12,13,14,15,17,18,386.156713831362,3977.93948882851
1,2,3,4,5,9,10,13,15,16,20,1771.61643704076,3574.36246720745
1,3,4,6,7,9,11,12,13,15,16,62.740088238655,5077.26653934647
2,3,8,9,10,12,13,16,17,18,20,1367.8852368294,3363.9997148092
2,3,5,8,10,12,13,17,18,19,20,21.0136504634006,4491.66522168836
2,3,4,6,8,11,14,17,18,21,22,1381.41801458778,3415.39220368769
1,3,5,7,9,13,17,19,20,21,22,295.946994903866,4189.96236685693
1,2,4,5,7,9,10,11,16,17,20,460.764409714276,4005.16534575894
3,7,8,9,16,17,18,19,20,21,22,1723.01469318659,3568.58203242763
1,2,3,4,8,9,14,16,17,20,21,605.62464410058,3494.81098409409
2,4,5,6,9,11,15,18,20,21,22,27.2784761985845,6492.32474297782
1,2,3,6,8,10,11,12,15,17,18,1678.31678944671,3547.17916963835
4,6,7,11,12,13,14,15,16,18,22,1054.89200779305,3490.68762795209
2,3,6,8,9,11,16,18,20,21,22,1229.62531153762,3330.16312218892
1,5,6,7,11,12,13,15,18,19,21,717.701509770896,3303.68561807883
3,5,6,8,9,10,14,16,18,20,21,1195.9892645245,3334.32751342772
1,2,4,5,7,8,11,12,13,14,18,173.953495502868,4341.45045551631
2,5,6,7,10,11,13,15,16,20,22,1466.76468666879,3470.89227912744
2,3,4,5,6,7,12,15,16,19,22,640.141138705553,3464.86303555281
2,6,7,8,10,13,14,18,19,20,22,39.2211399880551,5618.76804289926
4,7,8,9,10,16,17,18,19,20,21,530.568004827831,3321.59476048633
1,3,4,6,9,10,12,13,14,17,21,1674.01249572526,3522.3698988242
1,2,5,7,9,13,14,16,17,19,20,1755.20922315766,3470.97857866253
1,2,3,4,5,10,11,12,13,18,20,473.875305675542,3308.51802381058
2,5,6,9,10,11,15,16,17,18,20,1220.76551886572,3322.55178255419
3,6,7,10,11,13,14,16,18,20,22,1313.55354878334,3371.54086300113
1,2,6,7,9,10,11,13,15,17,19,2476.22941304222,2880.6587314836
2,3,6,7,8,9,12,16,17,19,20,2460.73612413696,2891.40964470215
1,4,9,10,12,13,15,16,17,18,21,2419.92316661906,2891.78739562599
1,3,4,8,9,13,14,15,16,17,21,2331.02999855345,2832.06934381251
2,4,5,6,10,11,16,17,19,20,22,2651.74435574403,2835.05585101667
1,2,8,9,11,12,13,16,19,20,22,2443.66106634313,2904.61500428314
1,5,7,11,12,13,14,15,19,20,22,2733.50724456292,2370.28459050807
2,7,9,10,12,14,15,17,18,19,22,2401.16061135882,2643.7120041588
1,3,4,6,8,9,10,12,14,15,21,2498.20230559909,3065.56343573136
1,3,4,7,8,10,11,12,16,17,21,2331.12909319302,3094.22763984131
2,3,7,8,11,14,15,16,19,20,21,1936.01615731199,3166.63643678104
1,5,7,9,10,11,15,16,19,20,21,2002.02226696101,3158.48345659629
2,4,5,6,7,10,12,16,17,19,20,2440.70451877661,3074.65643533989
1,3,5,8,10,11,12,17,19,21,22,2048.11326366448,2499.00895082664
3,4,5,7,11,13,15,17,18,20,21,2542.09745542685,2791.26055471107
1,5,6,7,8,9,12,13,16,18,20,2436.06129954622,3090.59371633775
1,2,5,11,12,15,17,18,20,21,22,2039.071669656,3160.93715774076
1,4,7,8,9,10,11,13,14,20,21,2758.87913689895,3025.04983673781
2,5,6,8,9,10,12,13,18,20,22,2437.33104381375,3105.05057913929
2,3,7,11,12,13,15,16,18,21,22,2281.3511249386,2515.4183744228
4,6,9,10,11,12,14,16,18,19,21,2527.73976806272,2807.25298087665
4,5,8,9,12,13,16,17,19,20,22,1866.68728074138,3205.98703833421
1,2,4,5,7,8,9,10,14,15,22,2240.90797611774,3101.12343176329
1,2,3,4,5,6,9,12,15,19,22,2386.40207371243,3102.28763694411
1,4,7,10,11,12,15,18,19,20,21,1944.05347924356,2526.07991699549
4,5,9,10,11,13,14,16,18,19,20,2465.5999669771,2803.99774703168
1,2,4,5,7,10,11,13,19,20,22,1996.43433680517,3140.37704827395
2,7,8,10,12,16,17,18,19,21,22,2028.1141552248,3224.2319335172
2,4,7,8,9,12,13,15,17,21,22,2479.12810700221,2494.4944585299
1,3,8,9,10,12,15,16,18,20,21,1853.75953590104,2876.40409721159
3,6,7,9,11,12,14,15,16,18,21,2706.87476968449,3011.2688464426
1,3,4,7,8,9,12,16,18,20,22,2293.64483952108,2508.89348590895
2,5,8,9,10,11,12,13,20,21,22,1852.75147043638,2890.4740323373
1,2,3,5,9,10,11,12,16,18,20,2279.42492981469,2458.14517870925
1,4,9,11,12,13,14,15,17,19,22,2474.91573990918,2760.90390744938
