V1,V2,V3,V4,V5,V6,V7,V8,bestlam,rmse,bestlam_numpred
3,7,8,9,10,12,14,16,0.230557172435979,0.4814876036379,0
2,3,4,6,8,10,13,15,0.315157427773261,0.55990765779542,0
2,3,5,7,9,10,14,16,0.113498657316652,0.650709402774882,2
2,3,5,7,9,11,13,15,0.0974437644728555,0.901024270469439,2
1,3,4,9,10,11,14,15,0.0670001644093179,0.682669180680296,5
1,4,5,10,11,12,13,16,0.305529433339363,0.299538786433663,1
1,2,3,4,5,6,10,15,0.282048393249829,0.537728377053022,0
4,5,7,8,9,11,12,16,0.318768645465526,0.382469484043642,1
1,2,4,7,11,12,14,15,0.175017413922735,0.692312970100041,0
1,4,5,7,8,9,10,15,0.220538446487399,0.541597894718222,2
1,2,4,6,11,13,14,16,0.30231230134333,0.474965441076403,1
1,2,5,6,11,13,14,15,0.094749902783605,0.655433018269659,3
2,5,8,12,13,14,15,16,0.294200069443224,0.403122945631286,0
1,2,4,8,9,10,14,15,0.375357576482488,0.487158636136056,0
2,4,5,9,10,11,12,16,0.293363479515589,0.453380133935503,0
3,4,7,10,11,12,14,16,0.169924133427565,0.512915833414422,1
1,3,5,8,10,12,15,16,0.338552439297287,0.381854824070198,1
1,4,8,10,11,13,15,16,0.00549560893690152,1.03662188947205,7
1,5,6,7,10,11,14,15,0.151799240232843,0.600883534530782,1
2,4,5,8,11,12,14,16,0.250108962689548,0.403792023814751,0
1,5,7,8,10,11,14,16,0.126260910649954,0.720254491353275,2
2,3,4,6,10,12,15,16,0.226662236870702,0.567008195303759,0
2,5,6,8,11,13,15,16,0.0827461131461306,0.58607863760209,4
2,4,5,8,12,13,14,15,0.28424752427854,0.426783274174844,0
2,5,10,11,12,13,14,16,0.251910575463007,0.433302354536464,1
2,5,8,9,10,11,13,14,0.293380882335543,0.443474267091808,0
2,3,4,6,8,13,14,15,0.257436554538843,0.508952520646229,1
3,4,5,6,9,12,13,14,0.165831506964187,0.441101151082266,3
1,2,7,9,10,11,12,15,0.302337135486162,0.510663778423159,1
5,6,8,9,12,14,15,16,0.409923262586138,0.324555103864906,0
2,4,7,9,10,11,14,15,0.225696836034285,0.531857089066509,1
1,2,3,4,6,8,11,16,0.25658592627267,0.546777129343052,1
2,4,5,6,10,11,12,13,0.253079276154794,0.506484193405738,2
5,6,7,8,9,11,14,16,0.320401938164379,0.415200884758541,1
1,2,3,5,6,8,9,10,0.254770565335625,0.630870238524281,1
5,8,10,12,13,14,15,16,0.0532467279650076,0.873353364891037,5
1,3,4,5,6,14,15,16,0.0050017810509907,0.683560975206168,7
2,5,6,7,8,10,12,15,0.0816784270699622,0.839444165632199,3
2,3,4,5,7,10,12,14,0.0139311037878864,0.877796605557991,5
4,5,6,7,8,11,12,13,0.280635108531479,0.387297249488131,0
1,2,5,6,8,9,12,16,0.279059145561505,0.457744447602365,0
1,5,7,8,10,11,13,15,0.291916445060662,0.47367651865127,0
2,3,5,6,7,8,9,15,0.00363964157455209,0.864096483590094,7
1,5,7,8,10,11,12,14,0.219273632545579,0.598664023216477,1
1,3,6,9,10,11,12,14,0.13716835226351,0.598772425847711,3
1,2,5,6,7,11,15,16,0.215998372110101,0.495751785663527,0
1,2,3,7,11,12,13,15,0.164295468607637,0.545562317405776,1
1,2,3,7,9,10,13,14,0.115538166818426,0.589155245370207,1
1,2,3,9,10,12,13,14,0.185655459777525,0.544751568947978,1
4,5,7,8,10,11,12,16,0.308822796168502,0.387633253803768,1
1,2,3,8,11,12,13,15,0.31107623646659,0.475295473237369,0
1,3,5,7,10,13,15,16,0.211316076640683,0.473552489018224,0
2,4,5,7,10,12,13,16,0.0390328037598038,1.04277830572798,5
1,2,3,4,8,12,13,16,0.284330288784609,0.494392372482033,1
2,3,4,5,7,8,10,11,0.00496997988482974,0.724887738553985,6
1,2,3,6,7,9,12,15,0.170954947874796,0.558607585645416,0
1,3,6,10,12,13,14,15,0.166044228704697,0.546695865202092,2
1,3,5,6,7,8,14,15,0.00337825205317814,0.850974603074454,6
2,7,8,12,13,14,15,16,0.283376137928754,0.539858508826913,1
1,5,7,8,9,10,11,13,0.261915604618967,0.409758712787561,0
1,2,3,5,11,13,14,16,0.254762822247395,0.531428029453403,0
3,5,6,7,8,13,14,15,0.185597728158437,0.48552982342655,1
1,4,5,6,7,8,10,14,0.117411707460503,0.649410488496633,2
1,2,3,5,7,9,15,16,0.19868391705526,0.564453358169774,1
3,6,8,9,11,12,13,16,0.340160207272328,0.456410841521412,1
1,2,3,5,8,9,14,16,0.275446716221723,0.549112411303977,0
1,2,3,5,6,7,8,13,0.201766296751864,0.557127547338638,0
1,3,4,5,6,8,9,15,0.372451387048425,0.404271716602418,1
3,5,6,9,10,12,14,15,0.126248476411561,0.664570239143039,2
2,3,4,6,7,10,11,13,0.227807670173607,0.5781060601323,1
1,7,9,10,11,12,13,15,0.246915145198543,0.481378979572544,0
2,4,6,7,8,9,10,12,0.0790618228834721,0.807084627940635,3
2,4,5,6,7,8,10,11,0.303012740603338,0.461046778907544,0
2,4,5,12,13,14,15,16,0.268764872177898,0.422138215722208,0
2,5,6,7,10,12,14,16,0.051686674900228,0.948303855674704,3
5,6,7,8,10,13,14,16,0.293859079305447,0.413259400992937,0
5,6,7,8,10,11,12,16,0.298045979991618,0.350819745619843,0
1,3,4,7,8,13,15,16,0.26975585900747,0.520659589146795,1
4,5,6,8,11,13,14,16,0.403692587320111,0.300177977088735,0
1,3,4,8,9,12,15,16,0.153530249677681,0.57315132918192,3
1,4,5,9,10,12,13,14,0.00481651787805518,0.999627918575621,7
3,4,6,8,11,12,13,14,0.326066045314696,0.386000055880319,1
2,5,7,8,9,11,12,16,0.240875610195385,0.446336153626904,0
3,5,6,7,8,10,11,16,0.19583152305405,0.459036142165203,0
4,5,6,8,9,10,12,13,0.212851009360698,0.498476394389847,2
2,4,6,7,9,12,13,15,0.232532193258491,0.476981560057553,0
5,7,9,10,11,12,14,16,0.299077276093482,0.443999179983076,0
1,2,3,5,9,12,14,16,0.290505702125051,0.542289810946179,1
4,5,8,9,11,13,14,15,0.0750279947642078,0.740325963031053,3
2,3,4,6,7,8,13,15,0.181541857290251,0.557053963829037,4
2,3,4,8,9,12,14,16,0.213525517958283,0.520483479617596,1
2,3,7,10,11,13,14,15,0.191024975410851,0.55511335058892,0
4,6,7,8,11,12,14,15,0.24664026224461,0.595901890627918,0
1,2,4,5,9,11,15,16,0.22512465419309,0.521544375679864,1
1,3,6,8,9,11,12,15,0.195125811214198,0.506704575942432,2
1,2,4,7,8,9,10,16,0.239190140860433,0.514139169356309,1
1,2,5,8,10,12,13,14,0.268228208037502,0.443913366946333,0
3,5,6,7,8,10,11,15,0.263827251163013,0.430868126918578,0
1,3,5,9,11,12,14,15,0.361110965535207,0.449355037067741,1
1,2,3,4,7,8,13,15,0.215058768450108,0.557846134032657,0
2,3,6,9,10,11,13,16,0.167046083035841,0.745491920207207,1
3,5,7,9,10,11,12,13,0.126295790922492,0.983356123100721,2
1,3,5,7,9,11,12,14,0.116567799203484,0.626532231101793,2
2,3,4,8,10,11,15,16,0.259028561934125,0.540353269272426,1
2,4,6,7,8,9,14,16,0.210242942799566,0.510454067857188,1
3,5,7,8,10,13,14,16,0.140266651928698,0.466221330094458,1
1,3,4,5,7,11,12,14,0.150110563928436,0.630119554546763,0
5,7,8,9,10,12,13,15,0.312505727117741,0.380915439116428,0
1,2,3,4,10,11,15,16,0.275705839458293,0.525047722895963,0
4,5,7,8,10,11,14,15,0.237735129535064,0.547375079181053,0
1,2,4,5,6,9,11,14,0.32658638361259,0.47576144363795,1
1,2,4,6,11,14,15,16,0.209372819758562,0.531698800647576,2
1,2,4,6,9,13,14,16,0.301880332628494,0.488690126872725,1
2,4,5,8,10,13,15,16,0.314277289269722,0.406665916291691,0
2,3,7,11,13,14,15,16,0.167641599346225,0.554745098969073,0
1,3,4,5,7,8,12,15,0.182987388358639,0.573920066903925,1
2,5,6,7,8,9,11,16,0.258346888395746,0.496389926910777,0
1,3,8,11,12,13,14,15,0.00844686794567418,1.40577345326786,7
3,4,5,7,9,10,15,16,0.0146642061940527,1.13687682082625,5
2,4,6,7,8,13,14,15,0.221224441933073,0.538594430972497,0
5,8,10,11,12,13,14,15,0.0672863722350793,1.19954862027636,3
1,4,5,7,11,13,14,16,0.246066251212174,0.598762418950506,0
1,2,3,4,9,12,14,16,0.238168004889247,0.534997515421621,1
4,5,7,8,11,12,13,15,0.0973154766358189,1.05142217732689,5
2,3,4,5,6,9,10,11,0.220351571693523,0.65727780531124,2
2,3,6,7,10,12,13,16,0.229835665649914,0.610164525646216,1
1,3,4,5,10,11,14,15,0.328172586727047,0.468751566968033,1
4,5,6,8,10,11,12,16,0.423479809526297,0.243131193224473,0
3,6,8,9,10,11,13,15,0.16026995408093,0.677376758310702,2
1,6,7,10,11,13,14,15,0.227218665997809,0.573453548355074,1
2,4,5,6,7,10,12,14,0.0871675546659103,0.81299591844818,3
3,8,9,10,12,13,14,15,0.355416575940343,0.394804321690625,0
1,3,5,8,9,12,13,15,0.195167055417142,0.431938564839123,2
1,3,6,9,12,13,15,16,0.17873604268919,0.522688120441621,2
2,9,10,11,12,13,14,15,0.273622035846614,0.548289567825319,1
2,5,6,8,10,12,14,16,0.294013468054268,0.455641959580347,0
1,5,7,9,11,12,13,15,0.241057132827928,0.498877918688286,1
7,8,10,12,13,14,15,16,0.282577744183125,0.524283072158422,0
1,4,7,8,9,10,14,16,0.226866823044651,0.569899767620417,1
2,3,4,6,7,9,13,14,0.13712339141686,0.577862857932523,0
2,4,5,6,7,8,13,14,0.233299172044559,0.504950101324769,0
3,4,10,11,13,14,15,16,0.35940060620049,0.396465785943107,0
1,3,5,7,9,14,15,16,0.169125302523223,0.556673431999392,0
3,4,5,8,9,10,11,12,0.319262373559298,0.410040081227872,2
2,3,4,6,8,11,12,14,0.276019482107888,0.504560430125173,1
1,3,5,7,9,11,14,15,0.177194778158475,0.550676255501988,1
1,2,5,6,7,9,10,13,0.226637814785777,0.509433163134686,1
1,2,3,8,9,10,13,15,0.0897007123331907,0.548778868321102,3
1,2,3,5,10,11,13,16,0.229608770184842,0.590910665498653,0
6,9,10,11,13,14,15,16,0.434210127966991,0.331813014728242,1
2,7,8,10,11,12,15,16,0.00581640988922773,1.00590520830614,6
1,3,5,7,9,10,13,15,0.275744366165583,0.474920581225962,0
1,4,5,8,9,10,11,13,0.177190067941745,0.543876976634503,2
2,3,5,7,8,9,12,16,0.104215657333306,0.793421631332807,3
3,4,5,8,12,13,15,16,0.34781753288902,0.331317314563212,1
1,4,6,9,10,12,13,14,0.114873727277904,0.583571524090255,3
3,8,9,11,12,13,14,16,0.298680769012842,0.39514395272344,1
1,2,6,9,11,12,14,16,0.23970637048531,0.503957853666587,1
2,4,6,8,11,13,14,16,0.307012212437961,0.429521963222166,0
3,7,10,12,13,14,15,16,0.218777987675887,0.49992241510468,1
1,2,3,9,12,14,15,16,0.229491436199763,0.534068149378814,1
3,6,7,8,9,10,12,14,0.223079321970909,0.485748284112898,1
2,3,6,7,12,13,14,16,0.201858700065044,0.575062294843522,0
6,7,8,10,11,13,14,16,0.298651327283888,0.414769762817196,0
1,2,5,6,10,12,13,14,0.314197091227109,0.465865598052861,1
3,5,6,10,11,14,15,16,0.309903850078275,0.429527317689865,1
1,2,5,6,7,12,13,16,0.18091866310792,0.490336591272659,0
1,8,9,11,12,13,14,15,0.00522269442278409,1.35680208563138,6
1,4,6,9,10,12,13,16,0.220073136771351,0.515903452616813,1
6,7,8,9,11,13,15,16,0.322200322296286,0.355035297681924,1
2,3,4,8,10,12,14,16,0.261409077508729,0.519850007531985,0
1,4,7,8,9,11,15,16,0.263285254902896,0.523261496156167,1
1,5,6,7,9,12,14,16,0.0179301760525927,0.772019249556397,5
1,2,4,6,9,10,11,14,0.301724957922944,0.489088892197211,1
1,5,6,7,9,10,11,16,0.237179561468771,0.408888174522398,1
1,5,6,7,8,11,13,15,0.278531896404631,0.463652370786554,0
1,3,8,9,11,13,15,16,0.239590803253921,0.451092456435564,4
4,6,10,11,12,13,15,16,0.248539046950161,0.463764391018651,1
1,3,5,7,9,10,14,16,0.208877940584954,0.527734019436436,0
4,5,6,7,11,12,14,15,0.259757946684191,0.578211059828278,0
3,5,7,10,11,13,14,16,0.139225210740665,0.462439337495398,1
1,4,7,8,10,11,13,15,0.149864260696784,0.582623342232717,4
2,3,5,7,9,13,14,15,0.171606272326503,0.555781168663688,1
4,5,6,7,8,10,12,16,0.31364422399311,0.384117137280729,0
4,5,6,8,12,14,15,16,0.00627870180283,1.18820702511172,7
1,3,5,9,10,12,13,14,0.107420913572066,0.455964675037672,3
3,4,5,8,9,13,14,15,0.358988292729076,0.389473237977826,1
1,3,4,5,6,9,10,13,0.180219113864369,0.493491201843854,4
1,4,6,8,10,12,13,14,0.114696184972321,0.645763565715198,2
2,3,5,7,8,9,10,12,0.00410878905201863,0.941961515190902,7
2,6,7,10,12,13,15,16,0.0300720156141651,0.919520760158165,4
2,5,7,9,10,12,15,16,0.0107173368307615,1.12918121777727,6
3,7,8,9,11,12,13,14,0.308288977737366,0.472716975379218,1
1,2,3,4,10,11,12,14,0.191520135295176,0.521340291913807,1
3,4,5,7,9,11,12,13,0.141830874525256,0.829269546392542,3
2,3,4,5,6,7,8,16,0.00426732457504054,0.707330349256649,7
3,4,6,8,9,11,13,14,0.220958742302168,0.449059961081726,2
1,3,5,7,8,11,14,15,0.159210016359124,0.597448121593128,0
2,3,4,5,8,9,13,16,0.00995512497861152,0.730914416617197,6
2,6,8,9,11,13,14,15,0.0482012643296627,0.727452654984235,4
3,4,6,7,9,12,13,16,0.168399592947341,0.597587438138864,2
4,6,7,9,10,12,14,15,0.262217895154881,0.533845398477219,1
5,6,9,10,11,13,14,16,0.378839925377597,0.350547032914336,0
2,3,6,9,10,11,12,15,0.232114741815234,0.607951154407018,1
1,2,4,9,10,11,15,16,0.322807149334003,0.447667724699707,1
1,2,3,5,8,10,13,15,0.00334247837451837,0.62296114495865,7
5,6,7,9,11,13,14,16,0.279216466126254,0.411093463561526,0
2,3,4,7,9,10,12,15,0.207104088416588,0.560221368306441,2
1,2,7,8,9,11,13,14,0.247712515004973,0.55266718503018,1
1,3,5,6,7,8,10,13,0.235998573178165,0.458695911668417,0
1,4,5,6,7,10,11,14,0.154253325718222,0.596347527970384,1
4,6,7,8,11,12,15,16,0.311704333895526,0.438716649744534,0
1,2,3,6,9,10,11,12,0.214010609845581,0.601096679323249,1
3,4,7,9,12,13,15,16,0.165841259673764,0.572617567307033,3
2,5,7,8,11,12,13,14,0.299100136766011,0.502430537189119,1
1,6,7,9,10,13,14,16,0.139461989020202,0.559281170338687,1
3,4,5,8,9,10,12,13,0.382732403758965,0.38644507768392,1
1,4,8,9,12,13,14,16,0.00465386148164306,1.0174943401435,6
4,5,8,9,10,11,13,14,0.412237082889391,0.297801976159975,0
1,5,6,8,9,11,14,16,0.011737257296214,0.94930679162426,5
2,4,5,7,12,13,14,15,0.237318348594562,0.581024745690207,1
4,6,7,12,13,14,15,16,0.240042009557202,0.550094202026278,1
1,4,5,6,7,9,10,12,0.245072263994516,0.470472844977601,0
2,4,5,7,9,11,13,16,0.250719164044257,0.45898137309445,1
1,2,5,8,12,13,14,16,0.269973074932915,0.44287123837318,0
2,3,4,6,8,10,15,16,0.22738433453424,0.585626246229448,0
1,3,4,6,7,10,12,13,0.189834591603213,0.495836358477781,0
1,3,4,6,8,9,10,11,0.239228782463435,0.466091060275357,2
3,5,8,9,10,11,13,16,0.28782976474634,0.533204698160259,2
1,2,6,8,10,14,15,16,0.142262390107929,0.596164708152376,2
1,2,7,9,11,12,13,14,0.222927164903255,0.569651166236415,1
1,2,3,4,5,7,9,12,0.197822968953262,0.546255429211252,1
2,3,4,9,11,12,13,15,0.260866907190423,0.509380289612717,2
1,2,3,6,8,10,11,15,0.254532114964077,0.550000350413841,1
3,6,7,9,11,12,13,15,0.0833364168370695,0.84563896751169,3
2,3,5,9,10,11,13,16,0.0558000430311059,0.790562260700655,3
2,3,8,10,11,13,14,15,0.288386990084788,0.50861376846514,1
1,3,7,9,10,12,13,14,0.165809456529896,0.539505063865052,1
2,3,6,8,12,13,15,16,0.287262276031677,0.569006121902104,1
3,5,7,10,11,14,15,16,0.166176313431556,0.479002025522449,0
1,3,4,7,8,9,11,14,0.217974435392497,0.585354255470931,1
3,4,6,7,8,9,12,16,0.251963630475824,0.4398276990755,0
1,4,5,8,12,13,15,16,0.362251101584083,0.374055132377842,0
2,3,4,6,7,9,11,15,0.157373731501898,0.661168735018399,1
1,3,5,12,13,14,15,16,0.00505816591455552,0.825783369461123,7
3,4,7,8,10,11,14,15,0.179773682385879,0.530632840236396,0
1,2,3,4,5,9,13,16,0.00472793988083042,0.720112258628438,6
1,2,3,5,8,9,13,16,0.263156926604918,0.583839615313339,0
4,8,9,10,11,13,15,16,0.051443960674705,0.691502988785242,6
3,4,7,10,11,12,13,15,0.250043415398245,0.450510384462948,0
5,6,7,9,11,12,14,15,0.232586780636702,0.489174069930171,0
2,6,7,10,11,12,13,15,0.0375603503995757,0.907754410935048,3
2,3,6,7,8,10,11,16,0.00475871763075648,0.986652018933561,5
2,3,5,7,8,9,11,15,0.0910181693744472,0.938087345549277,1
4,6,8,9,10,13,14,16,0.198139012424514,0.453547791703258,3
1,2,3,5,7,10,13,16,0.20306737421484,0.581037877051037,0
3,4,5,7,10,13,14,15,0.173490710409879,0.514452673843786,0
7,8,9,10,11,12,13,16,0.293954905628928,0.346183735376436,1
1,5,6,8,9,12,13,14,0.0777523445478193,0.71326241335833,2
1,2,3,4,5,11,12,15,0.00965283937953449,0.496531886789364,6
5,6,7,8,11,13,14,16,0.295171587626067,0.416225385809206,1
1,2,3,4,5,9,12,13,0.118117737366183,0.527361099877079,4
2,4,5,6,13,14,15,16,0.333599700918686,0.431898333178178,0
2,4,6,8,10,12,15,16,0.345275554253973,0.419896066061942,0
1,2,4,5,7,14,15,16,0.174075487272638,0.629047947578152,0
5,6,7,8,9,11,13,15,0.318942280085849,0.351992780230513,0
1,2,7,8,9,11,13,16,0.21402966692334,0.480092222434391,1
3,4,9,10,11,13,14,15,0.14076371604263,0.543092721634575,4
2,7,8,9,11,12,14,16,0.280525451107799,0.509317171696451,0
4,6,7,8,9,11,12,13,0.321317524594956,0.38009206109128,0
1,2,3,7,9,11,14,16,0.0735329867088903,0.72876010536276,1
1,6,9,12,13,14,15,16,0.134274312417403,0.586169599239151,3
1,3,4,7,9,11,12,14,0.18534313741208,0.610996337865685,1
1,3,4,7,8,9,11,13,0.134563605280833,0.673547723031795,2
4,7,11,12,13,14,15,16,0.00426912561313181,1.26170518623516,6
3,4,6,7,8,10,12,16,0.219547680301869,0.446916783504195,0
3,4,7,11,12,14,15,16,0.150738715738462,0.555268874479897,0
3,4,5,6,8,10,11,14,0.340073259437839,0.400781833812226,1
2,3,4,5,6,10,11,16,0.218425207305011,0.652034852587407,0
1,2,3,4,9,10,13,15,0.0252709463533441,0.498999659021426,6
1,2,5,6,7,10,12,16,0.28597884654715,0.501736206682807,0
2,3,9,10,12,14,15,16,0.00368201828445916,0.795791500901924,7
1,2,3,5,6,8,9,11,0.210139359492281,0.585442385651525,1
4,7,8,9,11,13,15,16,0.353322697429153,0.392116040391655,2
2,6,7,8,10,11,12,13,0.0235461653893921,0.984245849167181,5
1,2,6,9,10,12,14,16,0.350860732055325,0.490180732554478,0
1,4,8,9,12,13,15,16,0.172911574726399,0.614307694000661,2
2,4,8,10,12,13,14,16,0.242764245912912,0.417282735122176,0
1,4,6,7,8,9,11,15,0.330601629822857,0.514175109005555,0
2,3,4,5,6,7,11,14,0.189460555034386,0.559638074956982,0
2,4,5,7,8,12,14,15,0.21017123671814,0.593282427186,1
2,4,9,10,11,12,13,16,0.351573898913003,0.457073878913155,1
4,5,6,7,10,11,12,16,0.310523272048177,0.374936709233917,1
1,3,4,7,8,10,11,12,0.205468887094427,0.512892792552495,0
1,2,3,5,6,9,11,16,0.169833511073303,0.62733874235568,2
2,3,4,7,8,9,10,11,0.00469255785836943,0.854069365539398,7
1,2,4,7,10,11,14,15,0.00396114846671057,0.771984799838181,7
1,5,6,7,8,10,11,13,0.316980868736486,0.410128871086172,1
1,2,4,6,11,12,13,14,0.300667251461099,0.485806828160349,1
2,3,5,10,12,13,15,16,0.239793315067258,0.573163962753214,0
