V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse
2,3,7,9,12,13,14,15,17,21,39055.4237252493,Inf
5,6,7,8,12,13,15,18,19,20,182541.150180546,346158.661441157
1,2,3,4,9,11,13,15,16,17,152771.723457648,Inf
3,4,6,7,13,15,16,18,20,21,78155.9325963052,479215.50833575
5,6,11,12,13,14,15,19,20,21,212096.614669792,309126.817757208
1,3,7,11,12,13,15,16,18,20,3209.54164578477,Inf
3,5,6,7,9,12,16,18,19,21,190003.337465457,337831.57036806
5,6,8,10,11,14,15,16,19,20,164283.155953076,216690.156016744
1,3,4,5,7,10,13,16,18,19,272711.868290319,271818.113051794
3,4,5,9,11,15,16,17,18,20,190729.245271919,317960.579427548
2,3,6,9,12,15,18,19,20,21,118556.876337594,504397.757868174
1,4,5,7,10,11,12,13,15,20,263448.578320201,225801.855531553
1,2,3,4,6,9,10,15,16,19,143342.375478154,383024.236339982
1,6,8,10,14,15,17,18,19,20,92498.5364081785,424867.351098492
1,5,6,7,8,9,10,13,15,18,217900.009785383,283581.150717048
2,3,4,6,8,9,11,18,19,21,139069.336053209,Inf
1,2,4,5,6,7,10,14,15,17,219400.211716643,242117.571236017
3,4,8,10,11,12,13,18,20,21,181324.866238291,365153.055514151
3,4,5,6,7,11,12,13,15,17,245143.337497533,281781.229732564
2,5,9,10,12,13,14,15,17,19,166427.76229564,240063.179574193
2,5,8,9,11,14,15,16,17,21,210682.429881171,275904.756344036
2,6,7,8,10,11,14,15,16,18,179405.832986467,329097.732032164
1,2,3,6,9,10,12,14,17,21,216567.305428903,354542.13258074
5,6,8,10,12,14,15,16,18,19,215486.847107763,290046.641531676
2,10,11,12,14,15,18,19,20,21,170323.512125893,334242.781630959
1,3,4,7,10,11,12,14,19,21,138614.033931627,302248.574693111
1,3,4,5,11,12,14,15,16,17,122683.961206753,Inf
1,2,3,4,9,12,14,15,16,20,102874.714228861,Inf
2,5,7,8,13,16,17,19,20,21,103245.269829691,367171.131138036
3,4,5,7,8,11,14,16,17,20,217135.567887529,288871.006970076
1,2,3,7,9,14,15,16,17,21,182459.824769534,393779.406115828
3,4,7,9,12,13,15,16,18,20,104378.517525145,454755.530134834
1,2,3,5,8,10,14,15,17,20,191668.869318181,275570.982540627
1,11,12,13,14,15,16,19,20,21,149348.113389616,417238.669768403
1,3,4,5,8,9,10,12,13,21,204344.11953673,295260.59618964
