V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,bestlam,rmse,bestlam_numpred
1,2,4,5,6,7,8,13,14,15,22,2191.62158279099,3585.94268279796,0
3,7,8,9,12,13,14,15,18,19,22,259.406196266777,5044.74304404956,7
3,7,8,9,12,13,15,16,18,19,22,1563.10636595944,3193.2465868238,0
1,3,4,7,8,9,11,16,18,20,22,1201.54154260472,3585.22956887758,2
3,4,7,10,11,16,17,18,19,20,21,1298.50338060942,3424.86717049851,1
1,4,5,6,10,12,16,17,18,20,21,1465.23893972792,3952.2063756535,0
1,3,5,9,12,13,15,18,19,20,21,393.536761284301,3497.4547651003,4
1,2,3,4,6,7,9,12,14,20,21,2128.72925286688,2844.23133333982,0
1,2,5,8,10,13,17,18,19,21,22,1942.69100077547,3033.10694004268,1
3,4,13,14,15,16,17,18,20,21,22,1328.72942185474,3597.79657379164,0
1,2,3,6,10,11,12,15,16,17,21,1846.74664617381,3130.29523108893,0
2,7,8,10,11,12,16,17,19,20,22,1223.64448658657,3485.32815731241,0
1,5,7,8,9,13,14,18,19,20,21,458.863101336254,3764.921179603,5
1,3,5,6,8,9,11,13,16,18,19,1584.34286635606,4058.98904046104,0
3,4,7,8,9,11,17,18,19,20,21,2523.81510981909,3155.56656248049,0
1,4,5,7,8,9,14,15,17,19,21,2454.37745920196,3258.10438881881,0
1,2,3,5,9,13,16,17,20,21,22,301.238400319469,4544.08196144554,5
1,3,4,8,10,13,14,15,16,18,22,1556.80726114487,3711.86311568342,0
2,8,9,11,12,13,17,18,19,21,22,2298.27186314858,2802.46338389049,0
1,4,5,7,8,14,16,17,19,21,22,1069.46001146581,4351.02057302244,0
1,6,7,12,13,14,15,16,20,21,22,1277.45871076182,3779.24815483551,0
1,2,4,8,12,13,14,16,17,19,21,1987.35982563308,3505.56008956911,1
2,4,5,9,12,13,14,16,18,21,22,891.469994048229,4684.38414096678,0
3,5,7,10,11,12,15,17,18,19,21,2358.9773988902,3233.74384843317,0
1,4,5,6,10,12,16,17,18,19,21,1460.98248558252,3882.37695434271,1
2,4,6,9,10,15,17,18,19,20,22,1943.22774347519,3060.54065084014,1
2,3,7,9,10,13,15,16,17,19,21,1757.4180414081,3113.01729518788,1
1,3,4,7,10,13,16,19,20,21,22,643.901952903149,4653.75236306121,5
4,5,8,9,12,15,16,17,18,19,20,1470.32866194618,3691.25719448305,1
2,7,8,9,11,12,13,17,18,21,22,1541.60310399228,3586.36557627584,3
5,7,8,9,10,12,13,16,17,20,21,775.015781069189,3715.56882227952,3
2,3,4,6,9,11,12,13,14,20,21,2244.61652095885,2571.78426365914,0
2,3,4,5,6,7,9,10,17,19,22,1443.50759437146,3301.70879851684,2
1,2,6,7,8,9,10,11,14,16,19,1383.13332799068,3563.95741894991,0
1,3,4,5,7,9,10,12,19,20,22,257.079667600698,3427.70374755935,6
3,4,5,8,9,12,14,15,16,17,19,13.5568362509802,6546.8880523139,11
2,3,5,8,10,11,14,15,16,18,21,850.557039102578,5024.51548655738,0
1,4,5,9,11,12,13,14,19,21,22,1742.75497139387,3236.526926299,1
2,4,5,6,10,14,16,19,20,21,22,436.17032096809,4301.43451453869,2
1,3,6,10,11,13,14,15,16,18,20,1412.198879919,3597.26403152847,0
1,3,6,9,10,12,15,16,17,18,22,1320.91068377734,3261.25611875751,1
1,2,3,4,7,10,11,13,15,18,22,2083.03394409309,2323.93101997577,0
3,6,7,9,11,12,18,19,20,21,22,1996.82655395859,4414.03843060403,1
3,5,8,10,11,13,16,17,18,19,22,1278.38232896153,4019.33030623289,0
1,2,3,4,5,10,13,15,16,17,21,1572.89316667915,4438.42262557139,0
1,3,6,8,9,14,17,18,20,21,22,680.906668557745,5765.13508942725,3
1,4,5,6,8,9,12,15,17,18,21,25.0009940460603,5561.3051985614,10
3,4,5,7,8,12,17,19,20,21,22,940.695320584118,3659.8246812324,1
1,4,5,8,10,13,14,16,17,19,21,961.179515428559,4683.30943715069,1
1,2,3,4,6,9,11,15,16,18,21,1801.1325347156,3104.20864022751,0
2,5,8,9,10,12,13,16,19,20,21,1348.33553339342,3834.65657247932,1
2,5,6,9,11,13,14,16,19,20,22,629.119150500818,4476.71521537689,1
2,3,6,7,8,13,14,16,18,19,20,1269.02947382143,3750.71559875243,1
5,9,10,11,12,14,15,17,18,19,21,2486.28405843185,3258.04079045747,0
1,2,4,5,6,9,10,11,13,14,22,2323.10456530588,3503.08377176461,0
3,4,5,7,8,13,17,18,19,21,22,985.648548050183,3289.33889483203,2
1,2,5,6,7,9,12,13,15,19,22,2511.71575418219,3230.50399959073,1
1,2,4,6,8,11,14,18,19,20,21,2206.12479973948,2944.40531221025,1
2,3,5,6,8,9,13,17,18,20,21,956.3488950451,3411.42171496526,2
1,4,6,7,8,9,10,13,15,17,21,857.208748343415,3652.88223685745,4
5,6,7,8,10,12,13,14,15,17,18,1995.49944326875,3576.95896219726,1
1,2,3,4,5,9,10,13,15,16,20,1742.26334921325,4578.34566793257,1
1,3,4,6,7,9,11,12,13,15,16,1731.63175828411,3128.94274128253,0
2,3,8,9,10,12,13,16,17,18,20,1504.47215138074,3105.62907464677,1
2,3,5,8,10,12,13,17,18,19,20,485.826566326005,3499.75282866963,7
2,3,4,6,8,11,14,17,18,21,22,1888.22595473915,2988.16524027761,0
1,3,5,7,9,13,17,19,20,21,22,641.147707460164,3827.64822930278,1
