V1,V2,V3,V4,V5,V6,bestlam,rmse,bestlam_numpred
1,2,3,4,5,6,0.10024580154289,0.350518205479866,3
1,2,3,4,5,7,0.216288214287468,0.475456264505594,2
1,2,3,4,5,8,0.133999034116174,0.499360364003818,3
1,2,3,4,5,9,0.169135476734413,0.415667177210586,2
1,2,3,4,5,10,0.0391078905999216,0.661165961902524,4
1,2,3,4,5,11,0.101690726494381,0.432990153053255,4
1,2,3,4,5,12,0.0371936820741461,0.624737488158066,5
1,2,3,4,5,13,0.101597757810197,0.426288795154581,3
1,2,3,4,6,7,0.005353596866548,0.781538806033391,6
1,2,3,4,6,8,0.121266185601465,0.531591011279611,4
1,2,3,4,6,9,0.157383861128401,0.415325451439896,2
1,2,3,4,6,10,0.299045992694656,0.446743562760176,1
1,2,3,4,6,11,0.0888991630717264,0.32333584645141,2
1,2,3,4,6,12,0.0394139968213549,0.617101153101146,4
1,2,3,4,6,13,0.223402377299037,0.407019164967142,1
1,2,3,4,7,8,0.00577487877856699,0.971876156314967,4
1,2,3,4,7,9,0.179606575046202,0.462659869243539,2
1,2,3,4,7,10,0.00494150477625134,0.859819319198498,6
1,2,3,4,7,11,0.187686600899558,0.449510492852037,2
1,2,3,4,7,12,0.160801709807071,0.644567245875471,2
1,2,3,4,7,13,0.073340058555273,0.443100806742374,4
1,2,3,4,8,9,0.118827520330491,0.519976375262771,2
1,2,3,4,8,10,0.378350986395193,0.436158215564648,1
1,2,3,4,8,11,0.102146149943347,0.495943056501078,4
1,2,3,4,8,12,0.0634714823420182,0.615337886604412,4
1,2,3,4,8,13,0.0464255022748829,0.536071618189589,5
1,2,3,4,9,10,0.168151029425443,0.408500935169816,2
1,2,3,4,9,11,0.124325467244724,0.422068589369038,2
1,2,3,4,9,12,0.221830172147094,0.482721915650238,2
1,2,3,4,9,13,0.0467020917240504,0.485710345239362,3
1,2,3,4,10,11,0.176738146123003,0.382700218833948,2
1,2,3,4,10,12,0.0401896311907495,0.642224415689537,4
1,2,3,4,10,13,0.11426021739707,0.417187347304922,3
1,2,3,4,11,12,0.00867385378600993,0.615440705741411,6
1,2,3,4,11,13,0.0412893152025078,0.457059581600691,2
1,2,3,4,12,13,0.00783038605030707,0.559775403272278,6
1,2,3,5,6,7,0.27287386308645,0.504645651780389,0
1,2,3,5,6,8,0.287239069459614,0.369951766513264,1
1,2,3,5,6,9,0.31054102829025,0.484596375135063,2
1,2,3,5,6,10,0.307454916890604,0.409012885827036,1
1,2,3,5,6,11,0.218202365551884,0.336949215695974,2
1,2,3,5,6,12,0.0745766792975687,0.576973240862226,4
1,2,3,5,6,13,0.0474295055789437,0.381085865073666,3
1,2,3,5,7,8,0.251789615496247,0.567980038673624,1
1,2,3,5,7,9,0.202585419858089,0.468077068613074,2
1,2,3,5,7,10,0.264312727455044,0.5119998936652,0
1,2,3,5,7,11,0.220124367342666,0.466500256258902,1
1,2,3,5,7,12,0.0123345730794803,0.675303371007602,5
1,2,3,5,7,13,0.145310850822505,0.426823161358473,2
1,2,3,5,8,9,0.290538812941804,0.391293034476443,2
1,2,3,5,8,10,0.357151261380275,0.392704095711809,1
1,2,3,5,8,11,0.335119156070179,0.364760500983363,1
1,2,3,5,8,12,0.0340577315186534,0.550351830356845,3
1,2,3,5,8,13,0.085495356426958,0.421610762271039,5
1,2,3,5,9,10,0.0928245293452751,0.547378406833005,3
1,2,3,5,9,11,0.221997588296584,0.372730463644152,2
1,2,3,5,9,12,0.296384256940467,0.461692156773034,2
1,2,3,5,9,13,0.141222385059333,0.423123094011307,2
1,2,3,5,10,11,0.283725026564959,0.358452148210737,1
1,2,3,5,10,12,0.00474631680602622,0.760331510067062,6
1,2,3,5,10,13,0.10724684345411,0.418545512453361,4
1,2,3,5,11,12,0.00754989541898815,0.609309431672028,6
1,2,3,5,11,13,0.0834870291121073,0.433515257015429,2
1,2,3,5,12,13,0.00496313746057817,0.462961560861202,6
1,2,3,6,7,8,0.220281387879379,0.561769059425615,2
1,2,3,6,7,9,0.266090889854405,0.515223869805087,0
1,2,3,6,7,10,0.058854932452759,0.800190119570169,5
1,2,3,6,7,11,0.280975141403003,0.510344245616759,1
1,2,3,6,7,12,0.0265677632040195,0.874246107876771,5
1,2,3,6,7,13,0.115941611709223,0.426314254892746,2
1,2,3,6,8,9,0.20195899760424,0.395669048636428,3
1,2,3,6,8,10,0.343133647782159,0.410049602807985,1
1,2,3,6,8,11,0.375433504079855,0.380235856946048,1
1,2,3,6,8,12,0.0977878693317371,0.53020349636965,5
1,2,3,6,8,13,0.144914114079719,0.457362982573275,3
1,2,3,6,9,10,0.201492242392853,0.420359759410095,3
1,2,3,6,9,11,0.19484226693537,0.352283860158094,2
1,2,3,6,9,12,0.00950046553030725,0.671693218467075,6
1,2,3,6,9,13,0.170763651452384,0.428354760161354,1
1,2,3,6,10,11,0.196636626276431,0.339305838565254,2
1,2,3,6,10,12,0.0704089777510664,0.562236233644117,5
1,2,3,6,10,13,0.393944841301253,0.479104934989633,0
1,2,3,6,11,12,0.010165804975458,0.477665710817582,5
1,2,3,6,11,13,0.0350352588666442,0.42694203818946,3
1,2,3,6,12,13,0.0470290028572516,0.548882665964845,5
1,2,3,7,8,9,0.24086509100077,0.554672162542294,2
1,2,3,7,8,10,0.0505145746143499,0.766581549511522,1
1,2,3,7,8,11,0.241254930233688,0.59744914892909,1
1,2,3,7,8,12,0.109677586590282,0.722146593148492,0
1,2,3,7,8,13,0.0861244053558796,0.496796766661322,2
1,2,3,7,9,10,0.255161218418532,0.521756931020718,1
1,2,3,7,9,11,0.201073906881336,0.453710665170654,1
1,2,3,7,9,12,0.00299350644856358,0.653610753562446,6
1,2,3,7,9,13,0.126245751064497,0.433814729571363,1
1,2,3,7,10,11,0.273875348596966,0.513159455075733,0
1,2,3,7,10,12,0.193787815942397,0.63198517295956,0
1,2,3,7,10,13,0.299236819274312,0.5179548787298,0
1,2,3,7,11,12,0.156334289234624,0.674619359271145,2
1,2,3,7,11,13,0.16330164624498,0.421935790458253,1
1,2,3,7,12,13,0.112295522963575,0.588083734617989,3
1,2,3,8,9,10,0.329922411232731,0.414953900018697,2
1,2,3,8,9,11,0.288536126311544,0.375401410072901,1
1,2,3,8,9,12,0.00587717362316631,0.655616593449644,6
1,2,3,8,9,13,0.147710917727226,0.413629944939291,1
1,2,3,8,10,11,0.370616235439562,0.385746356671861,1
1,2,3,8,10,12,0.280089633792334,0.48496823226292,2
1,2,3,8,10,13,0.344803274069914,0.407990271243779,1
1,2,3,8,11,12,0.316039114331295,0.520103284701356,2
1,2,3,8,11,13,0.0591090244877569,0.434015848226833,3
1,2,3,8,12,13,0.00852978426637745,0.47605249104434,6
1,2,3,9,10,11,0.229540174454984,0.380738776972643,1
1,2,3,9,10,12,0.0728030209084491,0.526699171189263,5
1,2,3,9,10,13,0.120006093911363,0.418686601827636,2
1,2,3,9,11,12,0.0302502738525971,0.623533610903649,4
1,2,3,9,11,13,0.0572078254221908,0.469275576242781,1
1,2,3,9,12,13,0.00747142493999618,0.5153028278441,6
1,2,3,10,11,12,0.029213082843128,0.662339294308684,5
1,2,3,10,11,13,0.159788227051717,0.413760527450423,2
1,2,3,10,12,13,0.00654313179600092,0.568765403727991,6
1,2,3,11,12,13,0.140603929044071,0.427644954029031,1
1,2,4,5,6,7,0.25077167849564,0.492512164523981,1
1,2,4,5,6,8,0.357055308573509,0.458392763787197,1
1,2,4,5,6,9,0.298343544466389,0.590949928752659,0
1,2,4,5,6,10,0.189661933346075,0.663442086793282,2
1,2,4,5,6,11,0.16064752234685,0.506819477044081,2
1,2,4,5,6,12,0.329926754929519,0.468647351835095,1
1,2,4,5,6,13,0.141819239301994,0.462825625406301,3
1,2,4,5,7,8,0.251038344564255,0.448854722957658,0
1,2,4,5,7,9,0.158750322015606,0.497280470201845,1
1,2,4,5,7,10,0.239331245729674,0.518424730945646,0
1,2,4,5,7,11,0.197798320852963,0.436710298739561,1
1,2,4,5,7,12,0.220764992495349,0.513935567379041,0
1,2,4,5,7,13,0.234809398935399,0.480164152314154,0
1,2,4,5,8,9,0.349373524118368,0.455574578576333,1
1,2,4,5,8,10,0.343122355027175,0.466829932594717,1
1,2,4,5,8,11,0.388774801798206,0.370999091496498,1
1,2,4,5,8,12,0.384549022484057,0.401695881602999,1
1,2,4,5,8,13,0.230939790264428,0.368464812845747,1
1,2,4,5,9,10,0.25703049406273,0.609454024349122,0
1,2,4,5,9,11,0.309862999341275,0.498907698202015,0
1,2,4,5,9,12,0.300807239729307,0.470313847380856,0
1,2,4,5,9,13,0.243627819604413,0.615729909114143,2
1,2,4,5,10,11,0.29403967731792,0.506543867189637,1
1,2,4,5,10,12,0.335797350353171,0.478219629835829,0
1,2,4,5,10,13,0.311431352843366,0.596155631596305,0
1,2,4,5,11,12,0.338961838188871,0.405446805842226,0
1,2,4,5,11,13,0.191814411959277,0.395796564086079,2
1,2,4,5,12,13,0.338150972061598,0.457225005473906,0
1,2,4,6,7,8,0.240435784016725,0.460412440767762,0
1,2,4,6,7,9,0.1794913715271,0.525194509415635,0
1,2,4,6,7,10,0.241572609654038,0.5344497808947,0
1,2,4,6,7,11,0.291571766437873,0.469933716398643,0
1,2,4,6,7,12,0.207618194502977,0.522404873541272,0
1,2,4,6,7,13,0.228756743842428,0.511642552819141,0
1,2,4,6,8,9,0.327432452160484,0.488345214977652,0
1,2,4,6,8,10,0.332839413995198,0.517307081444582,1
1,2,4,6,8,11,0.138573195989029,0.368469836070458,3
1,2,4,6,8,12,0.372548458906618,0.4263571027897,0
1,2,4,6,8,13,0.161404225634788,0.435335335123987,2
1,2,4,6,9,10,0.276296774803372,0.652637926885152,1
1,2,4,6,9,11,0.335163465627761,0.539733126270823,0
1,2,4,6,9,12,0.278579581977842,0.504704861098372,1
1,2,4,6,9,13,0.27269682065566,0.623653860465671,0
1,2,4,6,10,11,0.26169415752501,0.567074273208999,1
1,2,4,6,10,12,0.31744220250725,0.514861340770713,0
1,2,4,6,10,13,0.329346403159751,0.649788278569969,1
1,2,4,6,11,12,0.00709635788604956,0.647685497682978,5
1,2,4,6,11,13,0.203032866969631,0.41890413907498,3
1,2,4,6,12,13,0.329347911069756,0.490504650910117,0
1,2,4,7,8,9,0.244982309906883,0.454767836309911,0
1,2,4,7,8,10,0.0861229885740105,0.746408623618031,3
1,2,4,7,8,11,0.261603376009213,0.452470789204786,0
1,2,4,7,8,12,0.256090530537038,0.560789285464974,0
1,2,4,7,8,13,0.259452870542889,0.406860382000402,1
1,2,4,7,9,10,0.222870820690839,0.54269163912384,0
1,2,4,7,9,11,0.197270019311964,0.467825192479905,1
1,2,4,7,9,12,0.202399636090515,0.524891384418708,1
1,2,4,7,9,13,0.218423324713053,0.523887019965375,1
1,2,4,7,10,11,0.24869761127334,0.494846575203912,1
1,2,4,7,10,12,0.179183029002136,0.675690610101817,2
1,2,4,7,10,13,0.258439556041168,0.534461623659781,0
1,2,4,7,11,12,0.252789346992122,0.520676499476652,0
1,2,4,7,11,13,0.0167515851446599,0.767978796495429,6
1,2,4,7,12,13,0.201870942960203,0.52192032120902,0
1,2,4,8,9,10,0.310959433710908,0.518422138997065,0
1,2,4,8,9,11,0.369538630682146,0.419193551835641,1
1,2,4,8,9,12,0.382074080213818,0.42402629201371,1
1,2,4,8,9,13,0.22656146117351,0.360884266402671,1
1,2,4,8,10,11,0.363565709141522,0.436899871652952,1
1,2,4,8,10,12,0.366888972603054,0.444885693749101,1
1,2,4,8,10,13,0.170780417944654,0.393441013746462,1
1,2,4,8,11,12,0.390816637831819,0.392817528561658,1
1,2,4,8,11,13,0.175025600429219,0.336093923304808,2
1,2,4,8,12,13,0.244932734340251,0.385750246765145,1
1,2,4,9,10,11,0.27756173852797,0.561724580374108,1
1,2,4,9,10,12,0.324903540528342,0.519490456956775,1
1,2,4,9,10,13,0.218007033626816,0.65071588543975,2
1,2,4,9,11,12,0.321708901811181,0.441418161687779,0
1,2,4,9,11,13,0.157462193057477,0.505051407571694,3
