V1,V2,V3,V4,V5,V6,V7,bestlam,rmse,bestlam_numpred
1,2,3,4,5,6,7,0.155231814049844,0.901639892410743,1
1,2,3,4,5,6,8,0.30658657477476,0.850779443817038,0
1,2,3,4,5,6,9,0.25792641325437,0.87170027125702,1
1,2,3,4,5,6,10,0.296476716501315,0.860050615713516,1
1,2,3,4,5,6,11,0.0193881674195644,1.11942963866067,6
1,2,3,4,5,6,12,0.328453124451839,0.849500508132161,1
1,2,3,4,5,6,13,0.296755977256315,0.850133832198908,0
1,2,3,4,5,6,14,0.302983956246317,0.849146794524088,0
1,2,3,4,5,6,15,0.266056754429546,0.931202148905445,1
1,2,3,4,5,7,8,0.286438290362568,0.825136707581626,1
1,2,3,4,5,7,9,0.276039676495542,0.810218571441349,0
1,2,3,4,5,7,10,0.288599498553602,0.818803501054282,0
1,2,3,4,5,7,11,0.304650258481338,0.796656280445621,0
1,2,3,4,5,7,12,0.300129629833125,0.848850205961506,0
1,2,3,4,5,7,13,0.389022304588702,0.866773754211763,0
1,2,3,4,5,7,14,0.248797227622877,0.848980573339906,0
1,2,3,4,5,7,15,0.275280302274902,0.809077554467534,0
1,2,3,4,5,8,9,0.324120868964372,0.677990297034278,1
1,2,3,4,5,8,10,0.392098320229954,0.681494645303598,0
1,2,3,4,5,8,11,0.385012023105452,0.686259651876547,0
1,2,3,4,5,8,12,0.0452536917254497,1.29051053380652,5
1,2,3,4,5,8,13,0.363600587501536,0.704447590135412,1
1,2,3,4,5,8,14,0.297910977547419,0.704470940031996,1
1,2,3,4,5,8,15,0.350835783688682,0.709867658027961,1
1,2,3,4,5,9,10,0.387526578551778,0.674727690399809,1
1,2,3,4,5,9,11,0.0834594809384358,1.295982338112,5
1,2,3,4,5,9,12,0.399076866751084,0.690236538232901,1
1,2,3,4,5,9,13,0.372088788192691,0.697532676871382,0
1,2,3,4,5,9,14,0.304086882993548,0.691353996932852,0
1,2,3,4,5,9,15,0.305664956947992,0.706567305317812,0
1,2,3,4,5,10,11,0.459487392032543,0.68218731258811,0
1,2,3,4,5,10,12,0.409130990881416,0.69683386743011,0
1,2,3,4,5,10,13,0.383380872785351,0.705856630837498,1
1,2,3,4,5,10,14,0.140809548277447,1.17325871399402,4
1,2,3,4,5,10,15,0.337247884793461,0.705178546632368,1
1,2,3,4,5,11,12,0.384585431200223,0.69061476728719,0
1,2,3,4,5,11,13,0.411805204432303,0.698349789326483,0
1,2,3,4,5,11,14,0.373550065280682,0.695378380225156,0
1,2,3,4,5,11,15,0.337467084483733,0.73213094764043,1
1,2,3,4,5,12,13,0.39030449509328,0.733468085796622,1
1,2,3,4,5,12,14,0.372921629169706,0.716619599558884,1
1,2,3,4,5,12,15,0.331090888318244,0.712043931813621,1
1,2,3,4,5,13,14,0.340231681269341,0.727194047305726,0
1,2,3,4,5,13,15,0.320442863916355,0.721669992175826,1
1,2,3,4,5,14,15,0.285180695737461,0.719291024640763,1
1,2,3,4,6,7,8,0.145117771451418,0.898454104254599,1
1,2,3,4,6,7,9,0.161275350484584,0.895086094887317,1
1,2,3,4,6,7,10,0.17492910593544,0.898267967721709,1
1,2,3,4,6,7,11,0.176937467507673,0.901068413079497,1
1,2,3,4,6,7,12,0.186123576909943,0.911883587937164,1
1,2,3,4,6,7,13,0.161019983495,0.916419286348641,1
1,2,3,4,6,7,14,0.16770528213062,0.911909854557873,0
1,2,3,4,6,7,15,0.135950813538829,0.923937340461121,1
1,2,3,4,6,8,9,0.274278800215262,0.828756045194944,1
