"","V1","V2","V3","V4","V5","V6","pred1","pred2","pred3","pred4","pred5"
"51",1,2,3,5,8,10,"BY_recon_750","RY_recon_10","RY_recon_70","SY_min_flow_janjul","RY_Wet_Tim"
"52",1,2,3,5,8,11,"RY_discon_200","BY_recon_750","RY_recon_8","RY_recon_10","RY_Wet_Tim"
"53",1,2,3,5,8,12,"RY_Wet_Tim","BY_recon_750","SY_discon_200","RY_Wet_BFL_Dur","BY_recon_100"
"54",1,2,3,5,8,13,"BY_recon_750","BY_recon_500","RY_DS_Mag_90","SY_Wet_Tim","RY_Wet_Tim"
"55",1,2,3,5,9,10,"RY_discon_200","RY_recon_70","BY_recon_750","RY_recon_10","RY_Wet_BFL_Dur"
"56",1,2,3,5,9,11,"RY_discon_200","RY_recon_10","RY_Wet_Tim","BY_min_flow_sepdec","SY_SP_ROC"
"57",1,2,3,5,9,12,"RY_Wet_BFL_Dur","RY_SP_ROC","SY_discon_200","RY_discon_500","RY_SP_Tim"
"58",1,2,3,5,9,13,"BY_recon_750","RY_discon_200","BY_recon_8","BY_min_flow_sepdec","RY_recon_10"
"59",1,2,3,5,10,11,"RY_discon_200","RY_recon_10","RY_Wet_Tim","SY_SP_ROC","BY_recon_40"
"60",1,2,3,5,10,12,"RY_Wet_BFL_Dur","RY_recon_10","BY_recon_750","RY_recon_70","SY_discon_200"
"61",1,2,3,5,10,13,"RY_DS_Mag_50","BY_recon_750","RY_recon_70","RY_recon_40","BY_recon_8"
"62",1,2,3,5,11,12,"RY_Wet_BFL_Dur","RY_discon_200","RY_recon_10","RY_SP_ROC","SY_SP_ROC"
"63",1,2,3,5,11,13,"RY_discon_200","BY_recon_750","BY_recon_8","BY_min_flow_sepdec","RY_recon_10"
"64",1,2,3,5,12,13,"BY_recon_8","BY_recon_750","RY_Wet_BFL_Dur","BY_recon_15","BY_min_flow_sepdec"
"65",1,2,3,6,7,8,"RY_recon_70","BY_recon_750","SY_min_flow_janjul","RY_SP_ROC","RY_recon_400"
"66",1,2,3,6,7,9,"RY_recon_70","SY_discon_150","RY_recon_100","RY_recon_8","RY_recon_400"
"67",1,2,3,6,7,10,"RY_recon_70","RY_recon_10","RY_discon_200","RY_recon_300","RY_recon_400"
"68",1,2,3,6,7,11,"RY_discon_200","RY_recon_70","RY_recon_10","SY_discon_150","BY_recon_750"
"69",1,2,3,6,7,12,"RY_Wet_BFL_Dur","RY_recon_70","RY_SP_ROC","BY_recon_750","SY_discon_200"
"70",1,2,3,6,7,13,"RY_recon_70","BY_recon_750","RY_discon_200","BY_recon_10","RY_recon_100"
"71",1,2,3,6,8,9,"SY_min_flow_janjul","RY_recon_8","SY_discon_200","BY_recon_100","RY_discon_200"
"72",1,2,3,6,8,10,"BY_recon_750","RY_recon_8","SY_min_flow_janjul","SY_discon_200","RY_recon_70"
"73",1,2,3,6,8,11,"SY_discon_200","BY_recon_500","RY_recon_8","SY_min_flow_janjul","BY_recon_750"
"74",1,2,3,6,8,12,"RY_Wet_Tim","SY_discon_200","RY_Wet_BFL_Dur","BY_recon_750","BY_recon_200"
"75",1,2,3,6,8,13,"BY_recon_500","SY_min_flow_janjul","SY_discon_200","RY_DS_Mag_90","log_tot_flow_CFLP"
"76",1,2,3,6,9,10,"RY_discon_200","SY_discon_150","RY_recon_10","RY_recon_70","SY_discon_200"
"77",1,2,3,6,9,11,"RY_discon_200","SY_discon_150","RY_recon_10","RY_discon_750","RY_recon_8"
"78",1,2,3,6,9,12,"RY_Wet_BFL_Dur","RY_SP_ROC","SY_discon_200","RY_discon_500","RY_recon_500"
"79",1,2,3,6,9,13,"SY_discon_150","RY_discon_200","BY_recon_20","BY_recon_750","BY_recon_40"
"80",1,2,3,6,10,11,"RY_discon_200","RY_recon_10","SY_SP_ROC","SY_discon_150","RY_recon_70"
"81",1,2,3,6,10,12,"RY_Wet_BFL_Dur","RY_discon_200","RY_discon_150","RY_recon_10","RY_recon_70"
"82",1,2,3,6,10,13,"RY_discon_40","RY_min_flow","tot_flow_CFLP","RY_discon_200","log_tot_flow_CFLP"
"83",1,2,3,6,11,12,"RY_Wet_BFL_Dur","RY_discon_200","SY_SP_ROC","RY_SP_ROC","BY_recon_750"
"84",1,2,3,6,11,13,"RY_discon_200","BY_recon_750","SY_discon_150","BY_recon_8","RY_recon_8"
"85",1,2,3,6,12,13,"BY_recon_8","RY_Wet_BFL_Dur","BY_recon_750","BY_recon_10","RY_Wet_Tim"
"86",1,2,3,7,8,9,"BY_recon_750","RY_recon_70","SY_min_flow_janjul","RY_SP_ROC","log_SY_tot_flow_janjul"
"87",1,2,3,7,8,10,"RY_recon_70","RY_SP_ROC","RY_recon_40","RY_discon_200","RY_recon_10"
"88",1,2,3,7,8,11,"RY_SP_ROC","BY_recon_750","SY_min_flow_janjul","SY_discon_1000","SY_discon_750"
"89",1,2,3,7,8,12,"BY_recon_750","RY_Wet_Tim","SY_discon_200","RY_recon_70","SY_discon_70"
"90",1,2,3,7,8,13,"BY_recon_500","RY_DS_Mag_90","BY_recon_750","log_BY_tot_flow_sepdec","RY_recon_70"
"91",1,2,3,7,9,10,"RY_recon_70","RY_recon_40","RY_recon_10","RY_discon_200","RY_recon_100"
"92",1,2,3,7,9,11,"RY_discon_750","RY_discon_200","RY_recon_8","BY_min_flow_sepdec","RY_recon_300"
"93",1,2,3,7,9,12,"RY_Wet_BFL_Dur","RY_discon_500","RY_SP_ROC","RY_recon_8","SY_discon_200"
"94",1,2,3,7,9,13,"BY_recon_750","RY_recon_70","RY_discon_200","BY_recon_15","BY_recon_8"
"95",1,2,3,7,10,11,"RY_recon_40","RY_recon_70","RY_recon_10","RY_discon_200","RY_recon_100"
"96",1,2,3,7,10,12,"RY_recon_70","RY_recon_40","RY_DS_Tim","RY_recon_8","RY_recon_10"
"97",1,2,3,7,10,13,"RY_recon_70","RY_recon_40","RY_discon_20","RY_discon_200","BY_recon_100"
"98",1,2,3,7,11,12,"RY_recon_8","RY_Wet_BFL_Dur","BY_recon_750","RY_SP_ROC","SY_SP_ROC"
"99",1,2,3,7,11,13,"RY_discon_200","BY_recon_750","RY_recon_10","RY_recon_8","RY_recon_70"
"100",1,2,3,7,12,13,"BY_recon_10","RY_Wet_BFL_Dur","BY_recon_750","BY_recon_8","RY_SP_ROC"
"101",1,2,3,8,9,10,"BY_recon_750","RY_recon_10","SY_min_flow_janjul","RY_recon_70","SY_discon_200"
"102",1,2,3,8,9,11,"BY_recon_500","RY_recon_10","SY_min_flow_janjul","BY_recon_750","RY_Wet_Tim"
"103",1,2,3,8,9,12,"RY_Wet_BFL_Dur","SY_discon_200","RY_Wet_Tim","BY_recon_100","RY_SP_ROC"
"104",1,2,3,8,9,13,"BY_recon_500","BY_recon_750","log_BY_tot_flow_sepdec","BY_min_flow_sepdec","RY_DS_Mag_90"
"105",1,2,3,8,10,11,"RY_recon_10","BY_recon_500","BY_recon_750","RY_Wet_Tim","SY_min_flow_janjul"
"106",1,2,3,8,10,12,"RY_Wet_Tim","SY_discon_200","RY_Wet_BFL_Dur","SY_discon_500","BY_recon_750"
"107",1,2,3,8,10,13,"BY_recon_500","log_BY_tot_flow_sepdec","RY_discon_200","RY_DS_Mag_50","RY_recon_70"
"108",1,2,3,8,11,12,"RY_Wet_Tim","RY_Wet_BFL_Dur","BY_recon_150","SY_SP_ROC","BY_recon_100"
"109",1,2,3,8,11,13,"BY_recon_500","RY_discon_200","RY_DS_Mag_90","SY_min_flow_janjul","SY_discon_1000"
"110",1,2,3,8,12,13,"BY_recon_750","BY_recon_500","BY_recon_8","RY_Wet_Tim","RY_Wet_BFL_Dur"
"111",1,2,3,9,10,11,"RY_discon_200","RY_recon_10","BY_recon_750","SY_SP_ROC","RY_recon_70"
"112",1,2,3,9,10,12,"RY_Wet_BFL_Dur","RY_SP_Tim","RY_discon_500","SY_discon_200","RY_SP_ROC"
"113",1,2,3,9,10,13,"RY_DS_Mag_50","RY_discon_200","BY_recon_750","RY_recon_70","RY_discon_20"
"114",1,2,3,9,11,12,"RY_Wet_BFL_Dur","RY_SP_ROC","SY_SP_ROC","RY_SP_Tim","RY_recon_8"
"115",1,2,3,9,11,13,"RY_discon_200","BY_recon_750","BY_recon_8","RY_discon_750","BY_min_flow_sepdec"
"116",1,2,3,9,12,13,"RY_Wet_BFL_Dur","BY_recon_8","BY_recon_15","RY_Wet_Tim","SY_discon_150"
"117",1,2,3,10,11,12,"RY_Wet_BFL_Dur","RY_recon_10","RY_discon_200","SY_SP_ROC","RY_recon_40"
"118",1,2,3,10,11,13,"RY_discon_200","RY_DS_Mag_50","RY_discon_8","BY_recon_750","RY_recon_10"
"119",1,2,3,10,12,13,"RY_DS_Mag_50","BY_recon_8","RY_Wet_BFL_Dur","BY_recon_750","BY_recon_10"
"120",1,2,3,11,12,13,"BY_recon_8","RY_Wet_BFL_Dur","BY_recon_750","SY_discon_150","RY_SP_ROC"
"121",1,2,4,5,6,7,"BY_recon_750","RY_DS_Mag_90","RY_recon_8","RY_discon_8","RY_recon_10"
"122",1,2,4,5,6,8,"BY_recon_750","RY_DS_Mag_90","BY_recon_8","SY_discon_1000","RY_Wet_Tim"
"123",1,2,4,5,6,9,"BY_recon_750","BY_min_flow_sepdec","SY_discon_70","SY_SP_ROC","RY_DS_Mag_90"
"124",1,2,4,5,6,10,"SY_Wet_Tim","RY_discon_750","BY_recon_750","SY_SP_ROC","SY_discon_300"
"125",1,2,4,5,6,11,"SY_SP_ROC","BY_recon_750","RY_recon_8","BY_min_flow_sepdec","RY_DS_Mag_90"
"126",1,2,4,5,6,12,"BY_recon_750","RY_DS_Mag_90","RY_Wet_Tim","RY_Wet_BFL_Dur","RY_SP_ROC"
"127",1,2,4,5,6,13,"BY_recon_750","BY_min_flow_sepdec","BY_recon_10","RY_recon_8","RY_DS_Mag_90"
"128",1,2,4,5,7,8,"RY_SP_Tim","BY_recon_750","RY_DS_Tim","RY_SP_ROC","RY_discon_10"
"129",1,2,4,5,7,9,"BY_recon_750","RY_discon_100","RY_recon_70","RY_DS_Mag_90","RY_recon_8"
"130",1,2,4,5,7,10,"RY_recon_70","SY_discon_300","SY_discon_400","BY_recon_750","BY_min_flow_sepdec"
"131",1,2,4,5,7,11,"BY_recon_750","RY_DS_Mag_90","RY_recon_10","RY_discon_8","BY_min_flow_sepdec"
"132",1,2,4,5,7,12,"RY_DS_Mag_90","BY_recon_750","RY_Wet_Tim","BY_recon_15","BY_min_flow_sepdec"
"133",1,2,4,5,7,13,"BY_recon_750","BY_recon_10","RY_recon_8","BY_min_flow_sepdec","RY_recon_400"
"134",1,2,4,5,8,9,"BY_recon_750","RY_discon_100","RY_DS_Mag_90","BY_recon_8","BY_recon_10"
"135",1,2,4,5,8,10,"BY_recon_750","SY_discon_300","BY_recon_20","BY_recon_40","RY_recon_70"
"136",1,2,4,5,8,11,"BY_recon_750","SY_SP_ROC","RY_DS_Tim","RY_SP_ROC","RY_Wet_Tim"
"137",1,2,4,5,8,12,"RY_Wet_Tim","BY_recon_750","RY_DS_Mag_90","BY_recon_100","SY_Wet_Tim"
"138",1,2,4,5,8,13,"BY_recon_750","log_BY_tot_flow_sepdec","SY_discon_1000","BY_recon_500","RY_DS_Dur_WS"
"139",1,2,4,5,9,10,"BY_recon_40","SY_discon_300","BY_recon_750","RY_recon_70","RY_num_days_gt_90_pctile"
"140",1,2,4,5,9,11,"BY_recon_750","RY_num_days_gt_90_pctile","RY_discon_750","SY_SP_ROC","RY_discon_1000"
"141",1,2,4,5,9,12,"RY_Wet_Tim","RY_num_days_gt_90_pctile","RY_Wet_BFL_Dur","log_RY_tot_flow","RY_DS_Mag_90"
"142",1,2,4,5,9,13,"BY_recon_750","BY_min_flow_sepdec","RY_recon_200","RY_recon_400","RY_recon_500"
"143",1,2,4,5,10,11,"BY_recon_750","SY_SP_ROC","SY_discon_300","RY_recon_10","RY_recon_70"
"144",1,2,4,5,10,12,"SY_discon_300","BY_recon_750","log_SY_tot_flow_janjul","RY_Wet_Tim","RY_recon_70"
"145",1,2,4,5,10,13,"BY_recon_750","RY_DS_Mag_50","SY_discon_70","SY_discon_300","BY_num_days_gt_90_pctile"
"146",1,2,4,5,11,12,"SY_SP_ROC","BY_recon_750","RY_DS_Mag_90","RY_Wet_Tim","RY_Wet_BFL_Dur"
"147",1,2,4,5,11,13,"BY_recon_750","BY_recon_10","BY_min_flow_sepdec","RY_recon_70","SY_Wet_BFL_Dur"
"148",1,2,4,5,12,13,"BY_recon_750","BY_recon_10","RY_recon_150","BY_recon_200","BY_recon_8"
"149",1,2,4,6,7,8,"RY_SP_Tim","RY_discon_8","SY_discon_500","RY_recon_500","BY_min_flow_sepdec"
"150",1,2,4,6,7,9,"RY_discon_300","RY_discon_8","BY_min_flow_sepdec","RY_recon_8","BY_recon_750"
"151",1,2,4,6,7,10,"SY_Wet_Tim","RY_discon_1000","SY_discon_400","RY_Wet_BFL_Dur","BY_recon_750"
"152",1,2,4,6,7,11,"SY_SP_ROC","BY_recon_750","RY_recon_10","BY_min_flow_sepdec","RY_recon_8"
"153",1,2,4,6,7,12,"RY_DS_Mag_90","BY_recon_750","RY_SP_ROC","RY_discon_300","RY_discon_8"
"154",1,2,4,6,7,13,"BY_recon_750","BY_recon_70","BY_recon_10","BY_recon_500","RY_recon_8"
"155",1,2,4,6,8,9,"BY_recon_750","BY_recon_100","RY_discon_300","RY_recon_8","RY_DS_Mag_90"
"156",1,2,4,6,8,10,"SY_Wet_Tim","BY_recon_100","BY_recon_500","BY_recon_750","SY_discon_400"
"157",1,2,4,6,8,11,"BY_recon_750","BY_recon_500","SY_SP_ROC","SY_discon_1000","RY_SP_Tim"
"158",1,2,4,6,8,12,"RY_Wet_Tim","BY_recon_750","BY_recon_100","RY_DS_Mag_90","RY_recon_500"
"159",1,2,4,6,8,13,"BY_recon_500","log_BY_tot_flow_sepdec","SY_discon_1000","BY_recon_100","BY_min_flow_sepdec"
"160",1,2,4,6,9,10,"SY_Wet_Tim","SY_Wet_BFL_Dur","SY_SP_ROC","BY_recon_100","BY_recon_8"
"161",1,2,4,6,9,11,"SY_SP_ROC","BY_recon_750","BY_min_flow_sepdec","RY_discon_300","RY_discon_750"
"162",1,2,4,6,9,12,"RY_Wet_BFL_Dur","RY_Wet_Tim","RY_DS_Mag_90","RY_discon_300","BY_min_flow_sepdec"
"163",1,2,4,6,9,13,"BY_min_flow_sepdec","BY_recon_750","RY_recon_8","SY_SP_ROC","RY_recon_500"
"164",1,2,4,6,10,11,"SY_SP_ROC","SY_Wet_Tim","RY_Wet_BFL_Mag_50","BY_recon_100","SY_discon_400"
"165",1,2,4,6,10,12,"SY_discon_400","SY_Wet_Tim","BY_recon_750","RY_discon_1000","BY_recon_100"
"166",1,2,4,6,10,13,"RY_num_days_gt_90_pctile","BY_recon_100","SY_discon_400","BY_min_flow_sepdec","BY_recon_70"
"167",1,2,4,6,11,12,"SY_SP_ROC","RY_DS_Mag_90","BY_recon_750","RY_SP_ROC","BY_min_flow_sepdec"
"168",1,2,4,6,11,13,"BY_recon_750","BY_recon_10","BY_recon_40","BY_min_flow_sepdec","RY_discon_200"
"169",1,2,4,6,12,13,"BY_recon_10","BY_recon_750","BY_recon_500","RY_recon_150","BY_recon_8"
"170",1,2,4,7,8,9,"RY_SP_Tim","RY_discon_150","BY_recon_750","RY_SP_ROC","RY_recon_70"
"171",1,2,4,7,8,10,"RY_SP_Tim","RY_SP_ROC","RY_recon_70","RY_DS_Tim","SY_discon_400"
"172",1,2,4,7,8,11,"RY_SP_Tim","RY_SP_ROC","RY_DS_Tim","RY_discon_150","SY_discon_500"
"173",1,2,4,7,8,12,"RY_DS_Tim","RY_SP_Tim","RY_discon_300","BY_recon_750","BY_recon_100"
"174",1,2,4,7,8,13,"BY_recon_500","log_BY_tot_flow_sepdec","RY_SP_Tim","BY_recon_70","SY_discon_500"
"175",1,2,4,7,9,10,"RY_recon_70","SY_discon_400","RY_SP_ROC","RY_discon_100","RY_discon_8"
"176",1,2,4,7,9,11,"RY_discon_750","BY_recon_750","RY_discon_400","RY_discon_100","RY_DS_Mag_90"
"177",1,2,4,7,9,12,"tot_flow_CFLP","log_RY_tot_flow","RY_DS_Mag_90","RY_Wet_BFL_Mag_50","BY_recon_10"
"178",1,2,4,7,9,13,"BY_recon_750","BY_recon_10","BY_min_flow_sepdec","BY_recon_500","RY_recon_10"
"179",1,2,4,7,10,11,"RY_recon_70","SY_discon_400","BY_recon_750","SY_SP_ROC","RY_SP_ROC"
"180",1,2,4,7,10,12,"SY_discon_100","SY_discon_400","SY_discon_300","RY_DS_Mag_90","RY_recon_70"
"181",1,2,4,7,10,13,"BY_tot_flow_sepdec","log_BY_tot_flow_sepdec","BY_recon_750","SY_discon_70","BY_recon_500"
"182",1,2,4,7,11,12,"RY_DS_Mag_90","BY_recon_750","RY_recon_8","RY_Wet_Tim","RY_SP_ROC"
"183",1,2,4,7,11,13,"BY_recon_750","BY_recon_10","BY_recon_70","RY_recon_10","BY_min_flow_sepdec"
"184",1,2,4,7,12,13,"BY_recon_10","BY_recon_750","RY_DS_Mag_90","RY_recon_200","RY_recon_300"
"185",1,2,4,8,9,10,"BY_recon_750","SY_discon_400","RY_recon_10","RY_recon_70","SY_discon_750"
"186",1,2,4,8,9,11,"BY_recon_750","BY_recon_500","RY_discon_500","SY_SP_ROC","RY_SP_ROC"
"187",1,2,4,8,9,12,"RY_Wet_Tim","RY_min_flow","BY_recon_100","RY_DS_Mag_90","log_RY_tot_flow"
"188",1,2,4,8,9,13,"log_BY_tot_flow_sepdec","BY_recon_500","SY_discon_1000","BY_min_flow_sepdec","SY_discon_750"
"189",1,2,4,8,10,11,"BY_recon_750","BY_recon_500","SY_SP_ROC","SY_discon_400","RY_recon_10"
"190",1,2,4,8,10,12,"RY_Wet_Tim","log_SY_tot_flow_janjul","BY_recon_750","BY_recon_100","SY_tot_flow_janjul"
"191",1,2,4,8,10,13,"log_BY_tot_flow_sepdec","BY_recon_500","BY_recon_100","RY_SP_ROC","BY_num_days_gt_90_pctile"
"192",1,2,4,8,11,12,"RY_Wet_Tim","SY_SP_ROC","BY_recon_150","RY_DS_Mag_90","BY_recon_100"
"193",1,2,4,8,11,13,"BY_recon_500","log_BY_tot_flow_sepdec","SY_discon_1000","BY_min_flow_sepdec","RY_SP_ROC"
"194",1,2,4,8,12,13,"log_BY_tot_flow_sepdec","BY_recon_500","RY_Wet_Tim","BY_recon_100","BY_recon_10"
"195",1,2,4,9,10,11,"log_SY_tot_flow_janjul","RY_recon_10","SY_discon_400","SY_SP_ROC","BY_recon_750"
"196",1,2,4,9,10,12,"log_SY_tot_flow_janjul","log_tot_flow_CFLP","RY_Wet_BFL_Dur","RY_Wet_Tim","BY_recon_100"
"197",1,2,4,9,10,13,"RY_recon_100","RY_recon_10","BY_recon_100","BY_min_flow_sepdec","log_BY_tot_flow_sepdec"
"198",1,2,4,9,11,12,"RY_Wet_BFL_Mag_50","SY_SP_ROC","RY_Wet_BFL_Dur","RY_DS_Mag_90","BY_recon_750"
"199",1,2,4,9,11,13,"BY_recon_750","BY_recon_15","BY_min_flow_sepdec","BY_recon_10","RY_recon_10"
"200",1,2,4,9,12,13,"BY_recon_10","RY_recon_150","BY_recon_750","BY_recon_200","BY_recon_8"
"201",1,2,4,10,11,12,"log_SY_tot_flow_janjul","SY_SP_ROC","BY_recon_750","BY_recon_200","RY_Wet_Tim"
"202",1,2,4,10,11,13,"log_BY_tot_flow_sepdec","BY_recon_750","RY_recon_10","SY_discon_400","SY_discon_70"
"203",1,2,4,10,12,13,"log_BY_tot_flow_sepdec","BY_recon_10","BY_recon_200","BY_recon_300","log_SY_tot_flow_janjul"
