V1,V2,V3,V4,V5,V6,V7,bestlam,rmse
1,2,3,4,5,6,7,640.295592434449,493.574715721946
1,2,3,4,5,6,8,13.8808593837462,1069.68464505897
1,2,3,4,5,6,9,447.663528686722,863.766626996181
1,2,3,4,5,6,10,377.071540190298,921.88094374259
1,2,3,4,5,6,11,26.4491891060917,1292.9233449453
1,2,3,4,5,6,12,48.59734697404,1018.62165432796
1,2,3,4,5,6,13,7.56784674214023,1083.24801068644
1,2,3,4,5,6,14,161.148603873683,992.475136632039
1,2,3,4,5,6,15,39.4167959699489,Inf
1,2,3,4,5,7,8,576.699609651223,512.396835145053
1,2,3,4,5,7,9,598.003651354978,494.775663600855
1,2,3,4,5,7,10,328.590981962599,492.039797038994
1,2,3,4,5,7,11,598.463050837897,508.42825514029
1,2,3,4,5,7,12,517.706360916558,508.767886663457
1,2,3,4,5,7,13,573.67885749479,506.287976970617
1,2,3,4,5,7,14,67.3624883914103,230.887012995549
1,2,3,4,5,7,15,713.462640782136,397.215882476603
1,2,3,4,5,8,9,127.117978266063,1575.99644443375
1,2,3,4,5,8,10,361.807709280129,1004.10812008248
1,2,3,4,5,8,11,266.433327094901,986.676700253751
1,2,3,4,5,8,12,107.637255008698,1062.20751564203
1,2,3,4,5,8,13,120.233850360967,961.781592096683
1,2,3,4,5,8,14,484.604267895265,878.932871134598
1,2,3,4,5,8,15,285.593690346671,1135.93949975128
1,2,3,4,5,9,10,379.58582994994,965.13165447713
1,2,3,4,5,9,11,439.992069041602,934.537757838727
1,2,3,4,5,9,12,434.559996560766,980.743774066526
1,2,3,4,5,9,13,398.260086465159,942.710323645119
1,2,3,4,5,9,14,402.596081115657,904.594324296644
1,2,3,4,5,9,15,433.225593086028,1019.42366396785
1,2,3,4,5,10,11,442.307426032388,941.603411265116
1,2,3,4,5,10,12,62.9846781215896,1051.37514727836
1,2,3,4,5,10,13,444.669618552143,901.337756617873
1,2,3,4,5,10,14,132.099053351481,1008.24356486132
1,2,3,4,5,10,15,411.467690357806,1123.84210475471
1,2,3,4,5,11,12,21.3329646563441,1359.71010303393
1,2,3,4,5,11,13,112.635023455092,966.904302090826
1,2,3,4,5,11,14,6.0464561531615,1186.57236398792
1,2,3,4,5,11,15,55.6941317800456,1662.84551378409
1,2,3,4,5,12,13,67.5557260220639,995.325966679594
1,2,3,4,5,12,14,132.200008150272,1010.47012798226
1,2,3,4,5,12,15,40.7147379386578,1157.14903038347
1,2,3,4,5,13,14,150.580624991318,970.189522402085
1,2,3,4,5,13,15,5.65142576841929,Inf
1,2,3,4,5,14,15,54.9277382355883,1112.45993142147
1,2,3,4,6,7,8,579.47837983307,499.968394834447
1,2,3,4,6,7,9,585.660666566125,480.345551617097
1,2,3,4,6,7,10,86.9383346567272,536.387066092333
1,2,3,4,6,7,11,514.770459099934,495.333615480516
1,2,3,4,6,7,12,451.973556083113,497.642441919899
1,2,3,4,6,7,13,542.590437527962,492.937385095714
1,2,3,4,6,7,14,174.998278606334,198.890608019417
1,2,3,4,6,7,15,508.589282518115,386.711712983113
1,2,3,4,6,8,9,180.798485132892,1412.45512997183
1,2,3,4,6,8,10,311.256975010736,1022.76473290998
1,2,3,4,6,8,11,5.55018721345827,1055.50615261715
1,2,3,4,6,8,12,33.1191133311236,1043.5380032445
1,2,3,4,6,8,13,6.28193523159171,1012.98836484316
1,2,3,4,6,8,14,503.62261669265,852.276281643519
1,2,3,4,6,8,15,168.5659981065,1187.81157827909
1,2,3,4,6,9,10,372.567857109297,911.798840634029
1,2,3,4,6,9,11,454.132260303182,901.213561205279
1,2,3,4,6,9,12,447.8324788645,924.950059242913
1,2,3,4,6,9,13,468.34320357159,902.353216930576
1,2,3,4,6,9,14,333.839762666341,923.646079523706
1,2,3,4,6,9,15,387.292647584281,999.389728109603
1,2,3,4,6,10,11,225.166698000016,982.304217114407
1,2,3,4,6,10,12,14.6505968233753,1094.98215529262
1,2,3,4,6,10,13,360.401056033381,914.007051101188
1,2,3,4,6,10,14,6.28080829885243,1050.60870842278
1,2,3,4,6,10,15,421.572625025648,999.482784168634
1,2,3,4,6,11,12,66.9804868217527,1016.76270838473
1,2,3,4,6,11,13,111.990063984449,1022.8309176837
1,2,3,4,6,11,14,153.220184186372,980.368059267605
1,2,3,4,6,11,15,63.3677793051885,1120.89457403911
1,2,3,4,6,12,13,77.5038647589022,1071.27818695385
1,2,3,4,6,12,14,129.876827424449,999.424737173415
1,2,3,4,6,12,15,80.7996800357948,1209.96425345296
1,2,3,4,6,13,14,133.963501895493,968.152116810029
1,2,3,4,6,13,15,7.71198872454544,Inf
1,2,3,4,6,14,15,238.049099074202,974.537734982001
1,2,3,4,7,8,9,537.191650466577,501.103489602364
1,2,3,4,7,8,10,651.835170074272,502.491847985285
1,2,3,4,7,8,11,646.835054459815,513.827142424052
1,2,3,4,7,8,12,673.006332671821,512.562305155838
1,2,3,4,7,8,13,567.644365454392,511.871377683561
1,2,3,4,7,8,14,561.92233611743,210.474897058216
1,2,3,4,7,8,15,630.113610832691,398.942611526604
1,2,3,4,7,9,10,670.775896692575,483.221718434371
1,2,3,4,7,9,11,724.844468977732,496.519716795483
1,2,3,4,7,9,12,706.10081493024,498.68362444707
1,2,3,4,7,9,13,739.281317950686,494.143429751592
1,2,3,4,7,9,14,458.764061942412,200.486231863105
1,2,3,4,7,9,15,571.637596022395,387.777921840152
1,2,3,4,7,10,11,12.6189161356057,642.277124536423
1,2,3,4,7,10,12,112.481561966848,521.924300662507
1,2,3,4,7,10,13,118.224490030341,503.238689670545
1,2,3,4,7,10,14,157.040701058902,202.368269910741
1,2,3,4,7,10,15,618.532047795794,389.062757362699
1,2,3,4,7,11,12,15.0277725597606,658.225142304341
1,2,3,4,7,11,13,521.063183407427,507.866370219569
1,2,3,4,7,11,14,40.2082314707395,230.275934205805
1,2,3,4,7,11,15,560.982991894408,398.103038379094
1,2,3,4,7,12,13,494.870476904285,508.318321158111
1,2,3,4,7,12,14,54.6569407153396,179.339345573543
1,2,3,4,7,12,15,469.965675195607,383.548246367607
1,2,3,4,7,13,14,285.302723944128,212.186042582133
1,2,3,4,7,13,15,525.451795216829,396.858071817453
1,2,3,4,7,14,15,287.796145135518,172.943138535955
1,2,3,4,8,9,10,330.10142368749,1244.75626475836
1,2,3,4,8,9,11,193.978684109159,1431.70223157092
1,2,3,4,8,9,12,174.692639362579,1484.45522147299
