Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1970,71,317,50.5,60,2,127,18,46,0.05370916159779269,0.5686274509803921,177,1840,140,105,105,653.5,35,116.5,82,116.5,4,11,4,13440,4520,10960,2,3,2,863.0191780821917,wet year
1971,71,359,123,353.20000000000016,4,80,10,27,0.051503094606542885,0.3699421965317919,134,2780,225,202,304.80000000000007,1180,23,110,55,109,1,8,2,13440,4520,10960,1,3,1,1084.6794520547944,wet year
1972,123,318,78.5,132.7,5,259,44,136,0.04938271604938271,0.2318840579710145,129,2070,189,124,234.8,686,65,NA,114,155,NA,8,1,13440,4520,10960,NA,3,1,744.1639344262295,wet year
1973,87,298,25,53.3,3,135,36,48.5,0.05952380952380952,0.21071428571428572,61,1120,237,161,338.40000000000003,552.5,76,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,377.9780821917808,dry year
1974,86,342,74,137.8,1,66,2,41,0.057839858351367304,0.1774193548387097,122,3120,220,200,716,1600,20,108,42,107,2,13,4,13440,4520,10960,1,3,1,1495.7972602739726,wet year
1975,130,279,100,424,1,119,42,43.5,0.059433962264150944,0.18,22,2180,257,194,188,1160,63,NA,173,NA,NA,2,NA,13440,4520,10960,NA,2,NA,811.0246575342466,wet year
1976,161,346,82,93,4,905,26,804.5,0.045454545454545456,0.1927710843373494,119,1660,227,183,309.6,502.5,44,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,401.5983606557377,dry year
1977,109,290,15,22.10000000000001,NA,NA,NA,15,0.06271853146853147,0.14084507042253522,37,262,253,111,54,94,142,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,74.86712328767123,dry year
1978,204,262,116,355.99999999999983,4,25,26,10,0.0799746192893401,0.17424242424242425,79,1920,183,149,65,1050,34,NA,91,NA,NA,5,NA,13440,4520,10960,NA,2,NA,793.641095890411,wet year
1979,117,293,24,196,4,184,62,68,0.057721139430284854,0.2078125,60,1400,233,132,197,547,101,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,318.66027397260274,dry year
