brood_year,smolt_year,chinook_spawner_abundance,chinook_juvenile_abundance,chinook_juv_per_adult,coho_spawner_abundance,coho_smolt_per_fem,coho_smolt_abun_est,percent_coho_smolt_survival,coho_redds_in_brood,BY_recon_10,BY_recon_15,BY_recon_20,BY_recon_50,BY_recon_80,BY_recon_100,RY_discon_10,RY_discon_15,RY_discon_20,RY_discon_50,RY_discon_80,RY_discon_100,RY_recon_10,RY_recon_15,RY_recon_20,RY_recon_50,RY_recon_80,RY_recon_100,SY_discon_80,SY_discon_100,BY_min_flow_sepdec,RY_min_flow,SY_min_flow_janjul,tot_flow_CFLP,BY_tot_flow_sepdec,RY_tot_flow,SY_tot_flow_janjul,log_tot_flow_CFLP,log_BY_tot_flow_sepdec,log_RY_tot_flow,log_SY_tot_flow_janjul,BY_FA_Mag,BY_FA_Tim,BY_FA_Dur,RY_Wet_Tim,RY_Wet_BFL_Dur,RY_SP_ROC,RY_DS_Mag_50,RY_DS_Mag_90,RY_FA_Mag,RY_FA_Tim,RY_FA_Dur,RY_Wet_BFL_Mag_50,RY_DS_Tim,RY_SP_Tim,RY_DS_Dur_WS,SY_Wet_Tim,SY_Wet_BFL_Dur,SY_SP_ROC
2009,2011,2211,963392,435.7,81,8.61,353,55.81,5,42,46,46,80,108,112,365,365,365,344,337,334,1,1,1,41,54,54,334,334,14606.0422430319,52601.3246608353,990862.162215734,1045.95678966549,10.958935514106,515.470473202377,519.52738094901,9.0195137434247,7.03976837141097,8.71220379339735,8.71560844136711,32.89408976,16,2,88,164,0.069823454,48.85,365.2,754.9269609,24,4,580.5,319,252,104,57,211,0.059171598
2010,2012,2508,162706,64.9,907,98.65,63135,4.19,162,1,1,1,41,54,54,365,365,365,365,350,346,1,1,1,1,37,41,335,335,54558.5832528664,132114.954962098,271569.629644312,1070.01174241888,115.209378530753,598.779472570912,356.022891317213,9.02938854370366,8.06148783393414,8.77726690339114,8.55147792284123,754.9269609,24,4,57,211,0.059171598,95.2,127,NA,NA,NA,1070,327,268,146,107,105,0.077279794
2011,2013,5521,219304,39.7,355,54.61,9283,5.43,26,1,1,1,1,37,41,364,348,345,332,315,313,8,25,33,63,81,81,293,290,132114.954962098,21211.7899911368,105202.649321671,681.074685385972,29.2426666515644,453.499580401363,198.332438333045,8.83319473845102,7.46601697359545,8.6565768895671,8.29739375120437,NA,NA,NA,107,105,0.077279794,22.6,57.9,NA,NA,NA,646,289,212,124,47,177,0.062376238
2012,2014,9532,782804,82.1,201,78.3,6734,4.31,24,8,25,33,63,81,81,352,326,323,302,293,290,20,30,30,30,30,162,279,273,21211.7899911368,11621.2228901845,29358.8788804662,442.206394051202,90.3077891076521,213.415953809603,138.482651133947,8.64562501793758,7.95572521012065,8.32922688178243,8.14139536914971,NA,NA,NA,47,177,0.062376238,46.35,56.9,NA,NA,NA,427,273,224,220,127,37,0.059249532
2013,2015,4624,493721,106.8,2752,5.78,8758,2.85,354,20,30,30,30,30,162,307,296,294,286,279,273,53,55,55,55,56,56,288,285,11621.2228901845,11034.0453125752,31560.7947965012,511.879955712494,12.1009959025562,227.890786329772,271.888173480166,8.70916812370165,7.08282111388557,8.35772676692225,8.43439031717187,NA,NA,NA,127,37,0.059249532,8.015,72.81,191.9969906,25,5,473,267,164,152,53,83,0.052408427
2014,2016,12470,284329,22.8,485,18.84,3372,10.79,103,53,55,55,55,56,56,320,303,300,292,288,285,90,91,93,99,99,99,335,335,14532.6450458308,12306.2633973954,288695.642324584,960.591861406157,88.1819371536499,298.147806777348,574.262117475159,8.98253890276789,7.94537963504258,8.47443161895428,8.75911016798909,191.9969906,25,5,53,83,0.052408427,7.57,240.2,691.993895,70,5,612,267,136,199,100,98,0.062415197
2015,2017,2113,97027,45.9,212,NA,NA,NA,60,90,91,93,99,99,99,358,355,337,331,322,312,4,32,42,45,46,46,334,334,14703.9051726335,9223.58111494647,1042240.20025655,1651.40542516289,24.9626558911728,724.912335769524,901.530433502196,9.21785370699747,7.3972907900456,8.86028549016616,8.95498039204453,691.993895,70,5,100,98,0.062415197,31.4,520.8,485.9910787,16,7,1560,280,198,152,66,109,0.065431718
2016,2018,1515,NA,NA,226,83.59,14628,2.5,95,4,32,42,45,46,46,365,365,365,349,336,329,1,1,1,14,70,71,288,285,9223.58111494647,85630.0634013598,73397.1972011655,1292.05685790903,143.879547044149,965.121765157286,183.055545707595,9.11128162552657,8.15799906192006,8.98458210982029,8.26258289046269,485.9910787,16,7,66,109,0.065431718,60,76.38,NA,NA,NA,1700,297,175,105,36,160,0.069768951
2017,2019,2576,410688,159.4,382,90.27,15705,10.64,NA,1,1,1,14,70,71,335,316,312,294,288,285,41,56,64,86,89,91,334,334,85630.0634013598,11082.976777376,288695.642324584,727.305647110127,46.3674560452163,202.745665006357,478.192526058554,8.86171695963144,7.66621326894234,8.3069515771424,8.67960278399871,NA,NA,NA,36,160,0.069768951,14.4,122.4,107.9985383,60,4,299.5,279,196,183,96,115,0.065431627
2018,2020,1279,138947,108.6,739,34.66,14628,6.47,NA,41,56,64,86,89,91,365,342,340,331,320,314,1,11,15,49,99,99,298,296,15119.8226234401,22606.336737959,97373.6149535462,653.875323307291,17.9457615100794,506.679544099199,129.250017698012,8.81549494777155,7.2539618919035,8.70473337110699,8.11143061123328,107.9985383,60,4,96,115,0.065431627,43.55,56.59,52.80226267,20,6,924,307,211,122,63,184,0.085858586
2019,2021,2090,391643,187.4,346,9.04,1762,13.51,79,1,11,15,49,99,99,349,319,312,304,298,296,76,76,77,108,108,108,289,284,27890.9349364429,9615.03283335268,33028.7387405245,285.349390706986,20.5881584722509,137.148706006281,127.612526228454,8.45537694955757,7.31361750246521,8.13719171440513,8.10589330608494,52.80226267,20,6,63,184,0.085858586,8.78,15.2,34.9822985,46,2,223.5,286,247,158,78,139,0.066840395
2020,2022,855,227716,266.3,1766,77.71,NA,NA,NA,76,76,77,108,108,108,309,303,300,294,289,284,10,54,54,54,55,55,334,303,9615.03283335268,12648.7836510009,205512.152163263,300.48423529012,5.9255759216417,156.749549847514,137.809109520964,8.47782169195904,6.77273056690758,8.19520630230006,8.13927792645351,34.9822985,46,2,78,139,0.066840395,9.86,10.6,NA,NA,NA,277,278,217,166,NA,NA,NA
