pred1,pred2,Fstat,pval,Rsquare,adjRsquare,AICc
RY_discon_80,RY_discon_15,1.04,0.54978,0.206,0.008,118.4
RY_discon_100,RY_discon_15,0.98,0.56341,0.197,-0.004,118.6
RY_recon_10,RY_discon_15,0.57,0.71500,0.125,-0.094,119.5
RY_recon_15,RY_discon_15,0.67,0.53067,0.143,-0.071,119.3
RY_recon_20,RY_discon_15,0.81,0.39620,0.168,-0.040,119.0
RY_recon_50,RY_discon_15,0.57,0.60705,0.125,-0.094,119.5
RY_recon_80,RY_discon_15,0.58,0.50515,0.127,-0.091,119.5
RY_recon_100,RY_discon_15,1.33,0.24684,0.250,0.063,117.8
SY_discon_80,RY_discon_15,0.60,0.51878,0.131,-0.086,119.4
SY_discon_100,RY_discon_15,0.60,0.52350,0.130,-0.088,119.5
BY_min_flow_sepdec,RY_discon_15,0.93,0.47843,0.189,-0.014,118.7
RY_min_flow,RY_discon_15,0.61,0.74496,0.133,-0.084,119.4
SY_min_flow_janjul,RY_discon_15,0.94,0.40540,0.190,-0.012,118.7
tot_flow_CFLP,RY_discon_15,0.76,0.41593,0.159,-0.051,119.1
BY_tot_flow_sepdec,RY_discon_15,1.39,0.57411,0.258,0.072,117.7
RY_tot_flow,RY_discon_15,0.87,0.33749,0.179,-0.026,118.8
SY_tot_flow_janjul,RY_discon_15,0.68,0.64080,0.145,-0.069,119.3
log_tot_flow_CFLP,RY_discon_15,0.78,0.66383,0.164,-0.045,119.0
log_BY_tot_flow_sepdec,RY_discon_15,2.60,0.07929,0.394,0.243,115.5
log_RY_tot_flow,RY_discon_15,1.84,0.26219,0.314,0.143,116.8
log_SY_tot_flow_janjul,RY_discon_15,0.60,0.99321,0.131,-0.087,119.4
BY_FA_Mag,RY_discon_15,1.90,0.94428,0.487,0.231,81.6
BY_FA_Tim,RY_discon_15,0.25,0.70559,0.112,-0.332,85.4
BY_FA_Dur,RY_discon_15,2.97,0.23904,0.598,0.397,79.9
RY_Wet_Tim,RY_discon_15,3.01,0.72039,0.429,0.287,114.8
RY_Wet_BFL_Dur,RY_discon_15,2.98,0.97300,0.427,0.284,114.9
RY_SP_ROC,RY_discon_15,0.58,0.50186,0.127,-0.092,119.5
RY_DS_Mag_50,RY_discon_15,0.68,0.87703,0.146,-0.067,119.2
RY_DS_Mag_90,RY_discon_15,2.70,0.35967,0.403,0.254,115.3
RY_FA_Mag,RY_discon_15,1.78,0.77218,0.470,0.206,82.5
RY_FA_Tim,RY_discon_15,0.11,0.77983,0.051,-0.424,86.6
RY_FA_Dur,RY_discon_15,0.50,0.96988,0.202,-0.198,85.4
RY_Wet_BFL_Mag_50,RY_discon_15,0.60,0.49216,0.130,-0.088,119.5
RY_DS_Tim,RY_discon_15,0.69,0.61272,0.146,-0.067,119.2
RY_SP_Tim,RY_discon_15,0.92,0.71271,0.187,-0.016,118.7
RY_DS_Dur_WS,RY_discon_15,3.19,0.05449,0.444,0.305,114.5
SY_Wet_Tim,RY_discon_15,2.46,0.15791,0.381,0.227,115.7
SY_Wet_BFL_Dur,RY_discon_15,1.71,0.21838,0.299,0.124,117.1
SY_SP_ROC,RY_discon_15,0.99,0.45646,0.199,-0.001,118.5
BY_recon_10,RY_discon_20,5.60,0.93741,0.583,0.479,111.4
BY_recon_15,RY_discon_20,3.81,0.72127,0.488,0.359,113.6
BY_recon_20,RY_discon_20,1.83,0.71070,0.314,0.143,116.8
BY_recon_50,RY_discon_20,0.85,0.55859,0.176,-0.031,118.9
BY_recon_80,RY_discon_20,0.69,0.58136,0.147,-0.066,119.2
BY_recon_100,RY_discon_20,3.08,0.56733,0.435,0.294,114.7
RY_discon_10,RY_discon_20,1.10,0.26988,0.216,0.020,118.3
RY_discon_15,RY_discon_20,1.44,0.37001,0.265,0.081,117.6
RY_discon_50,RY_discon_20,0.41,0.60762,0.093,-0.134,119.9
RY_discon_80,RY_discon_20,0.53,0.67790,0.117,-0.104,119.6
RY_discon_100,RY_discon_20,0.53,0.68760,0.118,-0.103,119.6
RY_recon_10,RY_discon_20,0.43,0.95045,0.097,-0.129,119.9
RY_recon_15,RY_discon_20,0.41,0.79389,0.093,-0.134,119.9
RY_recon_20,RY_discon_20,0.51,0.55280,0.114,-0.108,119.7
RY_recon_50,RY_discon_20,0.41,0.73633,0.092,-0.135,119.9
RY_recon_80,RY_discon_20,0.42,0.60765,0.094,-0.132,119.9
RY_recon_100,RY_discon_20,1.05,0.31881,0.208,0.011,118.4
SY_discon_80,RY_discon_20,0.44,0.59684,0.099,-0.126,119.8
SY_discon_100,RY_discon_20,0.43,0.60531,0.097,-0.128,119.9
BY_min_flow_sepdec,RY_discon_20,0.75,0.58523,0.158,-0.053,119.1
RY_min_flow,RY_discon_20,0.49,0.92611,0.109,-0.113,119.7
SY_min_flow_janjul,RY_discon_20,0.72,0.50721,0.152,-0.060,119.2
tot_flow_CFLP,RY_discon_20,0.58,0.49567,0.127,-0.092,119.5
BY_tot_flow_sepdec,RY_discon_20,1.18,0.72764,0.228,0.035,118.1
RY_tot_flow,RY_discon_20,0.65,0.41546,0.141,-0.074,119.3
SY_tot_flow_janjul,RY_discon_20,0.54,0.75721,0.118,-0.102,119.6
log_tot_flow_CFLP,RY_discon_20,0.60,0.64644,0.131,-0.087,119.4
log_BY_tot_flow_sepdec,RY_discon_20,2.32,0.09793,0.367,0.209,116.0
log_RY_tot_flow,RY_discon_20,1.57,0.24538,0.281,0.102,117.3
log_SY_tot_flow_janjul,RY_discon_20,0.45,0.92043,0.101,-0.124,119.8
BY_FA_Mag,RY_discon_20,1.90,0.89491,0.487,0.230,81.6
BY_FA_Tim,RY_discon_20,0.16,0.82657,0.073,-0.390,85.7
BY_FA_Dur,RY_discon_20,2.77,0.26675,0.580,0.371,80.2
RY_Wet_Tim,RY_discon_20,2.68,0.86507,0.401,0.251,115.3
RY_Wet_BFL_Dur,RY_discon_20,3.02,0.85972,0.430,0.288,114.8
RY_SP_ROC,RY_discon_20,0.42,0.59376,0.095,-0.131,119.9
RY_DS_Mag_50,RY_discon_20,0.62,0.90441,0.134,-0.082,119.4
RY_DS_Mag_90,RY_discon_20,2.34,0.45596,0.369,0.211,115.9
RY_FA_Mag,RY_discon_20,1.60,0.88159,0.445,0.167,82.9
RY_FA_Tim,RY_discon_20,0.03,0.94224,0.013,-0.480,86.9
RY_FA_Dur,RY_discon_20,0.40,0.87313,0.167,-0.250,85.7
RY_Wet_BFL_Mag_50,RY_discon_20,0.42,0.60242,0.096,-0.131,119.9
RY_DS_Tim,RY_discon_20,0.41,0.66964,0.094,-0.133,119.9
RY_SP_Tim,RY_discon_20,0.88,0.82689,0.181,-0.024,118.8
RY_DS_Dur_WS,RY_discon_20,2.36,0.09271,0.371,0.214,115.9
SY_Wet_Tim,RY_discon_20,2.11,0.20625,0.345,0.181,116.3
SY_Wet_BFL_Dur,RY_discon_20,1.20,0.32968,0.231,0.038,118.1
SY_SP_ROC,RY_discon_20,0.90,0.53588,0.184,-0.020,118.8
BY_recon_10,RY_discon_50,5.62,0.96841,0.584,0.480,111.3
BY_recon_15,RY_discon_50,3.67,0.80451,0.478,0.348,113.8
BY_recon_20,RY_discon_50,1.71,0.80388,0.299,0.124,117.1
BY_recon_50,RY_discon_50,0.75,0.63679,0.157,-0.053,119.1
BY_recon_80,RY_discon_50,0.54,0.69227,0.119,-0.101,119.6
BY_recon_100,RY_discon_50,3.07,0.49911,0.434,0.293,114.7
RY_discon_10,RY_discon_50,0.98,0.30451,0.196,-0.005,118.6
RY_discon_15,RY_discon_50,0.75,0.45269,0.157,-0.053,119.1
RY_discon_20,RY_discon_50,0.41,0.60762,0.093,-0.134,119.9
RY_discon_80,RY_discon_50,0.69,0.92465,0.148,-0.065,119.2
RY_discon_100,RY_discon_50,0.56,0.95994,0.123,-0.096,119.5
RY_recon_10,RY_discon_50,0.42,0.98133,0.095,-0.132,119.9
RY_recon_15,RY_discon_50,0.37,0.89918,0.084,-0.145,120.0
RY_recon_20,RY_discon_50,0.39,0.68310,0.089,-0.138,120.0
RY_recon_50,RY_discon_50,0.36,0.79075,0.083,-0.146,120.0
RY_recon_80,RY_discon_50,0.37,0.65850,0.084,-0.144,120.0
RY_recon_100,RY_discon_50,1.23,0.26865,0.236,0.044,118.0
SY_discon_80,RY_discon_50,0.39,0.64805,0.088,-0.140,120.0
SY_discon_100,RY_discon_50,0.38,0.65809,0.087,-0.142,120.0
BY_min_flow_sepdec,RY_discon_50,0.70,0.63337,0.149,-0.064,119.2
RY_min_flow,RY_discon_50,0.45,0.96282,0.101,-0.124,119.8
SY_min_flow_janjul,RY_discon_50,0.58,0.60140,0.127,-0.091,119.5
tot_flow_CFLP,RY_discon_50,0.53,0.53479,0.117,-0.104,119.6
BY_tot_flow_sepdec,RY_discon_50,1.11,0.81011,0.217,0.022,118.3
RY_tot_flow,RY_discon_50,0.59,0.45312,0.128,-0.090,119.5
SY_tot_flow_janjul,RY_discon_50,0.50,0.81216,0.111,-0.112,119.7
log_tot_flow_CFLP,RY_discon_50,0.56,0.62245,0.123,-0.096,119.5
log_BY_tot_flow_sepdec,RY_discon_50,2.18,0.10852,0.353,0.191,116.2
log_RY_tot_flow,RY_discon_50,1.78,0.18236,0.308,0.135,116.9
log_SY_tot_flow_janjul,RY_discon_50,0.41,0.88119,0.093,-0.133,119.9
BY_FA_Mag,RY_discon_50,1.90,0.85800,0.487,0.231,81.6
BY_FA_Tim,RY_discon_50,0.28,0.69910,0.123,-0.315,85.4
BY_FA_Dur,RY_discon_50,3.74,0.16809,0.652,0.477,78.9
RY_Wet_Tim,RY_discon_50,2.75,0.88405,0.407,0.259,115.2
RY_Wet_BFL_Dur,RY_discon_50,3.00,0.91833,0.428,0.286,114.8
RY_SP_ROC,RY_discon_50,0.41,0.60286,0.092,-0.135,119.9
RY_DS_Mag_50,RY_discon_50,0.63,0.77956,0.136,-0.081,119.4
RY_DS_Mag_90,RY_discon_50,2.06,0.57033,0.340,0.175,116.4
RY_FA_Mag,RY_discon_50,1.45,0.99368,0.421,0.131,83.2
RY_FA_Tim,RY_discon_50,0.01,0.97714,0.003,-0.495,87.0
RY_FA_Dur,RY_discon_50,0.40,0.88249,0.166,-0.250,85.7
RY_Wet_BFL_Mag_50,RY_discon_50,0.38,0.63629,0.088,-0.141,120.0
RY_DS_Tim,RY_discon_50,0.37,0.73658,0.084,-0.145,120.0
RY_SP_Tim,RY_discon_50,0.88,0.83237,0.181,-0.024,118.8
RY_DS_Dur_WS,RY_discon_50,2.14,0.10986,0.348,0.185,116.3
SY_Wet_Tim,RY_discon_50,1.90,0.24670,0.322,0.153,116.7
SY_Wet_BFL_Dur,RY_discon_50,0.95,0.42938,0.192,-0.010,118.6
SY_SP_ROC,RY_discon_50,0.84,0.61810,0.173,-0.034,118.9
BY_recon_10,RY_discon_80,5.79,0.86819,0.591,0.489,111.1
BY_recon_15,RY_discon_80,3.70,0.75077,0.481,0.351,113.8
BY_recon_20,RY_discon_80,1.69,0.78204,0.297,0.122,117.1
BY_recon_50,RY_discon_80,0.71,0.63119,0.150,-0.062,119.2
BY_recon_80,RY_discon_80,0.49,0.70339,0.108,-0.115,119.7
BY_recon_100,RY_discon_80,3.07,0.49539,0.434,0.292,114.7
RY_discon_10,RY_discon_80,1.06,0.31198,0.209,0.011,118.4
RY_discon_15,RY_discon_80,1.04,0.54978,0.206,0.008,118.4
RY_discon_20,RY_discon_80,0.53,0.67790,0.117,-0.104,119.6
RY_discon_50,RY_discon_80,0.69,0.92465,0.148,-0.065,119.2
RY_discon_100,RY_discon_80,0.28,0.70828,0.066,-0.168,120.2
RY_recon_10,RY_discon_80,0.40,0.88358,0.090,-0.138,119.9
RY_recon_15,RY_discon_80,0.32,0.96638,0.073,-0.158,120.1
RY_recon_20,RY_discon_80,0.28,0.81783,0.066,-0.168,120.2
RY_recon_50,RY_discon_80,0.29,0.87608,0.068,-0.165,120.2
RY_recon_80,RY_discon_80,0.28,0.71043,0.066,-0.167,120.2
RY_recon_100,RY_discon_80,1.06,0.30426,0.210,0.013,118.4
SY_discon_80,RY_discon_80,0.30,0.69701,0.069,-0.164,120.2
SY_discon_100,RY_discon_80,0.29,0.70679,0.068,-0.165,120.2
BY_min_flow_sepdec,RY_discon_80,0.66,0.64093,0.142,-0.072,119.3
RY_min_flow,RY_discon_80,0.44,0.84011,0.099,-0.127,119.8
SY_min_flow_janjul,RY_discon_80,0.54,0.60348,0.119,-0.102,119.6
tot_flow_CFLP,RY_discon_80,0.44,0.56305,0.099,-0.127,119.8
BY_tot_flow_sepdec,RY_discon_80,1.05,0.86629,0.208,0.010,118.4
RY_tot_flow,RY_discon_80,0.41,0.54347,0.094,-0.133,119.9
SY_tot_flow_janjul,RY_discon_80,0.46,0.83449,0.102,-0.122,119.8
log_tot_flow_CFLP,RY_discon_80,0.47,0.62487,0.105,-0.118,119.8
log_BY_tot_flow_sepdec,RY_discon_80,2.11,0.11821,0.345,0.181,116.3
log_RY_tot_flow,RY_discon_80,1.22,0.27097,0.234,0.043,118.0
log_SY_tot_flow_janjul,RY_discon_80,0.35,0.82977,0.081,-0.148,120.1
BY_FA_Mag,RY_discon_80,1.92,0.79253,0.490,0.235,81.6
BY_FA_Tim,RY_discon_80,0.18,0.78653,0.083,-0.376,85.7
BY_FA_Dur,RY_discon_80,3.50,0.18609,0.637,0.455,79.2
RY_Wet_Tim,RY_discon_80,2.44,0.96610,0.379,0.224,115.7
RY_Wet_BFL_Dur,RY_discon_80,3.09,0.76678,0.436,0.295,114.7
RY_SP_ROC,RY_discon_80,0.34,0.62932,0.078,-0.152,120.1
RY_DS_Mag_50,RY_discon_80,0.67,0.65858,0.144,-0.070,119.3
RY_DS_Mag_90,RY_discon_80,2.17,0.49744,0.352,0.190,116.2
RY_FA_Mag,RY_discon_80,1.49,0.95360,0.426,0.140,83.1
RY_FA_Tim,RY_discon_80,0.00,0.92406,0.000,-0.499,87.0
RY_FA_Dur,RY_discon_80,0.38,0.82933,0.158,-0.263,85.8
RY_Wet_BFL_Mag_50,RY_discon_80,0.29,0.71453,0.067,-0.167,120.2
RY_DS_Tim,RY_discon_80,0.28,0.70660,0.066,-0.167,120.2
RY_SP_Tim,RY_discon_80,0.88,0.93397,0.181,-0.024,118.8
RY_DS_Dur_WS,RY_discon_80,1.68,0.15224,0.296,0.120,117.1
SY_Wet_Tim,RY_discon_80,1.62,0.30687,0.288,0.111,117.2
SY_Wet_BFL_Dur,RY_discon_80,0.81,0.46023,0.168,-0.040,119.0
SY_SP_ROC,RY_discon_80,0.81,0.69460,0.169,-0.039,119.0
BY_recon_10,RY_discon_100,5.65,0.91348,0.585,0.482,111.3
BY_recon_15,RY_discon_100,3.50,0.82939,0.467,0.333,114.1
BY_recon_20,RY_discon_100,1.61,0.83240,0.287,0.108,117.3
BY_recon_50,RY_discon_100,0.69,0.63938,0.148,-0.066,119.2
BY_recon_80,RY_discon_100,0.50,0.68919,0.112,-0.111,119.7
BY_recon_100,RY_discon_100,3.07,0.47813,0.434,0.292,114.7
RY_discon_10,RY_discon_100,1.07,0.31132,0.211,0.013,118.4
RY_discon_15,RY_discon_100,0.98,0.56341,0.197,-0.004,118.6
RY_discon_20,RY_discon_100,0.53,0.68760,0.118,-0.103,119.6
RY_discon_50,RY_discon_100,0.56,0.95994,0.123,-0.096,119.5
RY_discon_80,RY_discon_100,0.28,0.70828,0.066,-0.168,120.2
RY_recon_10,RY_discon_100,0.40,0.88958,0.090,-0.137,119.9
RY_recon_15,RY_discon_100,0.32,0.96921,0.074,-0.157,120.1
RY_recon_20,RY_discon_100,0.28,0.82780,0.065,-0.168,120.2
RY_recon_50,RY_discon_100,0.29,0.87888,0.068,-0.166,120.2
RY_recon_80,RY_discon_100,0.28,0.71220,0.066,-0.168,120.2
RY_recon_100,RY_discon_100,1.00,0.32595,0.199,-0.001,118.5
SY_discon_80,RY_discon_100,0.29,0.70893,0.067,-0.166,120.2
SY_discon_100,RY_discon_100,0.28,0.71760,0.066,-0.167,120.2
BY_min_flow_sepdec,RY_discon_100,0.62,0.67307,0.134,-0.082,119.4
RY_min_flow,RY_discon_100,0.44,0.83902,0.099,-0.127,119.8
SY_min_flow_janjul,RY_discon_100,0.57,0.57969,0.125,-0.094,119.5
tot_flow_CFLP,RY_discon_100,0.44,0.55643,0.100,-0.125,119.8
BY_tot_flow_sepdec,RY_discon_100,1.05,0.86580,0.208,0.010,118.4
RY_tot_flow,RY_discon_100,0.39,0.56292,0.089,-0.138,120.0
SY_tot_flow_janjul,RY_discon_100,0.47,0.81992,0.106,-0.118,119.8
log_tot_flow_CFLP,RY_discon_100,0.48,0.61116,0.108,-0.116,119.7
log_BY_tot_flow_sepdec,RY_discon_100,2.10,0.11908,0.344,0.180,116.3
log_RY_tot_flow,RY_discon_100,1.10,0.30758,0.215,0.019,118.3
log_SY_tot_flow_janjul,RY_discon_100,0.36,0.81223,0.083,-0.146,120.0
BY_FA_Mag,RY_discon_100,1.91,0.81355,0.489,0.233,81.6
BY_FA_Tim,RY_discon_100,0.15,0.83395,0.068,-0.398,85.8
BY_FA_Dur,RY_discon_100,3.84,0.16122,0.658,0.487,78.8
RY_Wet_Tim,RY_discon_100,2.38,0.99329,0.373,0.216,115.9
RY_Wet_BFL_Dur,RY_discon_100,3.15,0.70015,0.441,0.301,114.6
RY_SP_ROC,RY_discon_100,0.33,0.64300,0.075,-0.156,120.1
RY_DS_Mag_50,RY_discon_100,0.67,0.66005,0.144,-0.070,119.3
RY_DS_Mag_90,RY_discon_100,2.26,0.46840,0.361,0.201,116.1
RY_FA_Mag,RY_discon_100,1.54,0.90171,0.434,0.152,83.0
RY_FA_Tim,RY_discon_100,0.00,0.91048,0.000,-0.500,87.0
RY_FA_Dur,RY_discon_100,0.36,0.77745,0.154,-0.269,85.8
RY_Wet_BFL_Mag_50,RY_discon_100,0.28,0.72362,0.066,-0.168,120.2
RY_DS_Tim,RY_discon_100,0.28,0.70257,0.066,-0.168,120.2
RY_SP_Tim,RY_discon_100,0.89,0.96451,0.181,-0.023,118.8
RY_DS_Dur_WS,RY_discon_100,1.48,0.18038,0.271,0.088,117.5
SY_Wet_Tim,RY_discon_100,1.54,0.33114,0.278,0.097,117.4
SY_Wet_BFL_Dur,RY_discon_100,0.80,0.46071,0.167,-0.041,119.0
SY_SP_ROC,RY_discon_100,0.82,0.68190,0.169,-0.038,118.9
BY_recon_10,RY_recon_10,5.09,0.00011,0.560,0.450,112.0
BY_recon_15,RY_recon_10,3.63,0.00034,0.476,0.345,113.9
BY_recon_20,RY_recon_10,1.73,0.00182,0.301,0.127,117.0
BY_recon_50,RY_recon_10,0.76,0.01355,0.160,-0.051,119.1
BY_recon_80,RY_recon_10,0.67,0.04086,0.143,-0.071,119.3
BY_recon_100,RY_recon_10,3.47,0.00094,0.465,0.331,114.1
RY_discon_10,RY_recon_10,1.02,0.38747,0.203,0.003,118.5
RY_discon_15,RY_recon_10,0.57,0.71500,0.125,-0.094,119.5
RY_discon_20,RY_recon_10,0.43,0.95045,0.097,-0.129,119.9
RY_discon_50,RY_recon_10,0.42,0.98133,0.095,-0.132,119.9
RY_discon_80,RY_recon_10,0.40,0.88358,0.090,-0.138,119.9
RY_discon_100,RY_recon_10,0.40,0.88958,0.090,-0.137,119.9
RY_recon_15,RY_recon_10,0.46,0.00823,0.103,-0.121,119.8
RY_recon_20,RY_recon_10,0.59,0.01665,0.128,-0.090,119.5
RY_recon_50,RY_recon_10,0.39,0.03054,0.089,-0.139,120.0
RY_recon_80,RY_recon_10,0.43,0.13392,0.096,-0.130,119.9
RY_recon_100,RY_recon_10,0.80,0.19992,0.167,-0.041,119.0
SY_discon_80,RY_recon_10,0.57,0.87271,0.125,-0.094,119.5
SY_discon_100,RY_recon_10,0.55,0.92488,0.121,-0.098,119.6
BY_min_flow_sepdec,RY_recon_10,0.70,0.01478,0.148,-0.065,119.2
RY_min_flow,RY_recon_10,0.56,0.04878,0.122,-0.097,119.5
SY_min_flow_janjul,RY_recon_10,0.51,0.00476,0.113,-0.108,119.7
tot_flow_CFLP,RY_recon_10,0.40,0.12014,0.090,-0.137,119.9
BY_tot_flow_sepdec,RY_recon_10,1.46,0.03756,0.267,0.084,117.6
RY_tot_flow,RY_recon_10,0.44,0.07037,0.099,-0.126,119.8
SY_tot_flow_janjul,RY_recon_10,0.42,0.02865,0.094,-0.132,119.9
log_tot_flow_CFLP,RY_recon_10,0.40,0.83924,0.091,-0.137,119.9
log_BY_tot_flow_sepdec,RY_recon_10,2.88,0.11475,0.419,0.274,115.0
log_RY_tot_flow,RY_recon_10,0.69,0.42112,0.147,-0.066,119.2
log_SY_tot_flow_janjul,RY_recon_10,0.39,0.91421,0.089,-0.139,120.0
BY_FA_Mag,RY_recon_10,1.90,0.30472,0.487,0.231,81.6
BY_FA_Tim,RY_recon_10,0.20,0.12016,0.089,-0.366,85.6
BY_FA_Dur,RY_recon_10,2.54,0.79196,0.560,0.339,80.5
RY_Wet_Tim,RY_recon_10,3.40,0.00220,0.459,0.324,114.2
RY_Wet_BFL_Dur,RY_recon_10,2.98,0.84049,0.427,0.284,114.9
RY_SP_ROC,RY_recon_10,0.40,0.66245,0.090,-0.137,119.9
RY_DS_Mag_50,RY_recon_10,0.63,0.25699,0.136,-0.080,119.4
RY_DS_Mag_90,RY_recon_10,1.53,0.00183,0.277,0.097,117.4
RY_FA_Mag,RY_recon_10,1.35,0.03951,0.404,0.106,83.4
RY_FA_Tim,RY_recon_10,0.07,0.28712,0.032,-0.451,86.8
RY_FA_Dur,RY_recon_10,0.53,0.16550,0.211,-0.184,85.3
RY_Wet_BFL_Mag_50,RY_recon_10,0.39,0.07365,0.089,-0.139,120.0
RY_DS_Tim,RY_recon_10,0.39,0.86623,0.090,-0.138,120.0
RY_SP_Tim,RY_recon_10,0.88,0.81523,0.180,-0.025,118.8
RY_DS_Dur_WS,RY_recon_10,1.81,0.84328,0.312,0.140,116.9
SY_Wet_Tim,RY_recon_10,2.10,0.52069,0.344,0.180,116.3
SY_Wet_BFL_Dur,RY_recon_10,0.87,0.03811,0.178,-0.027,118.8
SY_SP_ROC,RY_recon_10,0.90,0.79591,0.184,-0.020,118.7
BY_recon_10,RY_recon_15,5.23,0.00016,0.567,0.458,111.8
BY_recon_15,RY_recon_15,3.83,0.00040,0.489,0.361,113.6
BY_recon_20,RY_recon_15,1.78,0.00216,0.308,0.135,116.9
BY_recon_50,RY_recon_15,0.74,0.01588,0.155,-0.056,119.1
BY_recon_80,RY_recon_15,0.54,0.04730,0.118,-0.102,119.6
BY_recon_100,RY_recon_15,3.41,0.00103,0.460,0.325,114.2
RY_discon_10,RY_recon_15,1.09,0.32725,0.215,0.019,118.3
RY_discon_15,RY_recon_15,0.67,0.53067,0.143,-0.071,119.3
RY_discon_20,RY_recon_15,0.41,0.79389,0.093,-0.134,119.9
RY_discon_50,RY_recon_15,0.37,0.89918,0.084,-0.145,120.0
RY_discon_80,RY_recon_15,0.32,0.96638,0.073,-0.158,120.1
RY_discon_100,RY_recon_15,0.32,0.96921,0.074,-0.157,120.1
RY_recon_10,RY_recon_15,0.46,0.00823,0.103,-0.121,119.8
RY_recon_20,RY_recon_15,0.46,0.01028,0.103,-0.121,119.8
RY_recon_50,RY_recon_15,0.30,0.02803,0.071,-0.162,120.2
RY_recon_80,RY_recon_15,0.34,0.13309,0.078,-0.152,120.1
RY_recon_100,RY_recon_15,0.79,0.20938,0.165,-0.043,119.0
SY_discon_80,RY_recon_15,0.43,0.94652,0.097,-0.129,119.9
SY_discon_100,RY_recon_15,0.41,0.99844,0.094,-0.133,119.9
BY_min_flow_sepdec,RY_recon_15,0.73,0.01430,0.154,-0.057,119.1
RY_min_flow,RY_recon_15,0.48,0.09824,0.106,-0.117,119.8
SY_min_flow_janjul,RY_recon_15,0.45,0.00676,0.101,-0.124,119.8
tot_flow_CFLP,RY_recon_15,0.32,0.12893,0.074,-0.158,120.1
BY_tot_flow_sepdec,RY_recon_15,1.25,0.05174,0.239,0.048,118.0
RY_tot_flow,RY_recon_15,0.35,0.09599,0.081,-0.148,120.1
SY_tot_flow_janjul,RY_recon_15,0.36,0.02371,0.083,-0.147,120.0
log_tot_flow_CFLP,RY_recon_15,0.32,0.79537,0.074,-0.157,120.1
log_BY_tot_flow_sepdec,RY_recon_15,2.58,0.12774,0.392,0.240,115.5
log_RY_tot_flow,RY_recon_15,0.62,0.41153,0.134,-0.083,119.4
log_SY_tot_flow_janjul,RY_recon_15,0.31,0.81695,0.072,-0.160,120.2
BY_FA_Mag,RY_recon_15,1.90,0.33791,0.487,0.230,81.6
BY_FA_Tim,RY_recon_15,0.20,0.12017,0.092,-0.363,85.6
BY_FA_Dur,RY_recon_15,2.62,0.81733,0.567,0.351,80.4
RY_Wet_Tim,RY_recon_15,3.11,0.00271,0.437,0.296,114.7
RY_Wet_BFL_Dur,RY_recon_15,3.02,0.78102,0.430,0.287,114.8
RY_SP_ROC,RY_recon_15,0.34,0.74130,0.078,-0.153,120.1
RY_DS_Mag_50,RY_recon_15,0.62,0.43326,0.135,-0.081,119.4
RY_DS_Mag_90,RY_recon_15,1.58,0.00223,0.283,0.104,117.3
RY_FA_Mag,RY_recon_15,1.35,0.04920,0.404,0.106,83.4
RY_FA_Tim,RY_recon_15,0.02,0.28374,0.009,-0.486,86.9
RY_FA_Dur,RY_recon_15,0.45,0.18868,0.184,-0.224,85.6
RY_Wet_BFL_Mag_50,RY_recon_15,0.30,0.09976,0.071,-0.162,120.2
RY_DS_Tim,RY_recon_15,0.31,0.93841,0.072,-0.159,120.2
RY_SP_Tim,RY_recon_15,0.89,0.74126,0.182,-0.022,118.8
RY_DS_Dur_WS,RY_recon_15,1.73,0.82382,0.302,0.128,117.0
SY_Wet_Tim,RY_recon_15,1.88,0.48435,0.319,0.149,116.8
SY_Wet_BFL_Dur,RY_recon_15,0.70,0.04712,0.149,-0.063,119.2
SY_SP_ROC,RY_recon_15,0.86,0.76066,0.176,-0.030,118.9
BY_recon_10,RY_recon_20,4.89,0.00029,0.550,0.438,112.2
BY_recon_15,RY_recon_20,3.31,0.00074,0.453,0.316,114.4
BY_recon_20,RY_recon_20,1.54,0.00330,0.278,0.098,117.4
BY_recon_50,RY_recon_20,0.61,0.02210,0.132,-0.085,119.4
BY_recon_80,RY_recon_20,0.41,0.05898,0.093,-0.133,119.9
BY_recon_100,RY_recon_20,3.41,0.00124,0.460,0.325,114.2
RY_discon_10,RY_recon_20,1.21,0.26307,0.232,0.039,118.1
RY_discon_15,RY_recon_20,0.81,0.39620,0.168,-0.040,119.0
RY_discon_20,RY_recon_20,0.51,0.55280,0.114,-0.108,119.7
RY_discon_50,RY_recon_20,0.39,0.68310,0.089,-0.138,120.0
RY_discon_80,RY_recon_20,0.28,0.81783,0.066,-0.168,120.2
RY_discon_100,RY_recon_20,0.28,0.82780,0.065,-0.168,120.2
RY_recon_10,RY_recon_20,0.59,0.01665,0.128,-0.090,119.5
RY_recon_15,RY_recon_20,0.46,0.01028,0.103,-0.121,119.8
RY_recon_50,RY_recon_20,0.20,0.02866,0.047,-0.191,120.5
RY_recon_80,RY_recon_20,0.20,0.12967,0.048,-0.190,120.4
RY_recon_100,RY_recon_20,0.54,0.19874,0.119,-0.101,119.6
SY_discon_80,RY_recon_20,0.28,0.98763,0.065,-0.169,120.3
SY_discon_100,RY_recon_20,0.26,0.96094,0.062,-0.173,120.3
BY_min_flow_sepdec,RY_recon_20,0.60,0.01963,0.130,-0.088,119.5
RY_min_flow,RY_recon_20,0.44,0.19995,0.098,-0.127,119.8
SY_min_flow_janjul,RY_recon_20,0.33,0.01095,0.076,-0.155,120.1
tot_flow_CFLP,RY_recon_20,0.20,0.15854,0.048,-0.191,120.4
