pred1,pred2,Fstat,pval,Rsquare,adjRsquare,AICc
BY_tot_flow_sepdec,BY_recon_15,5.02,0.00422,0.556,0.445,112.0
RY_tot_flow,BY_recon_15,3.23,0.00788,0.447,0.308,114.5
SY_tot_flow_janjul,BY_recon_15,3.47,0.00230,0.464,0.330,114.1
log_tot_flow_CFLP,BY_recon_15,2.84,0.92169,0.415,0.269,115.1
log_BY_tot_flow_sepdec,BY_recon_15,6.54,0.16088,0.620,0.525,110.3
log_RY_tot_flow,BY_recon_15,3.02,0.77363,0.430,0.288,114.8
log_SY_tot_flow_janjul,BY_recon_15,3.50,0.27940,0.466,0.333,114.1
BY_FA_Mag,BY_recon_15,9.74,0.02047,0.830,0.744,73.9
BY_FA_Tim,BY_recon_15,3.71,0.01657,0.650,0.475,78.9
BY_FA_Dur,BY_recon_15,14.07,0.15902,0.876,0.813,71.7
RY_Wet_Tim,BY_recon_15,6.75,0.00055,0.628,0.535,110.1
RY_Wet_BFL_Dur,BY_recon_15,6.39,0.32267,0.615,0.519,110.5
RY_SP_ROC,BY_recon_15,3.37,0.13905,0.457,0.321,114.3
RY_DS_Mag_50,BY_recon_15,4.26,0.00622,0.516,0.394,113.0
RY_DS_Mag_90,BY_recon_15,3.35,0.00051,0.456,0.319,114.3
RY_FA_Mag,BY_recon_15,2.69,0.01607,0.573,0.360,81.0
RY_FA_Tim,BY_recon_15,1.77,0.06902,0.469,0.204,82.6
RY_FA_Dur,BY_recon_15,2.03,0.31407,0.504,0.255,82.1
RY_Wet_BFL_Mag_50,BY_recon_15,3.61,0.00733,0.474,0.343,113.9
RY_DS_Tim,BY_recon_15,3.67,0.73810,0.479,0.348,113.8
RY_SP_Tim,BY_recon_15,3.39,0.53852,0.459,0.323,114.2
RY_DS_Dur_WS,BY_recon_15,2.82,0.10941,0.414,0.267,115.1
SY_Wet_Tim,BY_recon_15,3.72,0.10187,0.482,0.352,113.8
SY_Wet_BFL_Dur,BY_recon_15,2.80,0.01439,0.411,0.264,115.2
SY_SP_ROC,BY_recon_15,6.32,0.62749,0.613,0.516,110.6
BY_recon_10,BY_recon_20,5.63,0.00076,0.585,0.481,111.3
BY_recon_15,BY_recon_20,4.46,0.00116,0.527,0.409,112.7
BY_recon_50,BY_recon_20,1.65,0.01184,0.292,0.114,117.2
BY_recon_80,BY_recon_20,1.20,0.03518,0.231,0.038,118.1
BY_recon_100,BY_recon_20,5.02,0.00046,0.557,0.446,112.0
RY_discon_10,BY_recon_20,2.76,0.32693,0.408,0.260,115.2
RY_discon_15,BY_recon_20,2.14,0.56648,0.348,0.185,116.3
RY_discon_20,BY_recon_20,1.83,0.71070,0.314,0.143,116.8
RY_discon_50,BY_recon_20,1.71,0.80388,0.299,0.124,117.1
RY_discon_80,BY_recon_20,1.69,0.78204,0.297,0.122,117.1
RY_discon_100,BY_recon_20,1.61,0.83240,0.287,0.108,117.3
RY_recon_10,BY_recon_20,1.73,0.00182,0.301,0.127,117.0
RY_recon_15,BY_recon_20,1.78,0.00216,0.308,0.135,116.9
RY_recon_20,BY_recon_20,1.54,0.00330,0.278,0.098,117.4
RY_recon_50,BY_recon_20,1.38,0.00723,0.257,0.071,117.7
RY_recon_80,BY_recon_20,1.21,0.04987,0.233,0.041,118.1
RY_recon_100,BY_recon_20,1.74,0.08097,0.303,0.128,117.0
SY_discon_80,BY_recon_20,1.20,0.63311,0.230,0.038,118.1
SY_discon_100,BY_recon_20,1.19,0.58541,0.230,0.038,118.1
BY_min_flow_sepdec,BY_recon_20,1.49,0.03444,0.271,0.089,117.5
