pred1,pred2,Fstat,pval,Rsquare,adjRsquare,AICc,loocv,n
BY_recon_20,BY_recon_100,5.020185109,0.000464147,0.55655012,0.445687651,112.0402684,978,11
BY_recon_10,RY_DS_Tim,6.420185408,0.666866185,0.616129671,0.520162089,110.4531887,985,11
BY_recon_15,BY_min_flow_sepdec,3.865918417,0.00339821,0.491477055,0.364346319,113.5464495,986,11
log_SY_tot_flow_janjul,RY_FA_Mag,3.052413813,0.264101134,0.604149606,0.406224409,80.51020375,991,7
RY_recon_80,RY_Wet_BFL_Dur,3.539515933,0.462322287,0.469461961,0.336827451,114.012644,993,11
BY_recon_15,RY_Wet_BFL_Mag_50,3.610569217,0.007329945,0.474415134,0.343018918,113.9094642,997,11
BY_recon_100,SY_Wet_Tim,4.129876536,0.057096116,0.507987608,0.38498451,113.1833787,1020,11
BY_recon_15,log_SY_tot_flow_janjul,3.497104526,0.27939666,0.466460687,0.333075858,114.0746961,1021,11
BY_recon_15,SY_tot_flow_janjul,3.467838373,0.002296222,0.464369768,0.33046221,114.1177204,1032,11
BY_recon_100,tot_flow_CFLP,3.671086857,0.010256887,0.478561503,0.348201879,113.8223404,1032,11
BY_recon_100,log_RY_tot_flow,3.750656499,0.278722144,0.483914685,0.354893356,113.7088288,1032,11
BY_recon_15,RY_recon_50,3.104183132,0.002205233,0.436951452,0.296189314,114.6668602,1035,11
BY_recon_15,RY_discon_10,5.051773227,0.333766278,0.558097635,0.447622043,112.0018144,1037,11
BY_recon_15,BY_recon_50,3.598878136,0.005197445,0.473606508,0.342008135,113.926375,1051,11
BY_recon_15,BY_FA_Mag,9.737030718,0.020474584,0.829599151,0.744398726,73.88643549,1051,7
BY_recon_100,BY_tot_flow_sepdec,3.226429952,0.01959399,0.446476334,0.308095417,114.4791854,1051,11
RY_Wet_BFL_Dur,RY_SP_ROC,3.032649894,0.770426762,0.431224352,0.28903044,114.7781825,1051,11
BY_recon_10,RY_discon_15,6.124216699,0.751127693,0.604907706,0.506134633,110.7701491,1052,11
BY_recon_100,log_BY_tot_flow_sepdec,3.435825607,0.823730452,0.462063769,0.327579711,114.164976,1052,11
BY_min_flow_sepdec,RY_Wet_BFL_Dur,3.422417148,0.741786803,0.461091997,0.326364997,114.1848294,1057,11
BY_recon_10,RY_discon_20,5.597730865,0.937411657,0.583234823,0.479043529,111.3575881,1059,11
BY_recon_100,RY_Wet_Tim,3.947502957,0.001696046,0.496697262,0.370871577,113.4329462,1062,11
BY_recon_15,RY_min_flow,3.359607646,0.002585711,0.456492765,0.320615957,114.278309,1066,11
SY_tot_flow_janjul,RY_Wet_BFL_Dur,4.068097309,0.696701136,0.504220159,0.380275199,113.2672873,1068,11
BY_tot_flow_sepdec,RY_Wet_BFL_Dur,4.186967884,0.66423477,0.511418628,0.389273285,113.1064021,1079,11
BY_recon_15,RY_recon_100,3.209380527,0.037182865,0.445167309,0.306459136,114.5051685,1082,11
BY_recon_15,RY_recon_20,3.307765205,0.000736978,0.452637039,0.315796299,114.3560692,1085,11
BY_recon_10,RY_discon_10,6.928368784,0.471163309,0.633980141,0.542475176,109.9293993,1086,11
BY_recon_15,RY_DS_Mag_50,4.257051538,0.006218578,0.515565577,0.394456971,113.0126386,1095,11
RY_discon_10,RY_Wet_BFL_Dur,2.982819573,0.917764216,0.427165494,0.283956868,114.8564012,1096,11
SY_discon_80,RY_DS_Mag_90,2.953455159,0.27270772,0.424746416,0.28093302,114.9027563,1096,11
BY_recon_20,RY_Wet_Tim,3.64288303,0.001908449,0.476637287,0.345796608,113.862858,1098,11
BY_recon_15,RY_discon_50,3.66730216,0.804511887,0.478304113,0.347880141,113.8277688,1100,11
