"","Intercept","BY_recon_100","RY_Wet_Tim","RY_Wet_BFL_Dur","BY_recon_10"
"lm2a",118.107636718593,-0.501043846653044,NA,NA,-1.11980988342839
"lm2b",128.580809105968,NA,-0.606752770984981,NA,-1.24045071993104
"lm2c",33.4959552411136,NA,NA,0.348587080859707,-1.10290685452039
"Ensemble Avg.",93.3948003552246,-0.167014615551015,-0.20225092366166,0.116195693619902,-1.15438915262661
