brood_year,smolt_year,coho_smolt_per_fem,chinook_juv_per_adult,coho_spawner_abundance,coho_redds_in_brood,coho_smolt_abun_est,chinook_spawner_abundance,chinook_spawner_abundance_long,chinook_juvenile_abundance,f1_recon_20,f1_recon_40,f1_recon_120,s1_discon_20,s1_discon_40,s1_discon_120,f2_recon_20,f2_recon_40,f2_recon_120,s2_discon_120,d1_DS_Dur_WS,d1_DS_Tim,d1_DS_Mag_50,d1_DS_Mag_90,f1_FA_Dur,f1_FA_Mag,f1_FA_Tim,f1_FA_Dif_num,w1_Wet_BFL_Dur,w1_Wet_BFL_Mag_10,w1_Wet_BFL_Mag_50,w1_Wet_Tim,w1_Peak_Tim_10,w1_Peak_Tim_2,w1_Peak_Tim_5,w1_Peak_Dur_10,w1_Peak_Dur_2,w1_Peak_Dur_5,w1_Peak_10,w1_Peak_2,w1_Peak_5,w1_Peak_Fre_10,w1_Peak_Fre_2,w1_Peak_Fre_5,s1_SP_ROC,s1_SP_ROC_Max,s1_SP_Dur,s1_SP_Mag,s1_SP_Tim,wy1_Mean_Ann_Flow,wy1_WY_Cat,d2_DS_Dur_WS,d2_DS_Tim,d2_DS_Mag_50,d2_DS_Mag_90,f2_FA_Dur,f2_FA_Mag,f2_FA_Tim,f2_FA_Dif_num,w2_Wet_BFL_Dur,w2_Wet_BFL_Mag_10,w2_Wet_BFL_Mag_50,w2_Wet_Tim,w2_Peak_Tim_10,w2_Peak_Tim_2,w2_Peak_Tim_5,w2_Peak_Dur_10,w2_Peak_Dur_2,w2_Peak_Dur_5,w2_Peak_10,w2_Peak_2,w2_Peak_5,w2_Peak_Fre_10,w2_Peak_Fre_2,w2_Peak_Fre_5,s2_SP_ROC,s2_SP_ROC_Max,s2_SP_Dur,s2_SP_Mag,s2_SP_Tim,wy2_Mean_Ann_Flow,wy2_WY_Cat,w1_num_days_gt_90_pctile,w2_num_days_gt_90_pctile
1988,1990,NA,NA,NA,NA,NA,NA,5200,NA,37,65,82,341,331,309,1,19,53,304,107,291,16.5,34,3,35,19,16,189,131.5,349.5,33,NA,161,NA,NA,1,NA,13440,4520,10960,NA,1,NA,0.0570585260751033,0.229946524064171,76,1870,222,492.320547945205,2,88,298,27,47,1,49,4,19.5,219,128.9,276.5,21,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0730337078651685,0.328571428571429,52,2100,240,280.154520547945,1,36,3
1989,1991,NA,NA,NA,NA,NA,NA,4188,NA,1,19,53,338,330,304,30,63,135,302,88,298,27,47,1,49,4,19.5,219,128.9,276.5,21,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0730337078651685,0.328571428571429,52,2100,240,280.154520547945,1,107,292,17.5,39,2,28,7,10,213,56,202,34,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.088339222614841,0.25,37,480,247,164.190410958904,1,3,1
1990,1992,NA,NA,NA,NA,NA,NA,1615,NA,30,63,135,336,314,302,36,79,97,280,107,292,17.5,39,2,28,7,10,213,56,202,34,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.088339222614841,0.25,37,480,247,164.190410958904,1,146,284,16,51.2,7,53,50,36,156,103.4,320,65,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0718562874251497,0.155844155844156,72,593,221,202.271584699454,1,1,2
1991,1993,NA,NA,NA,NA,NA,NA,2165,NA,36,79,97,329,325,280,9,28,63,365,146,284,16,51.2,7,53,50,36,156,103.4,320,65,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0718562874251497,0.155844155844156,72,593,221,202.271584699454,1,103,293,22,75,2,53,3,31,213,70.3,674,31,NA,205.5,NA,NA,4,NA,13440,4520,10960,NA,2,NA,0.0645161290322581,0.365217391304348,73,4600,244,690.4,2,2,53
1992,1994,NA,NA,NA,NA,NA,NA,2838,NA,9,28,63,365,365,331,1,1,99,286,103,293,22,75,2,53,3,31,213,70.3,674,31,NA,205.5,NA,NA,4,NA,13440,4520,10960,NA,2,NA,0.0645161290322581,0.365217391304348,73,4600,244,690.4,2,143,317,70,132.8,6,109,65,39,125,184.5,262,95,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0660932634616845,0.155555555555556,51,829,220,167.756164383562,1,53,0
1993,1995,NA,NA,NA,NA,NA,NA,5300,NA,1,1,99,305,298,286,94,98,130,365,143,317,70,132.8,6,109,65,39,125,184.5,262,95,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0660932634616845,0.155555555555556,51,829,220,167.756164383562,1,192,271,10,66,7,45,68,35,136,872.2,1530,98,NA,103.5,NA,NA,8,NA,13440,4520,10960,NA,4,NA,0.0668016194331984,0.193758127438231,99,2290,234,948.238356164384,3,0,86
1994,1996,NA,NA,NA,NA,NA,NA,2863,NA,94,98,130,365,365,346,1,1,92,366,192,271,10,66,7,45,68,35,136,872.2,1530,98,NA,103.5,NA,NA,8,NA,13440,4520,10960,NA,4,NA,0.0668016194331984,0.193758127438231,99,2290,234,948.238356164384,3,102,333,69,96.2,5,193,63,123.5,165,826,1435,70,NA,132,NA,NA,1,NA,13440,4520,10960,NA,1,NA,0.0582822085889571,0.122448979591837,79,2600,235,871.136612021858,3,86,78
1995,1997,NA,NA,NA,NA,NA,NA,14477,NA,1,1,92,366,344,327,1,34,79,365,102,333,69,96.2,5,193,63,123.5,165,826,1435,70,NA,132,NA,NA,1,NA,13440,4520,10960,NA,1,NA,0.0582822085889571,0.122448979591837,79,2600,235,871.136612021858,3,98,314,34,97,7,97,26,61,77,947.6,1905,47,92,50,92,3,10,4,13440,4520,10960,1,3,1,0.0291464401294498,0.168032786885246,41,2440,124,969.65205479452,3,78,59
1996,1998,NA,NA,NA,NA,NA,NA,12097,NA,1,34,79,365,339,306,1,17,61,365,98,314,34,97,7,97,26,61,77,947.6,1905,47,92,50,92,3,10,4,13440,4520,10960,1,3,1,0.0291464401294498,0.168032786885246,41,2440,124,969.65205479452,3,253,165,128,829.2,4,216,32,87,201,227.1,1390,53,NA,141,174,NA,5,2,13440,4520,10960,NA,2,1,0.0529151377482672,0.135,92,2390,254,998.92602739726,3,59,100
1997,1999,NA,NA,NA,NA,NA,NA,8561,NA,1,17,61,365,365,346,1,1,55,365,253,165,128,829.2,4,216,32,87,201,227.1,1390,53,NA,141,174,NA,5,2,13440,4520,10960,NA,2,1,0.0529151377482672,0.135,92,2390,254,998.92602739726,3,81,346,115,1270,3,174,48,59,175,527,1240,62,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0526315789473684,0.159340659340659,87,2820,237,868.230136986301,3,100,74
1998,2000,NA,NA,NA,NA,NA,NA,3327,NA,1,1,55,365,365,330,1,1,59,366,81,346,115,1270,3,174,48,59,175,527,1240,62,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0526315789473684,0.159340659340659,87,2820,237,868.230136986301,3,100,324,63,182,5,141,30,78,178,209,1030,59,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0693641066758299,0.137931034482759,71,1770,237,582.161202185792,2,74,23
