V1,V2,V3,bestlam,rmse
1,2,3,9.47529927657592,2.55880614523431
1,2,4,9.32251585471639,0.179691092959247
1,2,5,8.7859959208358,4.43438834564588
1,2,6,0.0563676179190489,39.1470100512178
1,2,7,9.05128708195718,1.23099778860709
1,2,8,9.85026377230333,1.81457677955188
1,2,9,9.84490913785333,1.28743500375316
1,2,10,6.71531885188122,0.602457928452731
1,2,11,0.581497977494359,6.01654991803538
1,2,12,9.70845026429261,0.43977266854592
1,2,13,10.4018605545601,4.26942879343622
1,2,14,10.376406768457,2.30440640705777
1,2,15,9.10216839942687,5.62215261265647
1,3,4,9.55807051500912,2.61775136753325
1,3,5,7.51758608943154,3.80982355963574
1,3,6,0.144720530830603,29.4722466745807
1,3,7,9.70557188276815,2.17319017933442
1,3,8,9.59824626567922,2.23075473028002
1,3,9,9.59948918952213,2.17196275801917
1,3,10,0.191194927583955,4.99204064630614
1,3,11,0.176806176898699,6.85594457998485
1,3,12,9.48688013524978,2.34043205887764
1,3,13,10.6012856565966,3.67547124718571
1,3,14,10.099861454666,2.3907785807603
1,3,15,9.20755249497928,4.83350344528227
1,4,5,8.46106738391903,4.49136455384726
1,4,6,0.0663533100694001,73.8557503957989
1,4,7,9.56248158558371,1.29474150144172
1,4,8,9.92278876101776,1.87538440503985
1,4,9,9.46332128373413,1.35078577954545
1,4,10,9.81499859758083,0.674882705858334
1,4,11,0.173630964886634,6.89165882730372
1,4,12,9.33958613312906,0.51770862676048
1,4,13,10.0051513149028,4.32651001257236
1,4,14,10.4498103808333,2.36385748771414
1,4,15,9.63908279888634,5.67855224115756
1,5,6,0.188245618468147,55.7219247825988
1,5,7,8.2001701003795,3.92965930103644
1,5,8,0.271627672856173,12.5079638778847
1,5,9,8.50012271862212,3.91545087512991
1,5,10,3.48215974292956,4.3225327959186
1,5,11,0.873393728545293,16.518086539583
1,5,12,8.79784891138973,4.20616214618505
1,5,13,9.8133694483192,4.30393876453754
1,5,14,9.80399286132808,3.79720364947096
1,5,15,8.53155132126503,5.08322732129894
1,6,7,0.468051863818736,36.2359244604448
1,6,8,0.266840936061712,31.9409888671226
1,6,9,0.37813177366724,31.0319812004604
1,6,10,0.040398225904854,54.8247380611338
1,6,11,0.817208252389681,45.6125296648117
1,6,12,0.0445219530451688,35.395254376881
1,6,13,0.281171155710801,33.8575741765514
1,6,14,0.0482624834924842,69.0533705076264
1,6,15,0.142060311519066,80.9572384871048
1,7,8,10.0833096059133,1.555463489339
