"coho_smolt_per_fem","chinook_juv_per_adult","coho_spawner_abundance","coho_redds_in_brood","coho_smolt_abun_est","chinook_spawner_abundance","chinook_juvenile_abundance","pred"
-0.17315865898072,NA,NA,NA,-0.0180564800367694,NA,NA,"f2_recon_120"
-0.109121445997538,-0.0393052275308648,0.136169561518963,NA,-0.0150032904280755,0.191179068957057,0.0886972554467413,"d1_DS_Mag_50"
0.102234083717133,0.0687957848389989,0.0477163369519379,NA,0.0576368800214935,-0.0827860239884096,-0.00591146525209449,"d1_DS_Mag_90"
0.102234083717133,0.0687957848389989,0.0477163369519379,NA,0.0576368800214935,-0.0827860239884096,-0.00591146525209449,"f1_FA_Dur"
0.102234083717133,0.0687957848389989,0.0477163369519379,NA,0.0576368800214935,-0.0827860239884096,-0.00591146525209449,"f1_FA_Tim"
0.30564596934851,-0.0129303121353475,0.0125678375147318,NA,0.206216264929625,-0.0650279822916206,-0.0530991177924177,"f1_FA_Dif_num"
0.00290822999319084,-0.018991598435051,-0.0215015444405464,NA,0.0133297066748334,0.0561215612798271,0.032108167699777,"w1_Wet_BFL_Dur"
0.135534067324337,0.0308014986418257,-0.00457160887908455,NA,0.0589516170768838,-0.160541669282008,-0.13474004970101,"w1_Wet_BFL_Mag_50"
0.0066364034879999,0.00234653063121778,NA,NA,-0.0166837343812522,NA,0.00668021116683554,"s1_SP_ROC"
0.046265489025808,-0.057415992138758,NA,NA,0.0608534251096507,NA,-0.105624628720398,"s1_SP_ROC_Max"
0.046265489025808,NA,NA,NA,0.0608534251096507,NA,NA,"f2_FA_Dur"
0.0364513382821673,NA,NA,NA,-0.13648754990799,NA,NA,"f2_FA_Dif_num"
0.0853115607642316,NA,NA,NA,0.0798800568283796,NA,NA,"w2_Wet_BFL_Mag_50"
-0.0231441087239634,NA,NA,NA,0.0387013572230111,NA,NA,"w2_Wet_Tim"
0.0848275884929869,NA,NA,NA,0.0449570826741887,NA,NA,"s2_SP_ROC"
-0.0926193839597848,NA,NA,NA,0.0595406040554636,NA,NA,"s2_SP_ROC_Max"
0.0286806543203722,NA,NA,NA,-0.00236181982841689,NA,NA,"s2_SP_Tim"
-0.403087411949935,-0.0385452780241302,0.230440946304537,NA,-0.0349221923827917,-0.0112397305736932,-0.0619452403615442,"f1_recon_120"
