"coho_smolt_per_fem","chinook_juv_per_adult","coho_spawner_abundance","coho_redds_in_brood","coho_smolt_abun_est","chinook_spawner_abundance","chinook_juvenile_abundance","pred"
27.5047384072247,NA,NA,NA,42.0110785840315,NA,NA,"f2_recon_120"
27.7439246506221,29.7216055740317,29.5279819974608,NA,42.0105782577495,26.2911201380703,34.3550952769889,"d1_DS_Mag_50"
27.0495634397269,28.9087743910479,30.9555438661261,NA,41.7761080296565,27.3377516669452,35.07521280219,"d1_DS_Mag_90"
27.0495634397269,28.9087743910479,30.9555438661261,NA,41.7761080296565,27.3377516669452,35.07521280219,"f1_FA_Dur"
27.0495634397269,28.9087743910479,30.9555438661261,NA,41.7761080296565,27.3377516669452,35.07521280219,"f1_FA_Tim"
23.1289648322335,29.8785032269188,31.2680906619075,NA,40.365226124145,28.7376195765027,34.8505072671921,"f1_FA_Dif_num"
28.5527725871901,29.7007761928943,31.0947601372699,NA,41.9908161726315,27.3644586194234,34.6425720183651,"w1_Wet_BFL_Dur"
26.4595337183004,29.7413728005689,31.2749087684497,NA,41.8285603802412,23.0569792768138,32.6455537805431,"w1_Wet_BFL_Mag_50"
28.5481237000134,29.8924243710947,NA,NA,41.978628510305,NA,35.0588249170443,"s1_SP_ROC"
28.2490930741394,29.1737736445446,NA,NA,41.7833297827753,NA,33.1148291103447,"s1_SP_ROC_Max"
28.2490930741394,NA,NA,NA,41.7833297827753,NA,NA,"f2_FA_Dur"
28.5018544118981,NA,NA,NA,41.5459458283012,NA,NA,"f2_FA_Dif_num"
27.9338408501839,NA,NA,NA,41.7366293639489,NA,NA,"w2_Wet_BFL_Mag_50"
28.4744551606057,NA,NA,NA,41.8804443301465,NA,NA,"w2_Wet_Tim"
27.5510384754276,NA,NA,NA,41.8330297990852,NA,NA,"s2_SP_ROC"
27.3428098281277,NA,NA,NA,41.8014416466301,NA,NA,"s2_SP_ROC_Max"
28.2632760261481,NA,NA,NA,42.0170898776088,NA,NA,"s2_SP_Tim"
21.243315191634,29.6076167591767,28.8552843948092,NA,41.9814821459117,29.2974273255273,34.4950207591584,"f1_recon_120"
